LungFlow,ChestXray,DuctFlow,CardiacMixing,LungParench
High,Oligaemic,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Normal,Plethoric,Rt_to_Lt,,Congested
Normal,Plethoric,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Grd_Glass,,Transp.,Abnormal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Normal,,Mild,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Rt_to_Lt,Transp.,Normal
Normal,Normal,Rt_to_Lt,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Oligaemic,,Complete,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Oligaemic,,Transp.,Normal
Normal,Grd_Glass,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Normal,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Transp.,Abnormal
Normal,Normal,Lt_to_Rt,,Abnormal
High,Plethoric,,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Normal,,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
Normal,Asy/Patch,,,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Congested
Low,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
High,Plethoric,,Complete,Normal
High,Normal,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Rt_to_Lt,,Normal
Low,Grd_Glass,Rt_to_Lt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Normal,Plethoric,Lt_to_Rt,Transp.,Congested
Low,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Congested
Low,Plethoric,,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Complete,Congested
Normal,Asy/Patch,,Mild,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Lt_to_Rt,,Abnormal
High,Normal,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Complete,Abnormal
Normal,Normal,,Complete,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,Rt_to_Lt,Transp.,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Normal,Plethoric,Rt_to_Lt,,Abnormal
High,Plethoric,,Complete,Normal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
High,Plethoric,,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Rt_to_Lt,Transp.,Normal
High,Plethoric,,Mild,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
High,Grd_Glass,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Normal,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,Lt_to_Rt,,Abnormal
Normal,Asy/Patch,,,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,Complete,Congested
Low,Oligaemic,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Normal,,Transp.,Abnormal
Normal,Normal,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Low,Plethoric,Lt_to_Rt,Mild,Congested
High,Oligaemic,Rt_to_Lt,,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Rt_to_Lt,Complete,Congested
High,Oligaemic,Rt_to_Lt,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Grd_Glass,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Grd_Glass,,Complete,Abnormal
Low,Oligaemic,,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,,Normal
High,Grd_Glass,,Transp.,Congested
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Oligaemic,,Transp.,Abnormal
High,Grd_Glass,,Transp.,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
High,Grd_Glass,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Normal,Normal,,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Congested
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,,Mild,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Plethoric,Rt_to_Lt,,Abnormal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,,Complete,Normal
High,Plethoric,Rt_to_Lt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
High,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,,Abnormal
Normal,Normal,,Transp.,Normal
High,Grd_Glass,,Transp.,Congested
Normal,Asy/Patch,,Mild,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
High,Oligaemic,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Plethoric,Lt_to_Rt,Mild,Congested
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Grd_Glass,,Transp.,Congested
High,Grd_Glass,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Normal,,Mild,Normal
High,Normal,Rt_to_Lt,Transp.,Normal
High,Grd_Glass,,Transp.,Normal
Low,Oligaemic,,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Rt_to_Lt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Normal,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Rt_to_Lt,,Abnormal
Normal,Asy/Patch,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Rt_to_Lt,Transp.,Abnormal
High,Grd_Glass,,Transp.,Normal
Normal,Normal,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Grd_Glass,,Transp.,Abnormal
Normal,Normal,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,,Transp.,Normal
Normal,Plethoric,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,Mild,Congested
Normal,Asy/Patch,,Complete,Abnormal
Normal,Normal,Rt_to_Lt,,Normal
Normal,Normal,,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,Rt_to_Lt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Mild,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Oligaemic,Rt_to_Lt,,Abnormal
Normal,Asy/Patch,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Normal,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Mild,Abnormal
High,Grd_Glass,,Transp.,Normal
High,Normal,,Complete,Normal
High,Grd_Glass,,Transp.,Congested
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Rt_to_Lt,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Mild,Congested
Normal,Normal,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Oligaemic,,Mild,Normal
Normal,Normal,,Transp.,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Abnormal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,,Abnormal
Normal,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
High,Plethoric,,Transp.,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Plethoric,,Complete,Abnormal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,,Transp.,Abnormal
High,Normal,,Complete,Congested
High,Oligaemic,,Transp.,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
High,Plethoric,,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Mild,Normal
Normal,Normal,Rt_to_Lt,Complete,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
Normal,Asy/Patch,,Transp.,Abnormal
High,Oligaemic,Rt_to_Lt,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Complete,Abnormal
Normal,Normal,,Transp.,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
High,Normal,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,,Transp.,Abnormal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Asy/Patch,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
Low,Plethoric,,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,,Mild,Congested
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Normal,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Mild,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Mild,Normal
Low,Plethoric,Lt_to_Rt,Complete,Congested
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,Rt_to_Lt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
High,Normal,,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,,Complete,Normal
Low,Plethoric,Rt_to_Lt,Mild,Normal
High,Oligaemic,,Transp.,Abnormal
Normal,Plethoric,Lt_to_Rt,Complete,Congested
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,,Transp.,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Normal,Rt_to_Lt,Transp.,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,,Normal
High,Plethoric,,,Normal
High,Oligaemic,Lt_to_Rt,Mild,Abnormal
Normal,Normal,Rt_to_Lt,Transp.,Normal
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Mild,Abnormal
Low,Plethoric,,Mild,Normal
High,Normal,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Mild,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Transp.,Normal
Low,Plethoric,,Complete,Abnormal
High,Grd_Glass,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Normal,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
