meldug_1,mikro_1,lai_3,middel_1,meldug_2,meldug_3,lai_1,meldug_4,lai_4,lai_2,foto_4
1___2__,T_rt_og_koldt,2_5___3_5,0_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_35_kg_m2
0_00___0_01__,T_rt_og_varmt,2_5___3_5,0_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
50___100__,T_rt_og_koldt,0_0___0_5,0_50_l_ha,0_5___1__,0_00___0_01__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_20_kg_m2
6___10__,T_rt_og_varmt,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
50___100__,V_dt_og_koldt,0_5___1_5,0_50_l_ha,10___25__,10___25__,1_5___2_5,0_5___1__,0_0___0_5,1_5___2_5,0_25_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
0_00___0_01__,V_dt_og_varmt,0_5___1_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,1_5___2_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
10___25__,V_dt_og_koldt,1_5___2_5,0_25_l_ha,0_01___0_5__,0_01___0_5__,2_5___3_5,0_00___0_01__,0_0___0_5,2_5___3_5,0_00_kg_m2
0_5___1__,T_rt_og_koldt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_40_kg_m2
0_00___0_01__,T_rt_og_koldt,1_5___2_5,0_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_30_kg_m2
10___25__,T_rt_og_varmt,1_5___2_5,0_25_l_ha,1___2__,2___6__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_55_kg_m2
0_5___1__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_40_kg_m2
1___2__,V_dt_og_varmt,1_5___2_5,0_l_ha,2___6__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_40_kg_m2
2___6__,V_dt_og_koldt,2_5___3_5,0_l_ha,1___2__,2___6__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
50___100__,V_dt_og_varmt,0_5___1_5,0_25_l_ha,25___50__,2___6__,0_5___1_5,0_01___0_5__,0_0___0_5,0_5___1_5,0_10_kg_m2
1___2__,V_dt_og_koldt,3_5___4_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_35_kg_m2
1___2__,V_dt_og_koldt,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
0_01___0_5__,T_rt_og_koldt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_45_kg_m2
2___6__,V_dt_og_koldt,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_70_kg_m2
10___25__,V_dt_og_koldt,0_5___1_5,0_l_ha,25___50__,1___2__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
1___2__,T_rt_og_koldt,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_01___0_5__,0_5___1_5,4_5___5_5,0_50_kg_m2
0_00___0_01__,V_dt_og_koldt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_40_kg_m2
50___100__,T_rt_og_koldt,0_0___0_5,0_25_l_ha,2___6__,2___6__,0_5___1_5,0_00___0_01__,0_0___0_5,0_5___1_5,0_20_kg_m2
0_00___0_01__,T_rt_og_koldt,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_75_l_ha,0_5___1__,0_01___0_5__,3_5___4_5,0_5___1__,0_5___1_5,3_5___4_5,0_45_kg_m2
1___2__,T_rt_og_koldt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_50_kg_m2
6___10__,V_dt_og_koldt,1_5___2_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_45_kg_m2
0_01___0_5__,T_rt_og_koldt,4_5___5_5,0_l_ha,0_01___0_5__,0_5___1__,5_5___6_5,0_00___0_01__,1_5___2_5,5_5___6_5,0_45_kg_m2
10___25__,V_dt_og_varmt,3_5___4_5,0_75_l_ha,2___6__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_30_kg_m2
6___10__,T_rt_og_koldt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_30_kg_m2
1___2__,T_rt_og_varmt,2_5___3_5,0_l_ha,2___6__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
0_01___0_5__,T_rt_og_koldt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_25_kg_m2
6___10__,V_dt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_45_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_l_ha,2___6__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_40_kg_m2
10___25__,V_dt_og_koldt,2_5___3_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
0_00___0_01__,T_rt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_55_kg_m2
6___10__,V_dt_og_koldt,0_5___1_5,0_l_ha,25___50__,2___6__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_25_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_25_l_ha,2___6__,0_00___0_01__,1_5___2_5,0_00___0_01__,0_5___1_5,1_5___2_5,0_35_kg_m2
0_5___1__,T_rt_og_koldt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_35_kg_m2
6___10__,T_rt_og_koldt,4_5___5_5,0_50_l_ha,0_01___0_5__,1___2__,5_5___6_5,0_01___0_5__,1_5___2_5,___6_5,0_60_kg_m2
50___100__,V_dt_og_varmt,0_0___0_5,0_l_ha,50___100__,1___2__,0_5___1_5,0_5___1__,0_0___0_5,0_0___0_5,0_10_kg_m2
10___25__,T_rt_og_koldt,2_5___3_5,0_50_l_ha,1___2__,0_5___1__,3_5___4_5,0_5___1__,0_5___1_5,4_5___5_5,0_35_kg_m2
6___10__,T_rt_og_koldt,1_5___2_5,0_l_ha,6___10__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
50___100__,T_rt_og_koldt,0_5___1_5,0_l_ha,10___25__,0_5___1__,0_5___1_5,0_00___0_01__,0_0___0_5,0_5___1_5,0_00_kg_m2
25___50__,V_dt_og_varmt,1_5___2_5,0_25_l_ha,1___2__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,2_5___3_5,0_05_kg_m2
1___2__,V_dt_og_varmt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_40_kg_m2
1___2__,T_rt_og_varmt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_60_kg_m2
10___25__,T_rt_og_koldt,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
0_5___1__,V_dt_og_koldt,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,___6_5,0_00___0_01__,0_5___1_5,___6_5,0_45_kg_m2
0_5___1__,V_dt_og_koldt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_35_kg_m2
25___50__,T_rt_og_koldt,1_5___2_5,0_l_ha,2___6__,6___10__,2_5___3_5,25___50__,0_0___0_5,2_5___3_5,0_05_kg_m2
1___2__,T_rt_og_koldt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_30_kg_m2
0_01___0_5__,V_dt_og_varmt,1_5___2_5,0_l_ha,2___6__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_40_kg_m2
50___100__,T_rt_og_koldt,0_0___0_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_00_kg_m2
0_5___1__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
50___100__,T_rt_og_koldt,0_5___1_5,0_50_l_ha,2___6__,0_00___0_01__,0_5___1_5,0_00___0_01__,0_0___0_5,0_5___1_5,0_00_kg_m2
25___50__,V_dt_og_varmt,0_0___0_5,0_l_ha,50___100__,10___25__,2_5___3_5,0_5___1__,0_0___0_5,0_5___1_5,0_00_kg_m2
10___25__,T_rt_og_varmt,0_5___1_5,0_25_l_ha,1___2__,0_00___0_01__,1_5___2_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
0_00___0_01__,T_rt_og_varmt,2_5___3_5,0_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_35_kg_m2
0_01___0_5__,V_dt_og_koldt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
10___25__,T_rt_og_varmt,2_5___3_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
10___25__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,1___2__,0_5___1__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_40_kg_m2
0_01___0_5__,V_dt_og_koldt,1_5___2_5,0_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_70_kg_m2
25___50__,V_dt_og_varmt,0_0___0_5,0_l_ha,50___100__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_15_kg_m2
10___25__,T_rt_og_koldt,1_5___2_5,0_l_ha,6___10__,25___50__,4_5___5_5,1___2__,0_0___0_5,4_5___5_5,0_00_kg_m2
0_01___0_5__,V_dt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,___6_5,0_35_kg_m2
0_5___1__,V_dt_og_varmt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_45_kg_m2
25___50__,T_rt_og_varmt,0_5___1_5,0_75_l_ha,0_5___1__,0_00___0_01__,1_5___2_5,0_01___0_5__,0_0___0_5,1_5___2_5,0_00_kg_m2
6___10__,T_rt_og_koldt,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
2___6__,V_dt_og_koldt,2_5___3_5,0_l_ha,6___10__,0_01___0_5__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
1___2__,T_rt_og_koldt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_50_kg_m2
2___6__,T_rt_og_varmt,3_5___4_5,0_25_l_ha,0_5___1__,0_00___0_01__,5_5___6_5,0_01___0_5__,0_5___1_5,5_5___6_5,0_40_kg_m2
0_5___1__,T_rt_og_varmt,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_35_kg_m2
0_00___0_01__,T_rt_og_varmt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,___6_5,0_40_kg_m2
2___6__,V_dt_og_varmt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,1_5___2_5,4_5___5_5,0_70_kg_m2
2___6__,V_dt_og_koldt,4_5___5_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,___6_5,0_35_kg_m2
0_5___1__,T_rt_og_koldt,3_5___4_5,0_l_ha,0_5___1__,1___2__,4_5___5_5,10___25__,0_5___1_5,4_5___5_5,0_35_kg_m2
2___6__,V_dt_og_varmt,3_5___4_5,0_l_ha,6___10__,0_01___0_5__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_25_kg_m2
6___10__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,0_5___1__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_60_kg_m2
50___100__,V_dt_og_varmt,0_0___0_5,0_75_l_ha,2___6__,0_00___0_01__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_00_kg_m2
50___100__,T_rt_og_varmt,1_5___2_5,0_25_l_ha,2___6__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_55_kg_m2
10___25__,V_dt_og_varmt,0_5___1_5,0_75_l_ha,1___2__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
2___6__,T_rt_og_varmt,2_5___3_5,0_l_ha,6___10__,0_01___0_5__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_55_kg_m2
6___10__,V_dt_og_koldt,2_5___3_5,0_50_l_ha,0_5___1__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_55_kg_m2
2___6__,T_rt_og_koldt,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
10___25__,V_dt_og_koldt,5_5___6_5,0_25_l_ha,0_5___1__,0_00___0_01__,___6_5,0_00___0_01__,1_5___2_5,___6_5,0_55_kg_m2
1___2__,T_rt_og_koldt,1_5___2_5,0_l_ha,2___6__,0_5___1__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
6___10__,V_dt_og_koldt,4_5___5_5,0_25_l_ha,0_5___1__,0_00___0_01__,5_5___6_5,0_00___0_01__,1_5___2_5,5_5___6_5,0_80_kg_m2
6___10__,T_rt_og_koldt,1_5___2_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_45_kg_m2
2___6__,V_dt_og_varmt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_30_kg_m2
1___2__,V_dt_og_koldt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,___6_5,0_35_kg_m2
50___100__,T_rt_og_varmt,0_5___1_5,0_25_l_ha,2___6__,25___50__,1_5___2_5,50___100__,0_0___0_5,1_5___2_5,0_00_kg_m2
10___25__,V_dt_og_koldt,3_5___4_5,0_50_l_ha,0_5___1__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
1___2__,V_dt_og_koldt,1_5___2_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_50_kg_m2
1___2__,V_dt_og_koldt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
25___50__,T_rt_og_koldt,1_5___2_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,1_5___2_5,0_00___0_01__,0_5___1_5,1_5___2_5,0_35_kg_m2
0_01___0_5__,T_rt_og_koldt,3_5___4_5,0_l_ha,0_5___1__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_35_kg_m2
1___2__,V_dt_og_koldt,3_5___4_5,0_l_ha,1___2__,0_01___0_5__,5_5___6_5,2___6__,0_5___1_5,5_5___6_5,0_30_kg_m2
25___50__,V_dt_og_koldt,2_5___3_5,0_75_l_ha,0_5___1__,1___2__,3_5___4_5,0_01___0_5__,0_5___1_5,3_5___4_5,0_60_kg_m2
0_01___0_5__,T_rt_og_varmt,0_5___1_5,0_l_ha,0_5___1__,0_00___0_01__,1_5___2_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_25_kg_m2
25___50__,T_rt_og_koldt,1_5___2_5,0_75_l_ha,0_5___1__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
50___100__,T_rt_og_varmt,0_0___0_5,0_75_l_ha,6___10__,10___25__,0_5___1_5,25___50__,0_0___0_5,0_5___1_5,0_25_kg_m2
10___25__,V_dt_og_varmt,1_5___2_5,0_25_l_ha,1___2__,10___25__,3_5___4_5,1___2__,0_5___1_5,3_5___4_5,0_25_kg_m2
0_00___0_01__,T_rt_og_koldt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_65_kg_m2
1___2__,T_rt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_01___0_5__,0_5___1_5,4_5___5_5,0_50_kg_m2
2___6__,T_rt_og_koldt,3_5___4_5,0_l_ha,1___2__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_45_kg_m2
10___25__,V_dt_og_varmt,0_5___1_5,0_l_ha,50___100__,0_5___1__,4_5___5_5,6___10__,0_0___0_5,0_5___1_5,0_25_kg_m2
50___100__,T_rt_og_varmt,0_0___0_5,0_l_ha,50___100__,2___6__,0_0___0_5,10___25__,0_0___0_5,0_0___0_5,0_15_kg_m2
2___6__,V_dt_og_varmt,0_0___0_5,0_l_ha,50___100__,50___100__,___6_5,25___50__,0_0___0_5,0_5___1_5,0_00_kg_m2
0_01___0_5__,T_rt_og_koldt,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,1_5___2_5,0_50_kg_m2
2___6__,V_dt_og_varmt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_35_kg_m2
1___2__,T_rt_og_koldt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_55_kg_m2
50___100__,T_rt_og_koldt,0_0___0_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_00_kg_m2
10___25__,V_dt_og_koldt,3_5___4_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_45_kg_m2
0_00___0_01__,V_dt_og_varmt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_45_kg_m2
50___100__,T_rt_og_varmt,0_0___0_5,0_25_l_ha,6___10__,0_00___0_01__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_15_kg_m2
25___50__,T_rt_og_koldt,2_5___3_5,0_l_ha,2___6__,0_01___0_5__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_60_kg_m2
0_5___1__,V_dt_og_varmt,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_65_kg_m2
10___25__,T_rt_og_koldt,3_5___4_5,0_50_l_ha,0_5___1__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_50_kg_m2
0_00___0_01__,T_rt_og_koldt,0_5___1_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
0_00___0_01__,V_dt_og_varmt,4_5___5_5,0_l_ha,0_00___0_01__,0_00___0_01__,___6_5,0_00___0_01__,1_5___2_5,___6_5,0_65_kg_m2
0_5___1__,V_dt_og_koldt,2_5___3_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
2___6__,T_rt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_35_kg_m2
6___10__,V_dt_og_koldt,1_5___2_5,0_75_l_ha,0_00___0_01__,0_01___0_5__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_45_kg_m2
0_00___0_01__,V_dt_og_koldt,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_45_kg_m2
0_01___0_5__,T_rt_og_varmt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_40_kg_m2
25___50__,V_dt_og_koldt,0_5___1_5,0_25_l_ha,2___6__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_10_kg_m2
0_00___0_01__,V_dt_og_varmt,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_01___0_5__,0_5___1_5,5_5___6_5,0_45_kg_m2
25___50__,V_dt_og_koldt,1_5___2_5,0_l_ha,6___10__,10___25__,3_5___4_5,6___10__,0_5___1_5,3_5___4_5,0_45_kg_m2
50___100__,T_rt_og_koldt,0_5___1_5,0_50_l_ha,1___2__,1___2__,1_5___2_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
50___100__,T_rt_og_koldt,0_0___0_5,0_75_l_ha,2___6__,2___6__,0_0___0_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_20_kg_m2
10___25__,V_dt_og_varmt,2_5___3_5,0_50_l_ha,0_5___1__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
0_5___1__,T_rt_og_varmt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,1_5___2_5,4_5___5_5,0_65_kg_m2
0_01___0_5__,T_rt_og_koldt,4_5___5_5,0_l_ha,0_01___0_5__,0_01___0_5__,___6_5,0_00___0_01__,1_5___2_5,___6_5,0_70_kg_m2
6___10__,V_dt_og_koldt,2_5___3_5,0_l_ha,6___10__,10___25__,5_5___6_5,0_5___1__,0_5___1_5,5_5___6_5,0_35_kg_m2
50___100__,T_rt_og_koldt,0_5___1_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_5___1_5,0_00___0_01__,0_0___0_5,0_5___1_5,0_20_kg_m2
1___2__,V_dt_og_varmt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,___6_5,0_00___0_01__,0_5___1_5,___6_5,0_55_kg_m2
10___25__,V_dt_og_koldt,1_5___2_5,0_50_l_ha,0_5___1__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
0_01___0_5__,T_rt_og_varmt,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_65_kg_m2
10___25__,T_rt_og_koldt,2_5___3_5,0_25_l_ha,0_5___1__,1___2__,2_5___3_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_50_kg_m2
10___25__,V_dt_og_varmt,2_5___3_5,0_75_l_ha,1___2__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_35_kg_m2
10___25__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_30_kg_m2
50___100__,T_rt_og_varmt,0_0___0_5,0_l_ha,50___100__,0_5___1__,0_5___1_5,0_00___0_01__,0_0___0_5,0_0___0_5,0_05_kg_m2
1___2__,V_dt_og_koldt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,4_5___5_5,0_45_kg_m2
25___50__,V_dt_og_varmt,1_5___2_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_5___1_5,2_5___3_5,0_45_kg_m2
0_5___1__,V_dt_og_koldt,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,5_5___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_45_kg_m2
6___10__,V_dt_og_varmt,2_5___3_5,0_25_l_ha,0_5___1__,0_01___0_5__,3_5___4_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_40_kg_m2
10___25__,T_rt_og_varmt,1_5___2_5,0_25_l_ha,2___6__,2___6__,4_5___5_5,2___6__,0_5___1_5,3_5___4_5,0_45_kg_m2
0_01___0_5__,T_rt_og_varmt,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,___6_5,0_00___0_01__,0_5___1_5,5_5___6_5,0_40_kg_m2
0_01___0_5__,T_rt_og_koldt,1_5___2_5,0_l_ha,0_00___0_01__,0_00___0_01__,4_5___5_5,0_00___0_01__,0_5___1_5,3_5___4_5,0_45_kg_m2
0_01___0_5__,T_rt_og_varmt,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,2_5___3_5,0_00___0_01__,0_0___0_5,1_5___2_5,0_00_kg_m2
