A,E,F,K,L,N,P,S,V,Y,Z
MS,GT3,T,other,mother,2,no,no,yes,3,2
MS,LE3,T,course,mother,2,no,yes,yes,3,4
MS,GT3,T,course,father,2,no,no,no,2,2
MS,GT3,T,course,mother,2,no,no,no,3,4
MS,LE3,T,other,mother,3,no,no,yes,2,2
MS,GT3,T,reputation,mother,1,no,no,yes,2,1
MS,GT3,T,course,father,1,no,no,yes,2,3
MS,GT3,T,other,father,2,no,no,yes,2,2
MS,LE3,T,home,other,2,no,yes,no,2,2
MS,LE3,T,other,father,1,no,yes,yes,3,3
MS,GT3,T,home,mother,3,no,yes,no,4,3
MS,GT3,T,course,mother,1,no,yes,yes,5,5
MS,LE3,T,reputation,mother,3,no,no,yes,4,4
MS,GT3,T,home,mother,3,no,no,yes,3,2
MS,GT3,T,course,other,3,no,no,yes,4,3
MS,LE3,T,course,mother,2,no,yes,yes,4,3
MS,GT3,T,home,mother,2,no,no,yes,1,3
MS,GT3,T,reputation,mother,2,no,yes,yes,5,4
MS,GT3,T,home,father,2,no,yes,yes,2,4
MS,GT3,T,other,mother,1,no,yes,yes,4,3
MS,GT3,T,home,father,2,no,yes,yes,4,3
MS,GT3,T,other,mother,1,no,no,no,3,2
MS,GT3,T,home,father,1,no,no,no,4,3
MS,GT3,T,other,mother,3,no,no,no,3,3
MS,GT3,T,reputation,mother,1,no,yes,yes,4,3
MS,GT3,T,course,mother,3,no,yes,yes,4,2
MS,LE3,T,course,mother,2,no,no,yes,3,4
MS,GT3,T,course,mother,2,no,yes,no,1,1
MS,LE3,A,course,other,2,no,no,no,5,4
MS,LE3,T,course,mother,1,no,no,yes,4,5
MS,GT3,T,course,other,1,no,no,no,5,3
MS,LE3,T,course,mother,1,no,no,yes,4,1
MS,LE3,T,course,father,1,no,no,yes,2,3
