meldug_1,lai_0,lai_3,lai_1,foto_1
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_55_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,5_5___6_5,0_40_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,5_5___6_5,0_75_kg_m2
6___10__,2_5___3_5,0_5___1_5,1_5___2_5,0_35_kg_m2
2___6__,2_5___3_5,1_5___2_5,2_5___3_5,0_65_kg_m2
6___10__,5_5___6_5,1_5___2_5,5_5___6_5,0_55_kg_m2
1___2__,2_5___3_5,2_5___3_5,2_5___3_5,0_35_kg_m2
0_00___0_01__,___6_5,3_5___4_5,___6_5,0_55_kg_m2
25___50__,4_5___5_5,1_5___2_5,2_5___3_5,0_50_kg_m2
2___6__,5_5___6_5,2_5___3_5,4_5___5_5,0_75_kg_m2
0_5___1__,2_5___3_5,1_5___2_5,2_5___3_5,0_35_kg_m2
6___10__,5_5___6_5,3_5___4_5,4_5___5_5,0_55_kg_m2
6___10__,3_5___4_5,2_5___3_5,3_5___4_5,0_60_kg_m2
6___10__,5_5___6_5,1_5___2_5,4_5___5_5,0_55_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
1___2__,5_5___6_5,3_5___4_5,5_5___6_5,0_55_kg_m2
0_01___0_5__,5_5___6_5,1_5___2_5,4_5___5_5,0_65_kg_m2
0_5___1__,3_5___4_5,3_5___4_5,4_5___5_5,0_65_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
2___6__,5_5___6_5,2_5___3_5,4_5___5_5,0_70_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_15_kg_m2
10___25__,5_5___6_5,3_5___4_5,4_5___5_5,0_55_kg_m2
6___10__,4_5___5_5,3_5___4_5,4_5___5_5,0_45_kg_m2
10___25__,3_5___4_5,1_5___2_5,2_5___3_5,0_50_kg_m2
0_01___0_5__,___6_5,3_5___4_5,___6_5,0_30_kg_m2
10___25__,2_5___3_5,1_5___2_5,1_5___2_5,0_35_kg_m2
6___10__,5_5___6_5,3_5___4_5,5_5___6_5,0_60_kg_m2
0_5___1__,4_5___5_5,2_5___3_5,4_5___5_5,0_55_kg_m2
25___50__,2_5___3_5,0_5___1_5,1_5___2_5,0_40_kg_m2
6___10__,5_5___6_5,1_5___2_5,4_5___5_5,0_55_kg_m2
2___6__,5_5___6_5,2_5___3_5,4_5___5_5,0_45_kg_m2
0_01___0_5__,___6_5,4_5___5_5,___6_5,0_60_kg_m2
2___6__,5_5___6_5,3_5___4_5,4_5___5_5,0_50_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,4_5___5_5,0_60_kg_m2
25___50__,4_5___5_5,0_5___1_5,2_5___3_5,0_60_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_50_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,3_5___4_5,0_65_kg_m2
10___25__,5_5___6_5,1_5___2_5,3_5___4_5,0_45_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,5_5___6_5,0_55_kg_m2
10___25__,2_5___3_5,0_5___1_5,1_5___2_5,0_30_kg_m2
0_00___0_01__,3_5___4_5,1_5___2_5,3_5___4_5,0_60_kg_m2
1___2__,3_5___4_5,1_5___2_5,3_5___4_5,0_55_kg_m2
50___100__,4_5___5_5,0_0___0_5,0_5___1_5,0_40_kg_m2
6___10__,2_5___3_5,2_5___3_5,2_5___3_5,0_40_kg_m2
50___100__,5_5___6_5,0_5___1_5,1_5___2_5,0_30_kg_m2
50___100__,5_5___6_5,0_0___0_5,1_5___2_5,0_35_kg_m2
50___100__,2_5___3_5,0_0___0_5,0_0___0_5,0_00_kg_m2
1___2__,5_5___6_5,4_5___5_5,5_5___6_5,0_65_kg_m2
1___2__,5_5___6_5,4_5___5_5,5_5___6_5,0_55_kg_m2
6___10__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_5___1_5,0_20_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_50_kg_m2
6___10__,5_5___6_5,2_5___3_5,___6_5,0_55_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_15_kg_m2
1___2__,3_5___4_5,2_5___3_5,3_5___4_5,0_60_kg_m2
10___25__,4_5___5_5,3_5___4_5,4_5___5_5,0_45_kg_m2
10___25__,___6_5,2_5___3_5,5_5___6_5,0_60_kg_m2
50___100__,5_5___6_5,0_5___1_5,2_5___3_5,0_35_kg_m2
0_00___0_01__,3_5___4_5,1_5___2_5,3_5___4_5,0_60_kg_m2
10___25__,___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
0_00___0_01__,2_5___3_5,1_5___2_5,2_5___3_5,0_40_kg_m2
0_5___1__,5_5___6_5,2_5___3_5,5_5___6_5,0_50_kg_m2
50___100__,5_5___6_5,0_5___1_5,1_5___2_5,0_35_kg_m2
50___100__,2_5___3_5,0_5___1_5,0_5___1_5,0_30_kg_m2
25___50__,5_5___6_5,1_5___2_5,2_5___3_5,0_50_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,4_5___5_5,0_30_kg_m2
10___25__,5_5___6_5,2_5___3_5,4_5___5_5,0_60_kg_m2
2___6__,___6_5,3_5___4_5,5_5___6_5,0_50_kg_m2
6___10__,3_5___4_5,1_5___2_5,3_5___4_5,0_40_kg_m2
0_5___1__,5_5___6_5,5_5___6_5,___6_5,0_40_kg_m2
2___6__,2_5___3_5,1_5___2_5,2_5___3_5,0_35_kg_m2
2___6__,5_5___6_5,3_5___4_5,4_5___5_5,0_45_kg_m2
1___2__,3_5___4_5,2_5___3_5,3_5___4_5,0_40_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,5_5___6_5,0_55_kg_m2
0_00___0_01__,2_5___3_5,1_5___2_5,2_5___3_5,0_50_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,5_5___6_5,0_65_kg_m2
2___6__,5_5___6_5,5_5___6_5,___6_5,0_50_kg_m2
0_00___0_01__,2_5___3_5,1_5___2_5,2_5___3_5,0_35_kg_m2
2___6__,4_5___5_5,2_5___3_5,3_5___4_5,0_45_kg_m2
50___100__,5_5___6_5,0_5___1_5,0_5___1_5,0_30_kg_m2
1___2__,3_5___4_5,1_5___2_5,2_5___3_5,0_45_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
2___6__,___6_5,3_5___4_5,___6_5,0_40_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,4_5___5_5,0_50_kg_m2
10___25__,___6_5,3_5___4_5,5_5___6_5,0_40_kg_m2
6___10__,___6_5,4_5___5_5,___6_5,0_50_kg_m2
6___10__,5_5___6_5,2_5___3_5,5_5___6_5,0_50_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_60_kg_m2
25___50__,4_5___5_5,1_5___2_5,3_5___4_5,0_55_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,___6_5,0_70_kg_m2
1___2__,___6_5,4_5___5_5,___6_5,0_65_kg_m2
1___2__,5_5___6_5,2_5___3_5,5_5___6_5,0_55_kg_m2
0_5___1__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_60_kg_m2
10___25__,5_5___6_5,3_5___4_5,5_5___6_5,0_55_kg_m2
50___100__,3_5___4_5,0_5___1_5,1_5___2_5,0_40_kg_m2
0_5___1__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_65_kg_m2
10___25__,3_5___4_5,2_5___3_5,2_5___3_5,0_45_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_80_kg_m2
10___25__,5_5___6_5,2_5___3_5,3_5___4_5,0_55_kg_m2
0_5___1__,3_5___4_5,3_5___4_5,4_5___5_5,0_60_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,5_5___6_5,0_40_kg_m2
1___2__,3_5___4_5,1_5___2_5,3_5___4_5,0_45_kg_m2
50___100__,2_5___3_5,0_0___0_5,0_5___1_5,0_25_kg_m2
10___25__,5_5___6_5,2_5___3_5,5_5___6_5,0_45_kg_m2
25___50__,___6_5,2_5___3_5,3_5___4_5,0_35_kg_m2
25___50__,4_5___5_5,0_5___1_5,1_5___2_5,0_40_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_40_kg_m2
1___2__,5_5___6_5,4_5___5_5,___6_5,0_50_kg_m2
0_00___0_01__,5_5___6_5,3_5___4_5,___6_5,0_60_kg_m2
1___2__,5_5___6_5,4_5___5_5,___6_5,0_35_kg_m2
2___6__,3_5___4_5,2_5___3_5,3_5___4_5,0_45_kg_m2
25___50__,2_5___3_5,0_0___0_5,0_5___1_5,0_25_kg_m2
25___50__,5_5___6_5,1_5___2_5,3_5___4_5,0_45_kg_m2
1___2__,4_5___5_5,3_5___4_5,4_5___5_5,0_60_kg_m2
1___2__,4_5___5_5,1_5___2_5,4_5___5_5,0_40_kg_m2
50___100__,3_5___4_5,0_0___0_5,0_5___1_5,0_15_kg_m2
0_5___1__,3_5___4_5,1_5___2_5,3_5___4_5,0_55_kg_m2
1___2__,5_5___6_5,3_5___4_5,4_5___5_5,0_60_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_00_kg_m2
0_01___0_5__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_15_kg_m2
0_5___1__,3_5___4_5,1_5___2_5,3_5___4_5,0_55_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_80_kg_m2
50___100__,5_5___6_5,0_5___1_5,2_5___3_5,0_30_kg_m2
0_5___1__,4_5___5_5,1_5___2_5,3_5___4_5,0_60_kg_m2
25___50__,3_5___4_5,1_5___2_5,1_5___2_5,0_30_kg_m2
50___100__,5_5___6_5,0_5___1_5,2_5___3_5,0_45_kg_m2
0_00___0_01__,4_5___5_5,3_5___4_5,5_5___6_5,0_55_kg_m2
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_55_kg_m2
1___2__,5_5___6_5,2_5___3_5,4_5___5_5,0_50_kg_m2
6___10__,3_5___4_5,0_0___0_5,3_5___4_5,0_25_kg_m2
0_5___1__,___6_5,2_5___3_5,5_5___6_5,0_65_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_65_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_15_kg_m2
10___25__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
25___50__,2_5___3_5,1_5___2_5,1_5___2_5,0_45_kg_m2
50___100__,3_5___4_5,0_5___1_5,0_5___1_5,0_20_kg_m2
50___100__,5_5___6_5,1_5___2_5,1_5___2_5,0_50_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,5_5___6_5,0_40_kg_m2
0_5___1__,___6_5,4_5___5_5,___6_5,0_50_kg_m2
0_01___0_5__,4_5___5_5,2_5___3_5,4_5___5_5,0_50_kg_m2
0_00___0_01__,___6_5,3_5___4_5,___6_5,0_55_kg_m2
10___25__,5_5___6_5,2_5___3_5,3_5___4_5,0_45_kg_m2
0_00___0_01__,4_5___5_5,3_5___4_5,5_5___6_5,0_55_kg_m2
6___10__,5_5___6_5,2_5___3_5,4_5___5_5,0_65_kg_m2
25___50__,3_5___4_5,1_5___2_5,2_5___3_5,0_40_kg_m2
1___2__,3_5___4_5,2_5___3_5,4_5___5_5,0_55_kg_m2
2___6__,___6_5,4_5___5_5,___6_5,0_45_kg_m2
10___25__,5_5___6_5,4_5___5_5,5_5___6_5,0_45_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,4_5___5_5,0_55_kg_m2
2___6__,3_5___4_5,0_5___1_5,3_5___4_5,0_45_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,5_5___6_5,0_70_kg_m2
6___10__,5_5___6_5,2_5___3_5,4_5___5_5,0_50_kg_m2
50___100__,3_5___4_5,0_0___0_5,0_5___1_5,0_35_kg_m2
50___100__,5_5___6_5,1_5___2_5,2_5___3_5,0_55_kg_m2
2___6__,2_5___3_5,0_5___1_5,2_5___3_5,0_40_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_50_kg_m2
50___100__,2_5___3_5,0_5___1_5,0_5___1_5,0_25_kg_m2
1___2__,2_5___3_5,0_5___1_5,2_5___3_5,0_45_kg_m2
1___2__,4_5___5_5,3_5___4_5,4_5___5_5,0_45_kg_m2
2___6__,4_5___5_5,3_5___4_5,4_5___5_5,0_35_kg_m2
25___50__,3_5___4_5,1_5___2_5,2_5___3_5,0_45_kg_m2
2___6__,4_5___5_5,2_5___3_5,4_5___5_5,0_60_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_40_kg_m2
2___6__,2_5___3_5,1_5___2_5,2_5___3_5,0_30_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_40_kg_m2
0_01___0_5__,2_5___3_5,1_5___2_5,2_5___3_5,0_45_kg_m2
0_5___1__,4_5___5_5,3_5___4_5,5_5___6_5,0_45_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,5_5___6_5,0_65_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,4_5___5_5,0_60_kg_m2
6___10__,5_5___6_5,3_5___4_5,4_5___5_5,0_55_kg_m2
0_00___0_01__,2_5___3_5,0_5___1_5,1_5___2_5,0_45_kg_m2
0_5___1__,___6_5,3_5___4_5,___6_5,0_60_kg_m2
25___50__,___6_5,1_5___2_5,4_5___5_5,0_65_kg_m2
50___100__,3_5___4_5,0_0___0_5,0_0___0_5,0_10_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
25___50__,4_5___5_5,0_5___1_5,2_5___3_5,0_50_kg_m2
0_00___0_01__,3_5___4_5,1_5___2_5,3_5___4_5,0_65_kg_m2
50___100__,4_5___5_5,0_5___1_5,1_5___2_5,0_35_kg_m2
2___6__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
2___6__,2_5___3_5,1_5___2_5,2_5___3_5,0_35_kg_m2
0_00___0_01__,4_5___5_5,2_5___3_5,4_5___5_5,0_45_kg_m2
0_5___1__,2_5___3_5,1_5___2_5,2_5___3_5,0_40_kg_m2
0_01___0_5__,4_5___5_5,2_5___3_5,4_5___5_5,0_60_kg_m2
0_00___0_01__,___6_5,5_5___6_5,___6_5,0_60_kg_m2
0_01___0_5__,2_5___3_5,1_5___2_5,2_5___3_5,0_55_kg_m2
25___50__,2_5___3_5,0_5___1_5,1_5___2_5,0_30_kg_m2
25___50__,4_5___5_5,1_5___2_5,2_5___3_5,0_50_kg_m2
0_00___0_01__,2_5___3_5,0_5___1_5,1_5___2_5,0_40_kg_m2
50___100__,3_5___4_5,0_5___1_5,0_5___1_5,0_25_kg_m2
0_00___0_01__,___6_5,4_5___5_5,___6_5,0_60_kg_m2
2___6__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_00_kg_m2
2___6__,4_5___5_5,3_5___4_5,5_5___6_5,0_40_kg_m2
1___2__,4_5___5_5,2_5___3_5,3_5___4_5,0_65_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
0_5___1__,3_5___4_5,2_5___3_5,4_5___5_5,0_40_kg_m2
10___25__,___6_5,2_5___3_5,4_5___5_5,0_50_kg_m2
0_5___1__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_65_kg_m2
6___10__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_50_kg_m2
6___10__,3_5___4_5,1_5___2_5,3_5___4_5,0_35_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,5_5___6_5,0_65_kg_m2
2___6__,4_5___5_5,2_5___3_5,4_5___5_5,0_50_kg_m2
25___50__,2_5___3_5,0_5___1_5,1_5___2_5,0_30_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,5_5___6_5,0_60_kg_m2
6___10__,5_5___6_5,1_5___2_5,4_5___5_5,0_50_kg_m2
0_01___0_5__,___6_5,3_5___4_5,___6_5,0_65_kg_m2
0_5___1__,5_5___6_5,2_5___3_5,___6_5,0_55_kg_m2
10___25__,4_5___5_5,1_5___2_5,2_5___3_5,0_40_kg_m2
6___10__,___6_5,3_5___4_5,4_5___5_5,0_65_kg_m2
2___6__,2_5___3_5,1_5___2_5,2_5___3_5,0_45_kg_m2
0_5___1__,4_5___5_5,3_5___4_5,4_5___5_5,0_50_kg_m2
1___2__,5_5___6_5,3_5___4_5,5_5___6_5,0_65_kg_m2
10___25__,3_5___4_5,1_5___2_5,2_5___3_5,0_40_kg_m2
0_5___1__,4_5___5_5,2_5___3_5,4_5___5_5,0_60_kg_m2
0_5___1__,4_5___5_5,2_5___3_5,4_5___5_5,0_45_kg_m2
0_01___0_5__,4_5___5_5,2_5___3_5,3_5___4_5,0_40_kg_m2
10___25__,3_5___4_5,1_5___2_5,2_5___3_5,0_35_kg_m2
50___100__,___6_5,0_5___1_5,2_5___3_5,0_35_kg_m2
50___100__,3_5___4_5,0_5___1_5,0_5___1_5,0_40_kg_m2
50___100__,2_5___3_5,0_5___1_5,0_5___1_5,0_40_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_55_kg_m2
6___10__,2_5___3_5,1_5___2_5,1_5___2_5,0_45_kg_m2
1___2__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
0_5___1__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
10___25__,5_5___6_5,2_5___3_5,5_5___6_5,0_35_kg_m2
1___2__,___6_5,4_5___5_5,___6_5,0_75_kg_m2
50___100__,5_5___6_5,1_5___2_5,1_5___2_5,0_30_kg_m2
1___2__,___6_5,0_5___1_5,___6_5,0_50_kg_m2
1___2__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_60_kg_m2
10___25__,4_5___5_5,2_5___3_5,3_5___4_5,0_60_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,5_5___6_5,0_75_kg_m2
25___50__,4_5___5_5,1_5___2_5,2_5___3_5,0_45_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,5_5___6_5,0_45_kg_m2
2___6__,4_5___5_5,2_5___3_5,3_5___4_5,0_40_kg_m2
25___50__,4_5___5_5,0_0___0_5,2_5___3_5,0_40_kg_m2
50___100__,5_5___6_5,0_5___1_5,1_5___2_5,0_45_kg_m2
50___100__,4_5___5_5,1_5___2_5,1_5___2_5,0_40_kg_m2
2___6__,5_5___6_5,3_5___4_5,4_5___5_5,0_45_kg_m2
10___25__,5_5___6_5,0_5___1_5,4_5___5_5,0_60_kg_m2
0_01___0_5__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
10___25__,5_5___6_5,2_5___3_5,4_5___5_5,0_45_kg_m2
50___100__,5_5___6_5,0_0___0_5,0_0___0_5,0_00_kg_m2
25___50__,5_5___6_5,2_5___3_5,3_5___4_5,0_45_kg_m2
25___50__,5_5___6_5,0_0___0_5,4_5___5_5,0_40_kg_m2
6___10__,2_5___3_5,1_5___2_5,2_5___3_5,0_45_kg_m2
6___10__,4_5___5_5,2_5___3_5,3_5___4_5,0_60_kg_m2
50___100__,4_5___5_5,0_0___0_5,1_5___2_5,0_30_kg_m2
0_5___1__,4_5___5_5,4_5___5_5,5_5___6_5,0_55_kg_m2
0_00___0_01__,4_5___5_5,3_5___4_5,3_5___4_5,0_50_kg_m2
2___6__,4_5___5_5,1_5___2_5,4_5___5_5,0_55_kg_m2
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_30_kg_m2
25___50__,___6_5,0_0___0_5,4_5___5_5,0_65_kg_m2
50___100__,5_5___6_5,0_5___1_5,0_5___1_5,0_30_kg_m2
0_5___1__,5_5___6_5,1_5___2_5,4_5___5_5,0_35_kg_m2
2___6__,___6_5,2_5___3_5,5_5___6_5,0_35_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,___6_5,0_45_kg_m2
10___25__,4_5___5_5,2_5___3_5,3_5___4_5,0_70_kg_m2
50___100__,___6_5,0_0___0_5,0_5___1_5,0_30_kg_m2
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_55_kg_m2
0_00___0_01__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
2___6__,4_5___5_5,1_5___2_5,3_5___4_5,0_30_kg_m2
0_5___1__,4_5___5_5,2_5___3_5,4_5___5_5,0_45_kg_m2
0_00___0_01__,4_5___5_5,1_5___2_5,4_5___5_5,0_60_kg_m2
1___2__,5_5___6_5,3_5___4_5,5_5___6_5,0_60_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,4_5___5_5,0_60_kg_m2
50___100__,5_5___6_5,0_5___1_5,0_5___1_5,0_15_kg_m2
6___10__,5_5___6_5,3_5___4_5,5_5___6_5,0_60_kg_m2
0_00___0_01__,5_5___6_5,3_5___4_5,5_5___6_5,0_70_kg_m2
0_01___0_5__,2_5___3_5,1_5___2_5,2_5___3_5,0_50_kg_m2
25___50__,___6_5,3_5___4_5,4_5___5_5,0_40_kg_m2
0_00___0_01__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
0_5___1__,3_5___4_5,2_5___3_5,4_5___5_5,0_45_kg_m2
10___25__,5_5___6_5,1_5___2_5,3_5___4_5,0_60_kg_m2
50___100__,3_5___4_5,0_5___1_5,1_5___2_5,0_50_kg_m2
10___25__,4_5___5_5,3_5___4_5,4_5___5_5,0_45_kg_m2
50___100__,3_5___4_5,0_5___1_5,0_5___1_5,0_35_kg_m2
0_01___0_5__,3_5___4_5,2_5___3_5,3_5___4_5,0_35_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_55_kg_m2
25___50__,5_5___6_5,2_5___3_5,3_5___4_5,0_60_kg_m2
6___10__,3_5___4_5,1_5___2_5,2_5___3_5,0_40_kg_m2
1___2__,___6_5,4_5___5_5,___6_5,0_35_kg_m2
50___100__,3_5___4_5,0_5___1_5,0_5___1_5,0_30_kg_m2
50___100__,3_5___4_5,0_0___0_5,0_5___1_5,0_30_kg_m2
10___25__,3_5___4_5,1_5___2_5,2_5___3_5,0_30_kg_m2
2___6__,5_5___6_5,2_5___3_5,5_5___6_5,0_55_kg_m2
10___25__,3_5___4_5,1_5___2_5,3_5___4_5,0_35_kg_m2
25___50__,5_5___6_5,2_5___3_5,3_5___4_5,0_75_kg_m2
10___25__,5_5___6_5,3_5___4_5,4_5___5_5,0_35_kg_m2
25___50__,___6_5,2_5___3_5,3_5___4_5,0_40_kg_m2
0_01___0_5__,4_5___5_5,4_5___5_5,5_5___6_5,0_65_kg_m2
25___50__,4_5___5_5,0_0___0_5,2_5___3_5,0_45_kg_m2
1___2__,3_5___4_5,3_5___4_5,4_5___5_5,0_55_kg_m2
1___2__,5_5___6_5,0_5___1_5,4_5___5_5,0_70_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_45_kg_m2
25___50__,3_5___4_5,1_5___2_5,2_5___3_5,0_60_kg_m2
10___25__,5_5___6_5,2_5___3_5,4_5___5_5,0_65_kg_m2
10___25__,4_5___5_5,2_5___3_5,3_5___4_5,0_50_kg_m2
25___50__,___6_5,2_5___3_5,4_5___5_5,0_65_kg_m2
1___2__,4_5___5_5,2_5___3_5,4_5___5_5,0_55_kg_m2
0_5___1__,3_5___4_5,1_5___2_5,3_5___4_5,0_50_kg_m2
10___25__,2_5___3_5,1_5___2_5,2_5___3_5,0_65_kg_m2
1___2__,___6_5,4_5___5_5,___6_5,0_45_kg_m2
6___10__,5_5___6_5,5_5___6_5,5_5___6_5,0_50_kg_m2
0_01___0_5__,4_5___5_5,1_5___2_5,3_5___4_5,0_55_kg_m2
2___6__,5_5___6_5,4_5___5_5,5_5___6_5,0_45_kg_m2
50___100__,3_5___4_5,0_5___1_5,1_5___2_5,0_40_kg_m2
25___50__,3_5___4_5,0_5___1_5,1_5___2_5,0_35_kg_m2
0_5___1__,5_5___6_5,3_5___4_5,5_5___6_5,0_50_kg_m2
0_01___0_5__,2_5___3_5,1_5___2_5,3_5___4_5,0_50_kg_m2
10___25__,5_5___6_5,3_5___4_5,4_5___5_5,0_35_kg_m2
0_00___0_01__,5_5___6_5,4_5___5_5,___6_5,0_60_kg_m2
2___6__,3_5___4_5,2_5___3_5,4_5___5_5,0_55_kg_m2
10___25__,___6_5,0_0___0_5,5_5___6_5,0_60_kg_m2
0_00___0_01__,___6_5,3_5___4_5,___6_5,0_50_kg_m2
1___2__,4_5___5_5,3_5___4_5,5_5___6_5,0_60_kg_m2
6___10__,5_5___6_5,3_5___4_5,___6_5,0_60_kg_m2
50___100__,4_5___5_5,0_5___1_5,1_5___2_5,0_35_kg_m2
2___6__,4_5___5_5,2_5___3_5,4_5___5_5,0_65_kg_m2
1___2__,2_5___3_5,1_5___2_5,2_5___3_5,0_45_kg_m2
1___2__,4_5___5_5,3_5___4_5,4_5___5_5,0_35_kg_m2
0_00___0_01__,5_5___6_5,3_5___4_5,5_5___6_5,0_40_kg_m2
2___6__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
10___25__,___6_5,2_5___3_5,4_5___5_5,0_60_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,4_5___5_5,0_55_kg_m2
0_01___0_5__,5_5___6_5,2_5___3_5,5_5___6_5,0_50_kg_m2
0_00___0_01__,5_5___6_5,2_5___3_5,5_5___6_5,0_40_kg_m2
0_01___0_5__,5_5___6_5,4_5___5_5,4_5___5_5,0_45_kg_m2
10___25__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
25___50__,5_5___6_5,2_5___3_5,4_5___5_5,0_45_kg_m2
0_00___0_01__,5_5___6_5,3_5___4_5,5_5___6_5,0_65_kg_m2
6___10__,5_5___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
25___50__,2_5___3_5,0_5___1_5,1_5___2_5,0_35_kg_m2
0_5___1__,2_5___3_5,1_5___2_5,2_5___3_5,0_40_kg_m2
1___2__,5_5___6_5,3_5___4_5,5_5___6_5,0_55_kg_m2
0_5___1__,3_5___4_5,2_5___3_5,3_5___4_5,0_50_kg_m2
10___25__,4_5___5_5,0_5___1_5,4_5___5_5,0_65_kg_m2
25___50__,4_5___5_5,1_5___2_5,2_5___3_5,0_40_kg_m2
0_01___0_5__,5_5___6_5,3_5___4_5,5_5___6_5,0_35_kg_m2
0_00___0_01__,3_5___4_5,2_5___3_5,3_5___4_5,0_45_kg_m2
0_5___1__,___6_5,4_5___5_5,___6_5,0_50_kg_m2
2___6__,5_5___6_5,3_5___4_5,5_5___6_5,0_45_kg_m2
25___50__,___6_5,2_5___3_5,4_5___5_5,0_40_kg_m2
0_01___0_5__,___6_5,4_5___5_5,___6_5,0_50_kg_m2
10___25__,5_5___6_5,3_5___4_5,4_5___5_5,0_60_kg_m2
2___6__,3_5___4_5,2_5___3_5,3_5___4_5,0_75_kg_m2
0_5___1__,4_5___5_5,3_5___4_5,5_5___6_5,0_45_kg_m2
