E,F,G,H,I,J,O
14,Never-married,Exec-managerial,Not-in-family,White,Male,>50K
10,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
7,Separated,Other-service,Own-child,White,Female,<=50K
11,Never-married,Priv-house-serv,Own-child,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
9,Married-civ-spouse,Sales,Wife,White,Female,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
13,Never-married,Sales,Own-child,White,Male,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
9,Separated,Handlers-cleaners,Not-in-family,Black,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
9,Divorced,Transport-moving,Not-in-family,White,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
9,Never-married,Sales,Not-in-family,White,Female,<=50K
10,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
13,Never-married,Exec-managerial,Own-child,White,Male,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
9,Widowed,noValueSetHere123156456,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,>50K
9,Divorced,Other-service,Other-relative,Black,Male,<=50K
6,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
10,Divorced,Adm-clerical,Not-in-family,Black,Female,<=50K
14,Divorced,Exec-managerial,Unmarried,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,Sales,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
16,Never-married,Prof-specialty,Other-relative,White,Female,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
7,Never-married,Priv-house-serv,Own-child,White,Female,<=50K
5,Divorced,Prof-specialty,Not-in-family,Black,Female,<=50K
6,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
14,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
10,Separated,Adm-clerical,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
10,Never-married,Prof-specialty,Own-child,White,Male,<=50K
10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,<=50K
6,Widowed,Machine-op-inspct,Unmarried,Black,Female,<=50K
3,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Separated,Adm-clerical,Unmarried,White,Female,<=50K
2,Never-married,Other-service,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
8,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
9,Never-married,Other-service,Unmarried,Black,Female,<=50K
14,Divorced,Prof-specialty,Not-in-family,White,Male,>50K
16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50K
9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,<=50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
9,Never-married,Sales,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
14,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Divorced,Other-service,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
13,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
7,Never-married,Machine-op-inspct,Not-in-family,Black,Female,<=50K
13,Never-married,Other-service,Not-in-family,White,Female,<=50K
11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Never-married,Tech-support,Own-child,White,Male,<=50K
13,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
7,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,Black,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
9,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
7,Never-married,Other-service,Own-child,Black,Female,<=50K
10,Never-married,Farming-fishing,Unmarried,White,Male,<=50K
11,Divorced,Prof-specialty,Unmarried,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Sales,Own-child,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
10,Separated,Adm-clerical,Unmarried,White,Female,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
12,Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
12,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Widowed,Other-service,Unmarried,White,Female,<=50K
9,Never-married,Exec-managerial,Own-child,White,Male,<=50K
10,Separated,Exec-managerial,Not-in-family,White,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
8,Never-married,noValueSetHere123156456,Not-in-family,Black,Female,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
14,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
4,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,<=50K
9,Never-married,Other-service,Own-child,White,Male,<=50K
13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,<=50K
12,Never-married,Tech-support,Not-in-family,White,Female,<=50K
11,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,<=50K
10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,<=50K
16,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
8,Never-married,Sales,Own-child,White,Male,<=50K
13,Never-married,Other-service,Not-in-family,White,Male,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
8,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Never-married,Adm-clerical,Own-child,White,Female,<=50K
10,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
7,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Widowed,Sales,Unmarried,White,Female,<=50K
11,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
12,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
10,Married-civ-spouse,Protective-serv,Husband,Black,Male,<=50K
9,Divorced,Sales,Other-relative,White,Female,<=50K
13,Never-married,Adm-clerical,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
13,Never-married,Adm-clerical,Own-child,White,Male,<=50K
10,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
10,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Divorced,Other-service,Unmarried,White,Male,<=50K
9,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Separated,Exec-managerial,Other-relative,White,Male,<=50K
9,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
9,Never-married,Handlers-cleaners,Unmarried,White,Male,<=50K
10,Never-married,Prof-specialty,Not-in-family,Black,Female,<=50K
12,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
11,Never-married,Tech-support,Own-child,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
16,Never-married,Prof-specialty,Not-in-family,White,Male,>50K
10,Married-civ-spouse,Sales,Husband,Black,Male,<=50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Married-civ-spouse,Sales,Wife,White,Female,<=50K
10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50K
8,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
14,Never-married,Prof-specialty,Own-child,White,Female,<=50K
10,Never-married,Sales,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Never-married,Adm-clerical,Own-child,White,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
9,Separated,Adm-clerical,Unmarried,White,Female,<=50K
10,Never-married,Sales,Own-child,Black,Female,<=50K
13,Never-married,Exec-managerial,Unmarried,White,Female,<=50K
11,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Other-service,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
9,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
14,Divorced,Prof-specialty,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
12,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Sales,Not-in-family,White,Female,<=50K
9,Divorced,Other-service,Not-in-family,White,Male,<=50K
9,Divorced,Transport-moving,Unmarried,White,Male,<=50K
12,Never-married,Prof-specialty,Other-relative,Black,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Widowed,Sales,Unmarried,White,Female,<=50K
9,Divorced,Transport-moving,Not-in-family,White,Male,<=50K
8,Never-married,Sales,Not-in-family,Black,Male,<=50K
12,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
14,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
14,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
10,Never-married,Adm-clerical,Own-child,Black,Female,<=50K
7,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Other-service,Not-in-family,White,Male,<=50K
14,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
10,Never-married,Sales,Not-in-family,White,Male,<=50K
10,Never-married,Prof-specialty,Not-in-family,Other,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
10,Married-spouse-absent,Sales,Unmarried,Other,Female,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,<=50K
13,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
10,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
9,Never-married,Protective-serv,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
2,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,<=50K
10,Never-married,Sales,Not-in-family,White,Female,<=50K
7,Never-married,Adm-clerical,Own-child,White,Female,<=50K
16,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
6,Separated,Sales,Not-in-family,White,Female,<=50K
12,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
10,Married-spouse-absent,Craft-repair,Unmarried,White,Female,<=50K
4,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
10,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,<=50K
9,Divorced,Other-service,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Separated,Prof-specialty,Unmarried,White,Male,<=50K
9,Divorced,Machine-op-inspct,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Never-married,Adm-clerical,Own-child,White,Female,<=50K
6,Never-married,Sales,Other-relative,Black,Female,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
9,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
13,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
13,Divorced,Adm-clerical,Not-in-family,White,Male,<=50K
10,Divorced,Other-service,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Other-service,Own-child,White,Female,>50K
7,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Widowed,Craft-repair,Own-child,White,Female,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
7,Never-married,Other-service,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
13,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
12,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
14,Divorced,Exec-managerial,Not-in-family,White,Female,>50K
9,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
14,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
13,Never-married,Sales,Not-in-family,White,Female,<=50K
11,Divorced,Sales,Own-child,White,Female,<=50K
10,Never-married,Sales,Own-child,White,Female,<=50K
12,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Never-married,Sales,Not-in-family,Black,Male,<=50K
10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,<=50K
14,Widowed,Prof-specialty,Unmarried,White,Male,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
11,Divorced,Transport-moving,Not-in-family,White,Male,>50K
10,Widowed,Adm-clerical,Unmarried,Black,Female,<=50K
8,Never-married,Adm-clerical,Own-child,White,Female,<=50K
7,Separated,Tech-support,Not-in-family,Black,Male,<=50K
9,Separated,Other-service,Unmarried,Black,Female,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
8,Never-married,Prof-specialty,Own-child,White,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Unmarried,Black,Male,<=50K
12,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
12,Never-married,Sales,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
6,Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
9,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,<=50K
4,Married-spouse-absent,Priv-house-serv,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,>50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
10,Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Separated,Farming-fishing,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Sales,Wife,White,Female,<=50K
15,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
13,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
10,Divorced,Other-service,Not-in-family,White,Male,<=50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,<=50K
9,Never-married,Craft-repair,Own-child,Black,Female,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
14,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Divorced,Machine-op-inspct,Unmarried,White,Male,<=50K
10,Never-married,Sales,Own-child,Black,Male,<=50K
3,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,<=50K
11,Divorced,Other-service,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Never-married,Craft-repair,Other-relative,White,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
12,Divorced,Other-service,Unmarried,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Widowed,Adm-clerical,Not-in-family,White,Male,>50K
9,Divorced,Adm-clerical,Not-in-family,White,Male,<=50K
6,Never-married,Other-service,Own-child,White,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
8,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Never-married,Machine-op-inspct,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
11,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Farming-fishing,Unmarried,White,Male,<=50K
7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
12,Never-married,Sales,Not-in-family,White,Male,<=50K
14,Widowed,Prof-specialty,Unmarried,White,Female,<=50K
9,Separated,Machine-op-inspct,Unmarried,Black,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,Machine-op-inspct,Not-in-family,Black,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,>50K
13,Divorced,Tech-support,Unmarried,Black,Male,>50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,Other-service,Not-in-family,White,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
7,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
6,Never-married,Sales,Own-child,Black,Female,<=50K
7,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
9,Widowed,Adm-clerical,Unmarried,White,Female,>50K
9,Divorced,Other-service,Not-in-family,White,Male,<=50K
6,Never-married,Other-service,Own-child,Black,Male,<=50K
14,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Widowed,Other-service,Own-child,Asian-Pac-Islander,Female,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Never-married,Sales,Other-relative,White,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,<=50K
12,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
7,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
10,Never-married,Craft-repair,Not-in-family,Black,Male,<=50K
9,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
13,Never-married,Craft-repair,Not-in-family,White,Male,>50K
7,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
6,Never-married,Priv-house-serv,Own-child,White,Female,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Divorced,Protective-serv,Own-child,White,Male,<=50K
13,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
9,Divorced,Craft-repair,Own-child,White,Female,<=50K
9,Widowed,noValueSetHere123156456,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,>50K
9,Divorced,Exec-managerial,Other-relative,White,Female,<=50K
10,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
9,Separated,Craft-repair,Unmarried,White,Female,<=50K
7,Never-married,Sales,Own-child,White,Female,<=50K
11,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
16,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Widowed,Craft-repair,Not-in-family,White,Female,<=50K
10,Never-married,Exec-managerial,Own-child,Black,Male,<=50K
14,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
6,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
9,Separated,Other-service,Own-child,White,Male,<=50K
10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
7,Never-married,Other-service,Unmarried,White,Female,<=50K
10,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
9,Separated,Other-service,Unmarried,Black,Female,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
11,Never-married,Protective-serv,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
10,Never-married,Other-service,Own-child,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Separated,Sales,Not-in-family,White,Female,<=50K
13,Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
9,Divorced,Sales,Unmarried,Black,Male,<=50K
9,Never-married,Adm-clerical,Own-child,White,Female,<=50K
10,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
7,Never-married,Sales,Own-child,White,Female,<=50K
10,Never-married,Prof-specialty,Own-child,White,Female,<=50K
9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
6,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Divorced,Sales,Own-child,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Married-civ-spouse,Other-service,Husband,White,Male,>50K
11,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,>50K
6,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,Tech-support,Own-child,White,Male,<=50K
9,Divorced,Craft-repair,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,<=50K
6,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Sales,Not-in-family,White,Male,<=50K
9,Divorced,Farming-fishing,Not-in-family,White,Male,<=50K
12,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
6,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
11,Married-civ-spouse,Other-service,Other-relative,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,Black,Male,<=50K
10,Never-married,Craft-repair,Own-child,White,Female,<=50K
9,Divorced,noValueSetHere123156456,Not-in-family,Asian-Pac-Islander,Female,<=50K
10,Never-married,Craft-repair,Own-child,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Widowed,Craft-repair,Unmarried,White,Male,<=50K
