B,E,G,H,J
Private,13,Prof-specialty,Husband,Male
Private,10,Exec-managerial,Wife,Female
Self-emp-not-inc,12,Other-service,Own-child,Male
Private,9,Adm-clerical,Unmarried,Female
Private,13,Farming-fishing,Husband,Male
Private,10,Craft-repair,Husband,Male
Private,13,Sales,Husband,Male
Self-emp-not-inc,2,Sales,Husband,Male
Private,5,Other-service,Not-in-family,Male
Private,5,Other-service,Unmarried,Female
Self-emp-not-inc,9,Sales,Own-child,Male
Private,9,Transport-moving,Husband,Male
Private,7,Transport-moving,Own-child,Male
Private,7,Other-service,Own-child,Female
Private,10,Craft-repair,Own-child,Male
noValueSetHere123156456,5,noValueSetHere123156456,Own-child,Female
Private,6,Transport-moving,Husband,Male
Self-emp-not-inc,9,Transport-moving,Husband,Male
Private,10,Adm-clerical,Husband,Male
Private,9,Machine-op-inspct,Own-child,Female
Federal-gov,13,Tech-support,Not-in-family,Male
Private,13,Exec-managerial,Other-relative,Female
Private,7,Sales,Unmarried,Female
Self-emp-inc,12,Sales,Husband,Male
Private,6,Exec-managerial,Not-in-family,Male
Private,11,Other-service,Unmarried,Male
State-gov,10,Exec-managerial,Own-child,Male
Private,9,Craft-repair,Not-in-family,Male
Private,9,Handlers-cleaners,Husband,Male
Private,13,Craft-repair,Husband,Male
Private,9,Sales,Husband,Male
Local-gov,13,Prof-specialty,Own-child,Female
Private,15,Prof-specialty,Husband,Male
noValueSetHere123156456,6,noValueSetHere123156456,Unmarried,Female
Private,9,Sales,Unmarried,Female
Private,13,Sales,Not-in-family,Male
Private,10,Adm-clerical,Wife,Female
Private,10,Sales,Unmarried,Female
Private,14,Prof-specialty,Husband,Male
State-gov,9,Farming-fishing,Husband,Male
Private,9,Protective-serv,Husband,Male
Private,8,Adm-clerical,Husband,Male
Private,13,Prof-specialty,Own-child,Male
Self-emp-inc,7,Exec-managerial,Husband,Male
Self-emp-inc,11,Farming-fishing,Husband,Male
Private,9,Adm-clerical,Not-in-family,Male
Self-emp-not-inc,4,Machine-op-inspct,Husband,Male
Local-gov,14,Prof-specialty,Unmarried,Female
Private,10,Adm-clerical,Husband,Male
Private,10,Sales,Unmarried,Male
Federal-gov,9,Adm-clerical,Other-relative,Male
Private,13,Sales,Husband,Male
Private,10,Adm-clerical,Wife,Female
noValueSetHere123156456,9,noValueSetHere123156456,Husband,Male
Self-emp-not-inc,9,Sales,Husband,Male
Private,9,Craft-repair,Other-relative,Female
Private,10,Transport-moving,Own-child,Male
Private,13,Exec-managerial,Husband,Male
Private,13,Exec-managerial,Husband,Male
Private,9,Machine-op-inspct,Own-child,Female
Private,10,Handlers-cleaners,Husband,Male
Local-gov,14,Prof-specialty,Husband,Male
State-gov,13,Exec-managerial,Husband,Male
Local-gov,9,Other-service,Unmarried,Female
Private,10,Exec-managerial,Own-child,Male
Private,5,Farming-fishing,Unmarried,Male
Local-gov,9,Transport-moving,Unmarried,Female
Private,14,Sales,Husband,Male
Private,13,Prof-specialty,Not-in-family,Female
Private,9,Adm-clerical,Not-in-family,Female
Private,10,Machine-op-inspct,Own-child,Female
Local-gov,2,Handlers-cleaners,Unmarried,Male
Private,13,Adm-clerical,Wife,Female
Private,9,Craft-repair,Unmarried,Male
State-gov,13,Tech-support,Own-child,Female
State-gov,5,Adm-clerical,Not-in-family,Female
Private,9,Transport-moving,Husband,Male
State-gov,9,Craft-repair,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Private,9,Other-service,Own-child,Female
Private,10,Adm-clerical,Own-child,Male
Federal-gov,9,Adm-clerical,Husband,Male
Self-emp-not-inc,12,Exec-managerial,Husband,Male
Private,9,Craft-repair,Own-child,Male
Self-emp-not-inc,10,Exec-managerial,Husband,Male
Local-gov,13,Prof-specialty,Not-in-family,Male
Private,10,Craft-repair,Husband,Male
Private,13,Transport-moving,Husband,Male
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Private,2,Exec-managerial,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,11,Craft-repair,Husband,Male
Private,13,Machine-op-inspct,Own-child,Female
Private,9,Handlers-cleaners,Husband,Male
Private,12,Craft-repair,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,9,Adm-clerical,Not-in-family,Female
Federal-gov,13,Adm-clerical,Not-in-family,Male
Private,13,Exec-managerial,Husband,Male
State-gov,13,Protective-serv,Husband,Male
Private,9,Other-service,Own-child,Male
Self-emp-not-inc,3,Sales,Not-in-family,Female
Private,14,Sales,Husband,Male
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,9,Handlers-cleaners,Own-child,Male
Private,10,Transport-moving,Husband,Male
Private,9,Transport-moving,Own-child,Male
Private,13,Exec-managerial,Unmarried,Female
Private,9,Machine-op-inspct,Own-child,Female
Private,8,Farming-fishing,Own-child,Male
Self-emp-not-inc,10,Sales,Husband,Male
Private,7,Farming-fishing,Husband,Male
Private,13,Prof-specialty,Unmarried,Female
Private,7,Other-service,Own-child,Male
Private,11,Protective-serv,Husband,Male
Self-emp-not-inc,10,Farming-fishing,Husband,Male
Private,9,Protective-serv,Husband,Male
Private,9,Adm-clerical,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Unmarried,Female
Private,9,Sales,Own-child,Female
Private,12,Prof-specialty,Wife,Female
Private,10,Sales,Wife,Female
Private,9,Sales,Own-child,Female
Local-gov,14,Prof-specialty,Not-in-family,Male
Private,9,Transport-moving,Not-in-family,Male
Private,10,Other-service,Own-child,Male
Local-gov,10,Protective-serv,Own-child,Female
Private,9,Machine-op-inspct,Husband,Male
Private,9,Adm-clerical,Unmarried,Female
Private,13,Prof-specialty,Husband,Male
Local-gov,10,Craft-repair,Husband,Male
Private,13,Prof-specialty,Own-child,Female
Private,9,Sales,Not-in-family,Female
Private,10,Adm-clerical,Not-in-family,Female
Private,9,Transport-moving,Husband,Male
Private,9,Exec-managerial,Not-in-family,Female
Private,13,Exec-managerial,Not-in-family,Male
Private,9,Machine-op-inspct,Husband,Male
Private,10,Exec-managerial,Husband,Male
Private,10,Adm-clerical,Wife,Female
Local-gov,9,Exec-managerial,Husband,Male
Private,9,Adm-clerical,Not-in-family,Female
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Private,9,Craft-repair,Husband,Male
Federal-gov,9,Craft-repair,Not-in-family,Male
Private,15,Prof-specialty,Not-in-family,Female
Private,10,Sales,Own-child,Female
Private,7,Other-service,Own-child,Male
Self-emp-not-inc,4,Farming-fishing,Unmarried,Female
Private,7,Sales,Own-child,Female
Private,9,Craft-repair,Husband,Male
noValueSetHere123156456,7,noValueSetHere123156456,Unmarried,Female
Private,7,Transport-moving,Own-child,Male
Private,10,Transport-moving,Not-in-family,Male
Private,14,Exec-managerial,Husband,Male
Private,14,Prof-specialty,Husband,Male
Private,9,Other-service,Not-in-family,Female
Private,13,Exec-managerial,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,9,Craft-repair,Husband,Male
Federal-gov,10,Adm-clerical,Unmarried,Female
Private,10,Exec-managerial,Not-in-family,Female
Private,10,Sales,Own-child,Female
Private,9,Adm-clerical,Not-in-family,Male
Private,10,Handlers-cleaners,Not-in-family,Male
Self-emp-inc,9,Craft-repair,Not-in-family,Male
Private,2,Other-service,Other-relative,Female
Private,8,Sales,Own-child,Female
Private,9,Sales,Not-in-family,Female
Private,13,Exec-managerial,Husband,Male
Self-emp-not-inc,9,Farming-fishing,Husband,Male
Private,9,Adm-clerical,Own-child,Female
Private,6,Sales,Husband,Male
Private,6,Farming-fishing,Husband,Male
Private,10,Machine-op-inspct,Husband,Male
Federal-gov,9,Prof-specialty,Unmarried,Female
Self-emp-inc,9,Exec-managerial,Husband,Male
Private,12,Exec-managerial,Not-in-family,Female
Private,9,Adm-clerical,Own-child,Male
Private,13,Sales,Husband,Male
Private,10,Sales,Unmarried,Female
Private,9,Machine-op-inspct,Not-in-family,Male
Self-emp-not-inc,10,Sales,Husband,Male
Local-gov,9,Other-service,Unmarried,Female
Self-emp-not-inc,13,Farming-fishing,Husband,Male
Private,13,Sales,Unmarried,Female
Private,13,Exec-managerial,Husband,Male
Private,13,Prof-specialty,Own-child,Female
Private,13,Prof-specialty,Not-in-family,Male
Private,13,Sales,Husband,Male
Private,10,Adm-clerical,Other-relative,Female
noValueSetHere123156456,15,noValueSetHere123156456,Husband,Male
Private,13,Adm-clerical,Husband,Male
Private,10,Adm-clerical,Husband,Male
State-gov,13,Exec-managerial,Husband,Male
State-gov,16,Prof-specialty,Husband,Male
Private,12,Machine-op-inspct,Own-child,Female
Private,13,Exec-managerial,Husband,Male
Self-emp-not-inc,9,Other-service,Other-relative,Female
Private,10,Craft-repair,Own-child,Male
Private,10,Other-service,Own-child,Female
Federal-gov,9,Adm-clerical,Husband,Male
Self-emp-not-inc,10,Exec-managerial,Husband,Male
Federal-gov,9,Adm-clerical,Husband,Male
Private,9,Sales,Husband,Male
Private,10,Machine-op-inspct,Not-in-family,Male
Private,13,Adm-clerical,Own-child,Female
Private,9,Adm-clerical,Unmarried,Female
Self-emp-not-inc,13,Prof-specialty,Husband,Male
Private,6,Handlers-cleaners,Unmarried,Female
Private,9,Craft-repair,Husband,Male
Private,12,Prof-specialty,Not-in-family,Female
Self-emp-inc,13,Exec-managerial,Not-in-family,Male
Private,11,Exec-managerial,Husband,Male
Private,7,Sales,Own-child,Female
Private,10,Adm-clerical,Own-child,Female
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,13,Sales,Wife,Female
Local-gov,9,Exec-managerial,Husband,Male
Private,6,Sales,Own-child,Male
Private,13,Prof-specialty,Wife,Female
Private,10,Sales,Wife,Female
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
Local-gov,13,Prof-specialty,Not-in-family,Male
Private,3,Other-service,Husband,Male
Private,9,Craft-repair,Own-child,Female
Private,9,Exec-managerial,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,6,Machine-op-inspct,Other-relative,Male
Private,11,Craft-repair,Not-in-family,Male
Private,4,Craft-repair,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Self-emp-not-inc,6,Craft-repair,Husband,Male
Private,13,Exec-managerial,Not-in-family,Male
Private,13,Machine-op-inspct,Not-in-family,Male
Private,11,Sales,Not-in-family,Female
Private,9,Adm-clerical,Own-child,Male
Private,9,Tech-support,Not-in-family,Male
State-gov,9,Protective-serv,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,10,Adm-clerical,Own-child,Female
Private,3,Handlers-cleaners,Husband,Male
Private,11,Craft-repair,Husband,Male
Private,13,Sales,Husband,Male
Federal-gov,9,Adm-clerical,Unmarried,Female
State-gov,10,Tech-support,Own-child,Female
Private,9,Craft-repair,Husband,Male
Private,12,Sales,Husband,Male
Federal-gov,15,Prof-specialty,Unmarried,Male
Private,11,Prof-specialty,Not-in-family,Female
noValueSetHere123156456,9,noValueSetHere123156456,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
noValueSetHere123156456,13,noValueSetHere123156456,Husband,Male
Private,13,Prof-specialty,Unmarried,Female
Private,13,Sales,Not-in-family,Male
Private,9,Machine-op-inspct,Husband,Male
Private,7,Machine-op-inspct,Not-in-family,Female
Private,3,Priv-house-serv,Unmarried,Female
Private,9,Sales,Husband,Male
Private,12,Other-service,Other-relative,Male
Private,10,Craft-repair,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Private,10,Sales,Husband,Male
Self-emp-not-inc,10,Craft-repair,Unmarried,Male
Private,10,Machine-op-inspct,Husband,Male
Private,16,Prof-specialty,Husband,Male
Self-emp-not-inc,9,Craft-repair,Own-child,Male
Private,12,Transport-moving,Not-in-family,Male
Self-emp-not-inc,9,Transport-moving,Husband,Male
Private,13,Exec-managerial,Husband,Male
Self-emp-not-inc,10,Exec-managerial,Husband,Male
Local-gov,11,Transport-moving,Husband,Male
Private,9,Other-service,Not-in-family,Female
Self-emp-not-inc,9,Other-service,Husband,Male
Private,9,Prof-specialty,Husband,Male
Self-emp-not-inc,11,Craft-repair,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,10,Sales,Husband,Male
Self-emp-not-inc,10,Farming-fishing,Husband,Male
Private,13,Sales,Other-relative,Female
Private,9,Exec-managerial,Wife,Female
Private,14,Exec-managerial,Not-in-family,Male
Private,9,Adm-clerical,Not-in-family,Female
Private,9,Machine-op-inspct,Husband,Male
Private,10,Adm-clerical,Husband,Male
Private,10,Other-service,Own-child,Female
Self-emp-not-inc,6,Craft-repair,Husband,Male
Local-gov,10,Other-service,Husband,Male
Private,9,Exec-managerial,Husband,Male
Private,9,Sales,Not-in-family,Female
Private,14,Prof-specialty,Unmarried,Female
noValueSetHere123156456,9,noValueSetHere123156456,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,12,Handlers-cleaners,Husband,Male
Federal-gov,7,Adm-clerical,Not-in-family,Female
Private,9,Sales,Husband,Male
Private,9,Other-service,Husband,Male
Private,10,Prof-specialty,Husband,Male
Self-emp-not-inc,13,Prof-specialty,Husband,Male
Private,7,Priv-house-serv,Not-in-family,Female
Private,11,Adm-clerical,Unmarried,Female
Private,9,Machine-op-inspct,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,14,Priv-house-serv,Not-in-family,Female
Federal-gov,9,Adm-clerical,Not-in-family,Female
Private,9,Adm-clerical,Wife,Female
Private,12,Craft-repair,Own-child,Female
Self-emp-inc,14,Exec-managerial,Husband,Male
Private,9,Other-service,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Self-emp-not-inc,13,Exec-managerial,Husband,Male
Local-gov,10,Transport-moving,Husband,Male
Private,13,Sales,Own-child,Female
Private,7,Other-service,Unmarried,Female
Private,9,Transport-moving,Husband,Male
Self-emp-not-inc,9,Craft-repair,Not-in-family,Male
Self-emp-inc,9,Sales,Husband,Male
Private,4,Craft-repair,Not-in-family,Male
Private,10,Exec-managerial,Husband,Male
Private,12,Sales,Not-in-family,Male
Private,10,Sales,Husband,Male
Private,9,Sales,Own-child,Male
Local-gov,6,Transport-moving,Husband,Male
Private,9,Craft-repair,Own-child,Male
Private,13,Machine-op-inspct,Unmarried,Female
Private,10,Adm-clerical,Unmarried,Female
Private,10,Adm-clerical,Own-child,Female
Self-emp-inc,10,Exec-managerial,Husband,Male
Private,11,Tech-support,Husband,Male
Private,9,Other-service,Not-in-family,Male
State-gov,16,Prof-specialty,Husband,Male
Private,4,Handlers-cleaners,Own-child,Male
Private,9,Other-service,Not-in-family,Female
Self-emp-inc,10,Exec-managerial,Husband,Male
Self-emp-not-inc,13,Prof-specialty,Not-in-family,Female
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Private,9,Transport-moving,Husband,Male
Self-emp-not-inc,14,Exec-managerial,Not-in-family,Male
State-gov,10,Other-service,Own-child,Male
noValueSetHere123156456,9,noValueSetHere123156456,Other-relative,Female
Private,10,Other-service,Husband,Male
Private,9,Transport-moving,Husband,Male
Private,4,Handlers-cleaners,Other-relative,Male
Federal-gov,9,Adm-clerical,Own-child,Female
Private,10,Handlers-cleaners,Own-child,Male
Private,9,Machine-op-inspct,Husband,Male
Local-gov,14,Prof-specialty,Not-in-family,Female
State-gov,13,Exec-managerial,Husband,Male
Private,10,Handlers-cleaners,Husband,Male
Private,10,Transport-moving,Husband,Male
Self-emp-inc,9,Exec-managerial,Husband,Male
Private,11,Prof-specialty,Not-in-family,Female
Private,10,Adm-clerical,Wife,Female
Private,13,Exec-managerial,Husband,Male
Private,10,Adm-clerical,Own-child,Female
noValueSetHere123156456,10,noValueSetHere123156456,Husband,Male
Local-gov,10,Prof-specialty,Not-in-family,Female
Private,11,Craft-repair,Own-child,Male
Private,7,Other-service,Wife,Female
Private,8,Machine-op-inspct,Not-in-family,Female
Self-emp-not-inc,11,Prof-specialty,Wife,Female
Federal-gov,9,Adm-clerical,Husband,Male
Private,3,Priv-house-serv,Unmarried,Female
Private,9,Other-service,Husband,Male
Private,10,Other-service,Own-child,Female
Private,9,Adm-clerical,Not-in-family,Female
Self-emp-inc,13,Exec-managerial,Husband,Male
Private,9,Exec-managerial,Husband,Male
Private,10,Adm-clerical,Own-child,Female
Self-emp-inc,13,Exec-managerial,Husband,Male
Private,9,Craft-repair,Unmarried,Female
Private,13,Sales,Husband,Male
Private,14,Prof-specialty,Wife,Female
Private,9,Craft-repair,Husband,Male
Private,7,Transport-moving,Not-in-family,Male
Private,10,Other-service,Own-child,Male
Private,7,Prof-specialty,Unmarried,Female
Private,13,Other-service,Husband,Male
Local-gov,13,Other-service,Not-in-family,Male
Private,12,Transport-moving,Not-in-family,Male
Local-gov,13,Prof-specialty,Own-child,Male
Private,14,Exec-managerial,Husband,Male
Private,9,Exec-managerial,Husband,Male
Local-gov,10,Transport-moving,Husband,Male
Federal-gov,11,Tech-support,Husband,Male
Private,9,Farming-fishing,Not-in-family,Male
Self-emp-not-inc,10,Craft-repair,Own-child,Male
Private,9,Craft-repair,Not-in-family,Male
Local-gov,13,Protective-serv,Not-in-family,Male
Private,14,Craft-repair,Husband,Male
Private,9,Other-service,Own-child,Female
Private,9,Adm-clerical,Wife,Female
Private,9,Craft-repair,Not-in-family,Male
Private,10,Prof-specialty,Own-child,Female
Private,12,Handlers-cleaners,Own-child,Male
Private,9,Other-service,Not-in-family,Male
Private,9,Tech-support,Other-relative,Male
Private,15,Prof-specialty,Not-in-family,Male
Private,10,Tech-support,Husband,Male
Private,9,Other-service,Unmarried,Female
Private,9,Craft-repair,Own-child,Male
Private,13,Exec-managerial,Not-in-family,Male
Private,9,Sales,Husband,Male
Private,14,Exec-managerial,Not-in-family,Male
Private,13,Exec-managerial,Husband,Male
Private,7,Transport-moving,Husband,Male
Self-emp-inc,9,Exec-managerial,Husband,Male
Private,12,Adm-clerical,Husband,Male
Self-emp-not-inc,9,Other-service,Not-in-family,Female
Local-gov,10,Protective-serv,Husband,Male
State-gov,14,Exec-managerial,Wife,Female
noValueSetHere123156456,9,noValueSetHere123156456,Not-in-family,Female
Private,11,Other-service,Own-child,Female
Private,10,Farming-fishing,Own-child,Male
Private,13,Prof-specialty,Husband,Male
Private,9,Sales,Own-child,Male
Private,13,Adm-clerical,Unmarried,Female
Private,10,Sales,Unmarried,Female
Private,10,Adm-clerical,Husband,Male
Private,9,Sales,Own-child,Female
Private,10,Other-service,Own-child,Male
Self-emp-inc,14,Sales,Husband,Male
Local-gov,10,Protective-serv,Husband,Male
Self-emp-inc,13,Exec-managerial,Husband,Male
Private,8,Adm-clerical,Own-child,Female
Private,9,Craft-repair,Husband,Male
Private,10,Farming-fishing,Not-in-family,Male
Private,13,Exec-managerial,Unmarried,Female
Self-emp-not-inc,13,Exec-managerial,Husband,Male
Private,13,Adm-clerical,Not-in-family,Male
Private,10,Adm-clerical,Own-child,Female
Private,9,Handlers-cleaners,Own-child,Male
Private,9,Other-service,Not-in-family,Male
Private,10,Craft-repair,Husband,Male
Self-emp-not-inc,13,Sales,Not-in-family,Male
State-gov,10,Handlers-cleaners,Own-child,Male
Private,10,Sales,Husband,Male
Self-emp-not-inc,9,Farming-fishing,Not-in-family,Male
Private,9,Machine-op-inspct,Unmarried,Female
Private,11,Sales,Unmarried,Female
Private,9,Sales,Husband,Male
Private,11,Transport-moving,Husband,Male
Local-gov,9,Adm-clerical,Wife,Female
Private,13,Adm-clerical,Not-in-family,Male
Local-gov,9,Farming-fishing,Not-in-family,Male
Self-emp-inc,12,Sales,Own-child,Male
Federal-gov,9,Adm-clerical,Unmarried,Female
Self-emp-inc,15,Prof-specialty,Husband,Male
Private,14,Exec-managerial,Husband,Male
Private,9,Sales,Other-relative,Male
Self-emp-inc,9,Exec-managerial,Husband,Male
Local-gov,9,Transport-moving,Husband,Male
Federal-gov,9,Adm-clerical,Unmarried,Female
Private,9,Sales,Unmarried,Female
Private,9,Craft-repair,Husband,Male
Private,13,Other-service,Other-relative,Female
Private,13,Sales,Not-in-family,Male
Private,7,Handlers-cleaners,Husband,Male
State-gov,7,Transport-moving,Unmarried,Female
noValueSetHere123156456,7,noValueSetHere123156456,Not-in-family,Female
Private,9,Adm-clerical,Wife,Female
Private,9,Craft-repair,Not-in-family,Male
Private,10,Adm-clerical,Own-child,Female
Private,9,Sales,Wife,Female
Private,14,Exec-managerial,Not-in-family,Male
Private,9,Craft-repair,Not-in-family,Male
Private,10,Handlers-cleaners,Unmarried,Female
State-gov,13,Adm-clerical,Husband,Male
Private,10,Adm-clerical,Unmarried,Female
Private,13,Tech-support,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,10,Other-service,Not-in-family,Female
Private,9,Other-service,Other-relative,Female
noValueSetHere123156456,9,noValueSetHere123156456,Own-child,Female
Private,9,Other-service,Wife,Female
Private,13,Exec-managerial,Not-in-family,Female
Private,10,Sales,Not-in-family,Female
Private,10,Exec-managerial,Husband,Male
Private,10,Transport-moving,Husband,Male
Private,10,Other-service,Not-in-family,Male
Private,9,Other-service,Husband,Male
Private,8,Other-service,Own-child,Male
Federal-gov,9,Adm-clerical,Husband,Male
Self-emp-not-inc,10,Tech-support,Husband,Male
Federal-gov,9,Prof-specialty,Husband,Male
Private,9,Other-service,Not-in-family,Female
Private,9,Tech-support,Wife,Female
Private,9,Exec-managerial,Unmarried,Female
Local-gov,9,Protective-serv,Husband,Male
Private,13,Adm-clerical,Not-in-family,Female
Private,2,Handlers-cleaners,Not-in-family,Male
Private,8,Transport-moving,Not-in-family,Male
Private,10,Tech-support,Own-child,Male
Private,10,Craft-repair,Not-in-family,Male
Private,3,Other-service,Not-in-family,Male
Federal-gov,6,Other-service,Not-in-family,Female
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,13,Adm-clerical,Own-child,Male
Private,9,Craft-repair,Unmarried,Male
Private,10,Exec-managerial,Unmarried,Male
State-gov,6,Other-service,Own-child,Male
Private,10,Handlers-cleaners,Not-in-family,Male
Private,14,Exec-managerial,Husband,Male
Private,3,Machine-op-inspct,Unmarried,Female
Private,9,Adm-clerical,Own-child,Female
Self-emp-not-inc,9,Other-service,Not-in-family,Male
Private,10,Transport-moving,Not-in-family,Male
Private,13,Adm-clerical,Not-in-family,Male
Private,10,Craft-repair,Not-in-family,Male
Private,10,Other-service,Own-child,Male
Private,15,Prof-specialty,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,6,Sales,Own-child,Male
Federal-gov,13,Prof-specialty,Husband,Male
noValueSetHere123156456,9,noValueSetHere123156456,Own-child,Female
Private,9,Other-service,Not-in-family,Male
Private,10,Craft-repair,Husband,Male
Private,10,Machine-op-inspct,Not-in-family,Male
Federal-gov,10,Craft-repair,Unmarried,Male
Private,13,Adm-clerical,Not-in-family,Female
Private,9,Craft-repair,Husband,Male
Private,10,Sales,Wife,Female
Private,9,Adm-clerical,Unmarried,Female
Private,15,Prof-specialty,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Husband,Male
Private,9,Sales,Own-child,Male
Private,15,Prof-specialty,Not-in-family,Female
Private,9,Adm-clerical,Not-in-family,Female
State-gov,10,Tech-support,Not-in-family,Male
noValueSetHere123156456,3,noValueSetHere123156456,Husband,Male
Private,9,Adm-clerical,Other-relative,Male
Private,8,Other-service,Not-in-family,Female
Private,9,Protective-serv,Husband,Male
Private,9,Other-service,Own-child,Male
Private,12,Prof-specialty,Husband,Male
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,13,Prof-specialty,Own-child,Male
Private,9,Machine-op-inspct,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
Private,9,Other-service,Own-child,Male
Private,9,Handlers-cleaners,Husband,Male
Private,10,Sales,Own-child,Male
Private,9,Machine-op-inspct,Husband,Male
Local-gov,9,Adm-clerical,Own-child,Female
Private,9,Craft-repair,Wife,Female
Private,9,Craft-repair,Husband,Male
Private,13,Craft-repair,Own-child,Male
Private,6,Transport-moving,Husband,Male
Local-gov,13,Exec-managerial,Husband,Male
Private,13,Exec-managerial,Husband,Male
Self-emp-not-inc,12,Other-service,Husband,Male
Private,13,Prof-specialty,Husband,Male
Private,5,Machine-op-inspct,Husband,Male
Private,13,Exec-managerial,Husband,Male
Private,13,Prof-specialty,Husband,Male
Private,9,Craft-repair,Husband,Male
Self-emp-not-inc,9,Sales,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Unmarried,Male
Private,10,Sales,Husband,Male
Private,10,Adm-clerical,Not-in-family,Male
Self-emp-not-inc,9,Transport-moving,Husband,Male
Private,6,Transport-moving,Husband,Male
Private,10,Adm-clerical,Not-in-family,Male
Private,9,Other-service,Other-relative,Male
Private,9,Craft-repair,Unmarried,Male
Local-gov,12,Adm-clerical,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Private,9,Adm-clerical,Unmarried,Female
Private,12,Prof-specialty,Husband,Male
Private,9,Exec-managerial,Not-in-family,Female
Private,10,Other-service,Own-child,Female
Private,7,Transport-moving,Husband,Male
Private,9,Exec-managerial,Not-in-family,Female
State-gov,10,Prof-specialty,Wife,Female
Private,13,Sales,Husband,Male
Local-gov,16,Prof-specialty,Not-in-family,Female
Private,10,Other-service,Not-in-family,Female
Private,9,Protective-serv,Not-in-family,Male
Private,13,Exec-managerial,Husband,Male
Self-emp-inc,9,Exec-managerial,Husband,Male
Federal-gov,12,Other-service,Own-child,Male
Self-emp-not-inc,9,Transport-moving,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,8,Handlers-cleaners,Own-child,Male
noValueSetHere123156456,9,noValueSetHere123156456,Not-in-family,Female
Local-gov,13,Prof-specialty,Unmarried,Female
Local-gov,14,Prof-specialty,Not-in-family,Male
Private,14,Adm-clerical,Not-in-family,Female
Private,9,Transport-moving,Wife,Female
Private,9,Craft-repair,Own-child,Male
Self-emp-inc,10,Craft-repair,Husband,Male
Private,9,Handlers-cleaners,Not-in-family,Male
Private,4,Craft-repair,Husband,Male
Private,10,Adm-clerical,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,9,Adm-clerical,Unmarried,Female
Private,4,Other-service,Husband,Male
Private,7,Machine-op-inspct,Husband,Male
State-gov,16,Prof-specialty,Husband,Male
Private,5,Other-service,Own-child,Female
Private,9,Tech-support,Own-child,Male
Self-emp-not-inc,9,Other-service,Wife,Female
Private,10,Machine-op-inspct,Own-child,Male
Private,13,Prof-specialty,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,10,Machine-op-inspct,Not-in-family,Female
Private,9,Handlers-cleaners,Not-in-family,Male
Private,9,Sales,Unmarried,Male
Private,11,Exec-managerial,Not-in-family,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Female
Self-emp-inc,9,Sales,Husband,Male
Private,9,Sales,Husband,Male
Private,13,Protective-serv,Not-in-family,Male
Private,13,Tech-support,Husband,Male
Federal-gov,13,Adm-clerical,Not-in-family,Male
Private,14,Prof-specialty,Not-in-family,Female
Private,13,Tech-support,Husband,Male
Self-emp-not-inc,11,Other-service,Other-relative,Female
Private,6,Craft-repair,Own-child,Male
noValueSetHere123156456,7,noValueSetHere123156456,Not-in-family,Female
Private,9,Sales,Husband,Male
Local-gov,13,Prof-specialty,Not-in-family,Female
State-gov,13,Prof-specialty,Not-in-family,Male
noValueSetHere123156456,13,noValueSetHere123156456,Husband,Male
Private,9,Other-service,Husband,Male
Private,10,Sales,Own-child,Female
Self-emp-inc,10,Exec-managerial,Husband,Male
Private,10,Other-service,Wife,Female
Self-emp-not-inc,4,Sales,Other-relative,Male
Private,9,Machine-op-inspct,Not-in-family,Female
Private,13,Prof-specialty,Own-child,Female
Private,9,Adm-clerical,Husband,Male
Private,13,Prof-specialty,Not-in-family,Female
Private,7,Sales,Own-child,Female
Self-emp-not-inc,4,Craft-repair,Husband,Male
Private,14,Exec-managerial,Husband,Male
Local-gov,9,Other-service,Not-in-family,Female
