F,G,H,J,M,O
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,60,>50K
Widowed,Prof-specialty,Unmarried,Female,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,43,<=50K
Never-married,Machine-op-inspct,Unmarried,Female,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Widowed,Exec-managerial,Not-in-family,Male,40,>50K
Separated,Other-service,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Other-service,Other-relative,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Male,50,>50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Divorced,Transport-moving,Not-in-family,Male,44,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,99,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,>50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Divorced,Handlers-cleaners,Own-child,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,65,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Never-married,Craft-repair,Unmarried,Female,42,<=50K
Never-married,Tech-support,Not-in-family,Female,45,<=50K
Separated,Sales,Not-in-family,Male,42,<=50K
Never-married,Other-service,Own-child,Female,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Divorced,Prof-specialty,Not-in-family,Male,50,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Other-service,Own-child,Male,45,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Divorced,Sales,Not-in-family,Male,50,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Male,20,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Never-married,Sales,Own-child,Male,40,<=50K
Separated,Sales,Own-child,Female,26,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,25,<=50K
Divorced,Transport-moving,Not-in-family,Male,45,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,48,>50K
Separated,Machine-op-inspct,Own-child,Female,48,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,25,<=50K
Married-civ-spouse,Tech-support,Husband,Male,42,>50K
Never-married,noValueSetHere123156456,Not-in-family,Female,28,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,35,>50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,80,<=50K
Widowed,Other-service,Not-in-family,Female,10,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,50,>50K
Married-civ-spouse,Other-service,Husband,Male,60,>50K
Married-civ-spouse,Craft-repair,Husband,Male,70,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Handlers-cleaners,Other-relative,Female,28,<=50K
Never-married,Exec-managerial,Own-child,Female,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,48,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,88,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Divorced,Craft-repair,Own-child,Male,35,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Never-married,Handlers-cleaners,Own-child,Male,15,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Sales,Own-child,Male,9,<=50K
Never-married,Other-service,Not-in-family,Female,20,<=50K
Never-married,Exec-managerial,Not-in-family,Male,50,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,36,<=50K
Never-married,Sales,Own-child,Male,35,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,38,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,45,<=50K
Separated,Handlers-cleaners,Unmarried,Male,35,<=50K
Divorced,Craft-repair,Not-in-family,Male,38,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,20,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,98,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,45,>50K
Married-civ-spouse,Transport-moving,Husband,Male,50,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,10,<=50K
Married-spouse-absent,Farming-fishing,Own-child,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Male,56,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,53,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,8,>50K
Separated,Adm-clerical,Unmarried,Female,20,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Female,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,68,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,<=50K
Widowed,Sales,Unmarried,Female,13,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-AF-spouse,noValueSetHere123156456,Wife,Female,14,<=50K
Married-spouse-absent,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Divorced,Sales,Not-in-family,Male,40,>50K
Never-married,Exec-managerial,Own-child,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,44,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,50,>50K
Married-civ-spouse,Craft-repair,Husband,Male,99,<=50K
Widowed,Adm-clerical,Not-in-family,Female,30,<=50K
Never-married,Other-service,Own-child,Male,20,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Never-married,Other-service,Own-child,Male,20,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,>50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,55,>50K
Married-civ-spouse,Prof-specialty,Wife,Female,60,>50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Never-married,Farming-fishing,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,8,<=50K
Never-married,Sales,Own-child,Female,30,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,30,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Separated,noValueSetHere123156456,Not-in-family,Female,7,<=50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,>50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Prof-specialty,Own-child,Male,20,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,>50K
Never-married,Protective-serv,Not-in-family,Male,40,<=50K
Divorced,Craft-repair,Own-child,Male,40,<=50K
Widowed,Sales,Not-in-family,Male,45,>50K
Married-civ-spouse,Tech-support,Wife,Female,32,>50K
Separated,Exec-managerial,Own-child,Female,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,44,<=50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Separated,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,noValueSetHere123156456,Other-relative,Male,10,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,42,>50K
Divorced,Prof-specialty,Not-in-family,Male,50,<=50K
Married-spouse-absent,Handlers-cleaners,Unmarried,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,48,<=50K
Married-civ-spouse,Sales,Husband,Male,35,>50K
Divorced,Exec-managerial,Unmarried,Male,70,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Exec-managerial,Not-in-family,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,40,<=50K
Widowed,Other-service,Unmarried,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,65,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Female,40,<=50K
Never-married,Exec-managerial,Own-child,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Sales,Own-child,Female,25,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,50,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,25,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-spouse-absent,Tech-support,Not-in-family,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,20,<=50K
Widowed,Transport-moving,Other-relative,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Never-married,Sales,Not-in-family,Male,30,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Machine-op-inspct,Not-in-family,Female,40,<=50K
Never-married,Machine-op-inspct,Own-child,Male,40,<=50K
Never-married,Priv-house-serv,Not-in-family,Female,45,<=50K
Never-married,Adm-clerical,Own-child,Female,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Other-service,Own-child,Female,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Farming-fishing,Other-relative,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Married-civ-spouse,Protective-serv,Wife,Female,40,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Female,20,<=50K
Divorced,Machine-op-inspct,Unmarried,Female,20,<=50K
Widowed,noValueSetHere123156456,Not-in-family,Female,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Separated,Transport-moving,Own-child,Male,35,<=50K
Divorced,Tech-support,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,42,<=50K
Divorced,Exec-managerial,Unmarried,Female,55,<=50K
Never-married,Other-service,Own-child,Female,25,<=50K
Never-married,Adm-clerical,Own-child,Male,60,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Widowed,Adm-clerical,Not-in-family,Female,35,<=50K
Never-married,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Exec-managerial,Unmarried,Female,45,<=50K
Widowed,Sales,Not-in-family,Female,32,<=50K
Widowed,Machine-op-inspct,Unmarried,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,60,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Divorced,Handlers-cleaners,Not-in-family,Female,48,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,45,>50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Divorced,Sales,Not-in-family,Male,45,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Sales,Own-child,Female,15,<=50K
Widowed,noValueSetHere123156456,Not-in-family,Female,40,<=50K
Never-married,Other-service,Own-child,Female,38,<=50K
Never-married,Prof-specialty,Not-in-family,Female,60,>50K
Married-civ-spouse,Other-service,Wife,Female,50,>50K
Married-civ-spouse,Protective-serv,Husband,Male,70,>50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Never-married,Craft-repair,Own-child,Male,30,<=50K
Never-married,Other-service,Not-in-family,Male,45,<=50K
Divorced,Adm-clerical,Not-in-family,Female,38,<=50K
Never-married,Priv-house-serv,Own-child,Female,36,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Never-married,Prof-specialty,Not-in-family,Female,38,<=50K
Widowed,Other-service,Not-in-family,Female,25,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,20,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Other-service,Own-child,Female,40,<=50K
Divorced,Prof-specialty,Unmarried,Female,45,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,60,<=50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Divorced,Other-service,Own-child,Female,29,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Never-married,Other-service,Own-child,Female,25,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,44,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,80,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Separated,Sales,Not-in-family,Male,44,<=50K
Never-married,Exec-managerial,Not-in-family,Male,30,<=50K
Never-married,Sales,Own-child,Female,15,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Divorced,Prof-specialty,Unmarried,Female,40,<=50K
Never-married,Sales,Not-in-family,Male,30,<=50K
Married-civ-spouse,Other-service,Wife,Female,40,<=50K
Never-married,Transport-moving,Unmarried,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Divorced,Sales,Own-child,Male,45,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Separated,Machine-op-inspct,Not-in-family,Male,40,<=50K
Divorced,Protective-serv,Not-in-family,Male,40,<=50K
Never-married,Sales,Own-child,Male,10,<=50K
Married-civ-spouse,Other-service,Husband,Male,44,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Widowed,Farming-fishing,Unmarried,Male,20,<=50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Divorced,Other-service,Not-in-family,Male,40,<=50K
Never-married,Other-service,Own-child,Male,25,<=50K
Married-civ-spouse,Other-service,Wife,Female,12,<=50K
Never-married,Handlers-cleaners,Other-relative,Male,40,<=50K
Never-married,Priv-house-serv,Own-child,Female,10,<=50K
Married-civ-spouse,Sales,Husband,Male,55,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Married-spouse-absent,Adm-clerical,Not-in-family,Male,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,45,>50K
Divorced,Prof-specialty,Unmarried,Female,16,<=50K
Never-married,Tech-support,Own-child,Female,40,<=50K
Divorced,Other-service,Unmarried,Female,30,<=50K
Never-married,Other-service,Own-child,Male,35,<=50K
Never-married,Craft-repair,Own-child,Male,30,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,36,>50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Widowed,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Divorced,Prof-specialty,Not-in-family,Male,20,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,60,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,65,<=50K
Never-married,Transport-moving,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Own-child,Male,40,<=50K
Never-married,Exec-managerial,Own-child,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,35,>50K
Married-civ-spouse,Other-service,Husband,Male,45,>50K
Divorced,Prof-specialty,Not-in-family,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Male,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,42,<=50K
Widowed,Machine-op-inspct,Not-in-family,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,70,>50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Married-civ-spouse,Tech-support,Husband,Male,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Craft-repair,Unmarried,Male,60,<=50K
Divorced,Craft-repair,Unmarried,Male,42,<=50K
Married-civ-spouse,Sales,Husband,Male,45,>50K
Never-married,Protective-serv,Unmarried,Male,56,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,10,>50K
Never-married,Adm-clerical,Not-in-family,Male,40,<=50K
Never-married,Machine-op-inspct,Unmarried,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,55,<=50K
Never-married,Farming-fishing,Own-child,Male,98,<=50K
Divorced,Exec-managerial,Not-in-family,Female,60,>50K
Never-married,Priv-house-serv,Unmarried,Female,35,<=50K
Never-married,Sales,Not-in-family,Female,50,<=50K
Separated,Machine-op-inspct,Not-in-family,Male,40,<=50K
Never-married,Other-service,Own-child,Male,12,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Divorced,Tech-support,Not-in-family,Male,40,<=50K
Never-married,Exec-managerial,Own-child,Male,50,>50K
Married-civ-spouse,Sales,Other-relative,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,>50K
Never-married,Prof-specialty,Not-in-family,Female,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,25,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Separated,Adm-clerical,Other-relative,Female,35,<=50K
Never-married,Craft-repair,Not-in-family,Female,40,<=50K
Widowed,Transport-moving,Not-in-family,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Never-married,Prof-specialty,Not-in-family,Male,50,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,20,>50K
Divorced,Tech-support,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Never-married,Sales,Unmarried,Female,40,<=50K
Divorced,Machine-op-inspct,Not-in-family,Male,48,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,80,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,45,<=50K
Divorced,Adm-clerical,Not-in-family,Female,45,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Never-married,Other-service,Own-child,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,45,<=50K
Never-married,Sales,Own-child,Female,30,<=50K
Never-married,Sales,Own-child,Female,30,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Separated,Other-service,Not-in-family,Female,16,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Male,40,<=50K
Divorced,Prof-specialty,Unmarried,Female,36,<=50K
Never-married,Handlers-cleaners,Own-child,Male,20,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Female,50,<=50K
Never-married,Exec-managerial,Not-in-family,Female,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Divorced,Exec-managerial,Not-in-family,Female,30,<=50K
Never-married,Adm-clerical,Other-relative,Female,24,<=50K
Never-married,Priv-house-serv,Not-in-family,Female,15,<=50K
Never-married,Other-service,Own-child,Male,35,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,45,<=50K
Widowed,noValueSetHere123156456,Unmarried,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,14,>50K
Divorced,Prof-specialty,Unmarried,Female,38,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Exec-managerial,Not-in-family,Male,50,<=50K
