H,I,N
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,Ecuador
Wife,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,India
Husband,Asian-Pac-Islander,South
Husband,White,United-States
Unmarried,Black,United-States
Other-relative,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Other,Dominican-Republic
Husband,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Unmarried,White,Honduras
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,noValueSetHere123156456
Own-child,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,White,Canada
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,Ireland
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Own-child,White,Columbia
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,Philippines
Own-child,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Own-child,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,White,England
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,Mexico
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,Black,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,Asian-Pac-Islander,South
Unmarried,White,Germany
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Wife,Asian-Pac-Islander,Philippines
Husband,Black,United-States
Husband,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,El-Salvador
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,Japan
Husband,White,United-States
Husband,White,Hungary
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,Black,United-States
Own-child,Black,United-States
Unmarried,White,El-Salvador
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,Canada
Own-child,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Husband,Asian-Pac-Islander,Philippines
Unmarried,White,United-States
Not-in-family,White,United-States
Wife,White,Scotland
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,Cuba
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Own-child,White,Canada
Wife,White,noValueSetHere123156456
Other-relative,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,noValueSetHere123156456
Own-child,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Poland
Own-child,White,United-States
Own-child,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,El-Salvador
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,Nicaragua
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,Asian-Pac-Islander,India
Not-in-family,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Other,United-States
Husband,Asian-Pac-Islander,Vietnam
Own-child,White,Mexico
Husband,Black,United-States
Husband,White,United-States
Other-relative,Black,United-States
Not-in-family,White,noValueSetHere123156456
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Other,United-States
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Germany
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,Black,United-States
Not-in-family,White,Mexico
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Asian-Pac-Islander,United-States
Not-in-family,White,El-Salvador
Not-in-family,White,United-States
Husband,White,Mexico
Wife,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,Amer-Indian-Eskimo,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,Asian-Pac-Islander,Cambodia
Own-child,Black,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,Black,United-States
Other-relative,White,Mexico
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,Asian-Pac-Islander,China
Unmarried,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Other-relative,White,Mexico
Husband,White,United-States
Own-child,Asian-Pac-Islander,Philippines
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,Other,noValueSetHere123156456
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Other,Puerto-Rico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,Nicaragua
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Other-relative,Other,Mexico
Unmarried,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,Black,United-States
Other-relative,Black,United-States
Husband,White,United-States
Own-child,White,noValueSetHere123156456
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Husband,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,Other,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,Canada
Not-in-family,Black,United-States
Husband,Asian-Pac-Islander,China
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,Black,United-States
Other-relative,White,Honduras
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,Cuba
Husband,White,United-States
Wife,Asian-Pac-Islander,China
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Unmarried,White,Puerto-Rico
Husband,White,United-States
Not-in-family,White,England
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Other-relative,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Husband,White,Italy
Not-in-family,White,United-States
Husband,White,Mexico
Husband,White,United-States
Unmarried,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,Germany
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Other,Dominican-Republic
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,Cuba
Not-in-family,Black,noValueSetHere123156456
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Germany
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,Poland
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Wife,Other,Puerto-Rico
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Wife,White,United-States
Husband,White,United-States
Other-relative,White,Poland
Wife,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,Other,Taiwan
Own-child,White,Cuba
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Other-relative,Other,Ecuador
Own-child,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,Canada
Husband,Amer-Indian-Eskimo,United-States
Wife,White,Canada
Not-in-family,White,Hungary
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,Canada
Husband,White,United-States
Not-in-family,White,Germany
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Unmarried,White,Mexico
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,Italy
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Unmarried,White,United-States
Unmarried,White,Mexico
Husband,White,Mexico
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Ecuador
Husband,White,United-States
Husband,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,Black,Jamaica
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Not-in-family,White,Italy
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Other-relative,Asian-Pac-Islander,India
Own-child,Asian-Pac-Islander,Taiwan
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Other-relative,Amer-Indian-Eskimo,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,Other,Mexico
Not-in-family,Black,United-States
Husband,White,Iran
Not-in-family,White,England
Husband,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,Other,Mexico
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,Philippines
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Husband,Asian-Pac-Islander,Vietnam
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,Mexico
Not-in-family,White,Cuba
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,Mexico
Own-child,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,Other,Ecuador
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,Cuba
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Husband,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Husband,Black,United-States
Own-child,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,Dominican-Republic
Not-in-family,White,United-States
Other-relative,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,El-Salvador
Not-in-family,White,England
Wife,Asian-Pac-Islander,South
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,Black,United-States
Wife,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,Philippines
Unmarried,White,United-States
Husband,White,United-States
Husband,White,Philippines
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,Vietnam
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Wife,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Other-relative,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
