A,F,H,J
27,Never-married,Not-in-family,Male
19,Never-married,Own-child,Male
24,Never-married,Own-child,Male
38,Separated,Unmarried,Male
24,Never-married,Not-in-family,Female
18,Never-married,Own-child,Male
58,Divorced,Unmarried,Female
35,Never-married,Own-child,Male
43,Never-married,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
21,Never-married,Other-relative,Male
20,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Wife,Female
49,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Wife,Female
18,Never-married,Own-child,Male
28,Never-married,Not-in-family,Male
62,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
28,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
29,Married-civ-spouse,Husband,Male
30,Never-married,Other-relative,Male
53,Divorced,Unmarried,Female
25,Never-married,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
22,Married-civ-spouse,Husband,Male
40,Divorced,Not-in-family,Male
25,Never-married,Not-in-family,Male
30,Married-civ-spouse,Husband,Male
51,Divorced,Unmarried,Female
17,Never-married,Own-child,Female
46,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
32,Never-married,Unmarried,Male
32,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
77,Widowed,Unmarried,Female
33,Divorced,Not-in-family,Male
47,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
34,Never-married,Unmarried,Female
67,Never-married,Other-relative,Female
37,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
50,Divorced,Not-in-family,Male
60,Married-civ-spouse,Husband,Male
46,Divorced,Unmarried,Female
44,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Other-relative,Female
48,Married-civ-spouse,Husband,Male
36,Never-married,Other-relative,Female
48,Never-married,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Female
43,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
66,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Wife,Female
35,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
49,Never-married,Unmarried,Female
51,Married-civ-spouse,Wife,Female
71,Widowed,Not-in-family,Male
50,Married-civ-spouse,Wife,Female
63,Widowed,Unmarried,Female
41,Never-married,Own-child,Female
24,Never-married,Own-child,Female
41,Divorced,Unmarried,Female
33,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
49,Divorced,Not-in-family,Female
28,Married-civ-spouse,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Male
37,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
47,Divorced,Unmarried,Female
48,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Female
32,Divorced,Unmarried,Female
26,Never-married,Unmarried,Female
46,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
34,Divorced,Not-in-family,Male
44,Never-married,Other-relative,Female
23,Never-married,Own-child,Female
35,Never-married,Unmarried,Male
30,Never-married,Not-in-family,Male
65,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
34,Never-married,Unmarried,Male
21,Never-married,Not-in-family,Male
53,Married-civ-spouse,Husband,Male
54,Divorced,Not-in-family,Male
32,Divorced,Unmarried,Female
39,Never-married,Not-in-family,Male
39,Divorced,Unmarried,Female
29,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
39,Married-civ-spouse,Husband,Male
45,Divorced,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
71,Widowed,Not-in-family,Female
62,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Female
31,Never-married,Unmarried,Female
39,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Wife,Female
45,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
43,Never-married,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Wife,Female
23,Never-married,Own-child,Female
41,Never-married,Not-in-family,Male
63,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
37,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Male
36,Married-civ-spouse,Wife,Female
54,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
78,Married-civ-spouse,Husband,Male
77,Married-civ-spouse,Husband,Male
28,Married-spouse-absent,Not-in-family,Female
39,Married-civ-spouse,Husband,Male
37,Separated,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
54,Never-married,Not-in-family,Female
21,Never-married,Own-child,Female
36,Married-civ-spouse,Husband,Male
62,Widowed,Other-relative,Female
40,Married-civ-spouse,Husband,Male
47,Divorced,Unmarried,Female
38,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
46,Divorced,Unmarried,Female
22,Married-civ-spouse,Husband,Male
37,Divorced,Unmarried,Female
69,Separated,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
53,Never-married,Not-in-family,Female
20,Never-married,Own-child,Female
22,Never-married,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
68,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Female
57,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Male
25,Married-civ-spouse,Wife,Female
22,Never-married,Own-child,Male
23,Never-married,Own-child,Male
41,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Female
58,Married-civ-spouse,Husband,Male
33,Divorced,Not-in-family,Male
28,Married-civ-spouse,Husband,Male
19,Never-married,Not-in-family,Female
44,Divorced,Other-relative,Female
68,Never-married,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
24,Divorced,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
31,Separated,Unmarried,Female
29,Divorced,Not-in-family,Female
65,Widowed,Not-in-family,Female
55,Widowed,Other-relative,Female
49,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Female
41,Divorced,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
41,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Male
43,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
30,Never-married,Unmarried,Female
35,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
22,Never-married,Own-child,Female
26,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Wife,Female
48,Divorced,Unmarried,Female
23,Never-married,Own-child,Female
26,Never-married,Unmarried,Female
35,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
65,Widowed,Unmarried,Female
53,Widowed,Not-in-family,Male
18,Never-married,Other-relative,Male
34,Married-civ-spouse,Husband,Male
28,Never-married,Unmarried,Female
37,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Female
31,Married-civ-spouse,Wife,Female
25,Never-married,Not-in-family,Female
81,Married-civ-spouse,Husband,Male
47,Separated,Other-relative,Female
39,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Wife,Female
55,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Male
23,Never-married,Not-in-family,Male
19,Never-married,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
36,Separated,Unmarried,Female
46,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Female
26,Never-married,Own-child,Female
37,Divorced,Unmarried,Male
49,Married-civ-spouse,Wife,Female
27,Never-married,Own-child,Male
28,Never-married,Other-relative,Male
35,Divorced,Unmarried,Female
54,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
18,Never-married,Own-child,Male
33,Never-married,Unmarried,Female
33,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Wife,Female
49,Never-married,Own-child,Female
49,Divorced,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
64,Divorced,Not-in-family,Female
40,Married-civ-spouse,Husband,Male
49,Widowed,Not-in-family,Female
23,Never-married,Own-child,Female
34,Divorced,Unmarried,Female
38,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
30,Never-married,Other-relative,Female
36,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
61,Divorced,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
20,Never-married,Not-in-family,Female
33,Married-civ-spouse,Wife,Female
36,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
49,Never-married,Not-in-family,Male
71,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
20,Never-married,Not-in-family,Female
42,Divorced,Unmarried,Female
51,Married-civ-spouse,Wife,Female
38,Married-spouse-absent,Own-child,Female
38,Married-civ-spouse,Husband,Male
35,Divorced,Not-in-family,Male
24,Married-civ-spouse,Wife,Female
40,Divorced,Unmarried,Male
21,Never-married,Own-child,Male
49,Divorced,Not-in-family,Male
18,Never-married,Own-child,Female
54,Married-civ-spouse,Husband,Male
52,Married-spouse-absent,Not-in-family,Female
27,Never-married,Not-in-family,Female
20,Never-married,Not-in-family,Male
38,Married-civ-spouse,Wife,Female
31,Divorced,Not-in-family,Male
25,Never-married,Own-child,Female
19,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
34,Divorced,Unmarried,Female
42,Divorced,Unmarried,Male
37,Divorced,Not-in-family,Female
25,Never-married,Own-child,Female
40,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Female
31,Never-married,Not-in-family,Female
32,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
27,Married-civ-spouse,Husband,Male
42,Never-married,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
49,Divorced,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
46,Divorced,Unmarried,Female
37,Divorced,Not-in-family,Male
26,Married-civ-spouse,Husband,Male
27,Divorced,Not-in-family,Female
24,Never-married,Own-child,Male
24,Never-married,Own-child,Male
29,Divorced,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
26,Divorced,Unmarried,Female
20,Never-married,Own-child,Male
25,Married-civ-spouse,Wife,Female
57,Divorced,Unmarried,Male
36,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
46,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
41,Widowed,Not-in-family,Female
50,Divorced,Not-in-family,Female
53,Married-civ-spouse,Husband,Male
36,Never-married,Not-in-family,Male
38,Never-married,Unmarried,Female
75,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Wife,Female
44,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Female
31,Never-married,Own-child,Female
49,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
47,Divorced,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
47,Divorced,Not-in-family,Female
42,Never-married,Not-in-family,Male
29,Never-married,Own-child,Male
38,Divorced,Not-in-family,Male
22,Never-married,Own-child,Female
32,Never-married,Own-child,Male
20,Never-married,Own-child,Male
41,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Wife,Female
35,Never-married,Not-in-family,Female
18,Never-married,Own-child,Male
60,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
30,Never-married,Unmarried,Male
40,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Female
25,Never-married,Not-in-family,Female
56,Divorced,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
26,Never-married,Unmarried,Male
66,Married-civ-spouse,Wife,Female
48,Married-civ-spouse,Husband,Male
35,Never-married,Unmarried,Male
41,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
55,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
45,Divorced,Not-in-family,Male
29,Never-married,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
65,Divorced,Not-in-family,Female
30,Never-married,Other-relative,Male
43,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
23,Separated,Unmarried,Female
34,Married-civ-spouse,Husband,Male
51,Widowed,Unmarried,Female
21,Never-married,Own-child,Female
31,Never-married,Not-in-family,Male
34,Never-married,Not-in-family,Female
33,Married-civ-spouse,Wife,Female
32,Separated,Not-in-family,Male
44,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Male
75,Divorced,Not-in-family,Female
55,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Wife,Female
31,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
23,Never-married,Unmarried,Female
42,Divorced,Unmarried,Female
29,Never-married,Not-in-family,Female
21,Never-married,Not-in-family,Male
28,Never-married,Own-child,Male
64,Married-civ-spouse,Husband,Male
35,Never-married,Unmarried,Female
65,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
58,Divorced,Not-in-family,Male
63,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
59,Divorced,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
47,Divorced,Not-in-family,Male
30,Divorced,Not-in-family,Male
34,Never-married,Own-child,Male
51,Divorced,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
62,Widowed,Not-in-family,Female
22,Never-married,Own-child,Male
38,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
21,Divorced,Other-relative,Male
49,Never-married,Not-in-family,Male
24,Never-married,Own-child,Male
47,Divorced,Not-in-family,Male
20,Never-married,Own-child,Female
27,Married-civ-spouse,Wife,Female
40,Separated,Not-in-family,Female
19,Never-married,Own-child,Female
31,Divorced,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
64,Married-civ-spouse,Husband,Male
39,Separated,Unmarried,Male
50,Married-civ-spouse,Husband,Male
52,Divorced,Unmarried,Female
44,Married-civ-spouse,Wife,Female
50,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Female
39,Married-civ-spouse,Husband,Male
33,Never-married,Unmarried,Male
59,Never-married,Other-relative,Male
74,Widowed,Not-in-family,Female
54,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
31,Separated,Unmarried,Female
20,Never-married,Own-child,Female
54,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
49,Widowed,Unmarried,Female
40,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
38,Never-married,Not-in-family,Male
39,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
32,Divorced,Not-in-family,Male
57,Married-civ-spouse,Wife,Female
38,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Female
40,Never-married,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
35,Divorced,Own-child,Male
53,Divorced,Not-in-family,Female
21,Never-married,Unmarried,Male
43,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
22,Never-married,Unmarried,Female
64,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
40,Never-married,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Wife,Female
35,Never-married,Other-relative,Male
32,Married-civ-spouse,Husband,Male
26,Never-married,Own-child,Male
25,Never-married,Not-in-family,Male
55,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
29,Divorced,Own-child,Male
38,Married-civ-spouse,Husband,Male
55,Widowed,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
25,Never-married,Own-child,Female
39,Divorced,Not-in-family,Female
18,Never-married,Own-child,Male
58,Married-civ-spouse,Husband,Male
34,Never-married,Own-child,Female
29,Never-married,Own-child,Male
49,Divorced,Unmarried,Male
38,Never-married,Not-in-family,Female
21,Never-married,Own-child,Male
28,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Wife,Female
29,Never-married,Own-child,Male
48,Divorced,Unmarried,Female
40,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Male
32,Separated,Unmarried,Female
18,Never-married,Own-child,Male
39,Married-civ-spouse,Husband,Male
39,Divorced,Own-child,Male
18,Never-married,Own-child,Female
20,Never-married,Own-child,Male
27,Never-married,Own-child,Female
54,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Female
43,Never-married,Not-in-family,Male
22,Never-married,Other-relative,Female
17,Never-married,Unmarried,Female
37,Married-civ-spouse,Husband,Male
49,Separated,Not-in-family,Male
33,Never-married,Unmarried,Male
21,Never-married,Own-child,Male
45,Divorced,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
71,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
41,Married-civ-spouse,Husband,Male
21,Never-married,Unmarried,Female
47,Married-spouse-absent,Unmarried,Female
30,Never-married,Not-in-family,Male
40,Married-civ-spouse,Wife,Female
44,Divorced,Unmarried,Female
50,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
68,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
38,Never-married,Own-child,Male
78,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
46,Divorced,Unmarried,Female
30,Married-civ-spouse,Husband,Male
34,Never-married,Unmarried,Male
30,Separated,Other-relative,Male
47,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Wife,Female
62,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
40,Divorced,Other-relative,Female
20,Never-married,Own-child,Male
45,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
51,Never-married,Own-child,Female
38,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
30,Separated,Unmarried,Female
20,Never-married,Own-child,Male
34,Separated,Unmarried,Male
42,Widowed,Unmarried,Female
46,Married-civ-spouse,Husband,Male
43,Never-married,Not-in-family,Female
62,Never-married,Not-in-family,Female
21,Never-married,Own-child,Female
58,Widowed,Unmarried,Male
30,Married-civ-spouse,Wife,Female
37,Separated,Unmarried,Male
22,Never-married,Own-child,Female
64,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
34,Divorced,Not-in-family,Female
25,Never-married,Own-child,Female
21,Never-married,Own-child,Male
45,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Male
70,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
50,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Female
39,Never-married,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
63,Never-married,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
82,Married-civ-spouse,Husband,Male
33,Divorced,Own-child,Male
37,Married-civ-spouse,Husband,Male
24,Married-spouse-absent,Own-child,Male
31,Never-married,Unmarried,Female
59,Divorced,Own-child,Female
18,Never-married,Own-child,Male
47,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
27,Never-married,Unmarried,Female
34,Never-married,Own-child,Male
50,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
56,Divorced,Unmarried,Female
18,Never-married,Own-child,Female
26,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Wife,Female
20,Never-married,Own-child,Female
29,Never-married,Not-in-family,Male
30,Divorced,Not-in-family,Male
21,Never-married,Own-child,Male
24,Never-married,Own-child,Female
51,Married-civ-spouse,Husband,Male
31,Divorced,Unmarried,Female
45,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
29,Never-married,Own-child,Female
20,Never-married,Not-in-family,Female
46,Widowed,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
39,Divorced,Not-in-family,Female
39,Divorced,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Wife,Female
48,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
25,Never-married,Not-in-family,Female
21,Never-married,Own-child,Female
18,Never-married,Own-child,Male
63,Widowed,Unmarried,Female
18,Never-married,Own-child,Female
32,Married-civ-spouse,Husband,Male
25,Never-married,Unmarried,Female
19,Never-married,Own-child,Male
23,Never-married,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
24,Divorced,Unmarried,Female
42,Never-married,Not-in-family,Female
23,Never-married,Own-child,Female
27,Never-married,Not-in-family,Male
48,Never-married,Not-in-family,Male
31,Never-married,Not-in-family,Male
31,Never-married,Other-relative,Female
18,Never-married,Own-child,Female
36,Never-married,Not-in-family,Female
58,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
72,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
37,Divorced,Unmarried,Female
30,Married-civ-spouse,Husband,Male
40,Divorced,Not-in-family,Female
20,Never-married,Own-child,Male
65,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
37,Never-married,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
64,Widowed,Unmarried,Female
61,Married-civ-spouse,Husband,Male
38,Never-married,Unmarried,Female
27,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
39,Never-married,Not-in-family,Male
44,Married-civ-spouse,Husband,Male
47,Divorced,Other-relative,Female
73,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
44,Divorced,Own-child,Female
59,Married-civ-spouse,Husband,Male
52,Widowed,Other-relative,Female
46,Never-married,Own-child,Male
20,Never-married,Own-child,Female
37,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
59,Divorced,Not-in-family,Male
22,Never-married,Own-child,Female
40,Divorced,Unmarried,Female
39,Married-civ-spouse,Husband,Male
24,Divorced,Unmarried,Female
63,Married-civ-spouse,Husband,Male
51,Divorced,Not-in-family,Female
34,Never-married,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
20,Never-married,Own-child,Female
42,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Wife,Female
56,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
31,Married-civ-spouse,Wife,Female
23,Married-civ-spouse,Wife,Female
33,Never-married,Own-child,Male
36,Separated,Not-in-family,Male
37,Married-civ-spouse,Husband,Male
52,Separated,Own-child,Female
28,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
30,Never-married,Other-relative,Male
32,Never-married,Not-in-family,Male
30,Never-married,Not-in-family,Male
53,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
34,Married-spouse-absent,Not-in-family,Male
31,Divorced,Not-in-family,Female
34,Never-married,Own-child,Male
58,Divorced,Not-in-family,Male
30,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
27,Divorced,Own-child,Female
23,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
33,Divorced,Unmarried,Female
22,Never-married,Own-child,Female
47,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
44,Divorced,Unmarried,Male
41,Never-married,Not-in-family,Female
45,Separated,Not-in-family,Male
24,Married-civ-spouse,Husband,Male
65,Married-civ-spouse,Husband,Male
45,Divorced,Unmarried,Female
