A,B,D,F,G,H,I,J,K,L,M,Q,R,S,U,V,W,X,Y,Z
MS,F,U,T,2,2,services,services,course,father,2,no,no,no,yes,yes,yes,5,4,5
MS,F,R,A,4,2,teacher,other,reputation,mother,1,no,no,yes,yes,yes,yes,5,3,1
MS,F,U,T,1,1,at_home,services,course,mother,3,no,no,no,no,no,no,4,4,2
MS,F,U,T,1,1,at_home,services,other,father,2,no,no,no,no,no,no,5,5,5
MS,F,U,T,4,2,teacher,other,course,father,2,no,no,no,yes,yes,yes,4,2,3
MS,F,R,A,2,1,services,other,reputation,mother,2,no,no,yes,yes,yes,yes,5,3,3
MS,F,U,A,1,1,at_home,services,course,mother,1,no,no,no,yes,no,yes,5,2,3
MS,F,U,T,1,2,at_home,at_home,course,father,2,yes,no,no,no,no,no,4,1,1
MS,F,R,A,1,1,at_home,at_home,course,other,2,yes,no,yes,no,no,yes,3,5,4
MS,F,R,T,2,2,services,other,home,mother,2,no,no,no,yes,yes,yes,4,2,1
MS,M,R,T,4,3,services,other,home,mother,2,yes,yes,yes,yes,yes,yes,4,5,5
MS,F,U,T,3,3,services,services,course,father,1,yes,no,no,yes,no,yes,5,3,4
MS,F,R,T,4,4,teacher,services,other,father,2,yes,yes,yes,yes,yes,no,4,3,3
MS,F,U,A,3,2,services,other,reputation,mother,2,no,no,no,yes,no,yes,1,2,3
MS,M,U,T,1,1,other,services,home,father,2,no,no,no,yes,yes,yes,3,3,2
MS,F,U,T,1,1,at_home,services,course,father,2,no,no,no,yes,yes,no,5,3,2
MS,F,R,A,1,2,at_home,other,course,mother,3,no,no,no,yes,no,yes,4,3,4
MS,F,U,T,3,3,services,services,other,mother,2,yes,no,no,yes,yes,yes,4,3,2
MS,F,U,T,4,4,at_home,at_home,course,mother,1,yes,no,yes,yes,yes,yes,2,3,4
MS,F,R,T,1,2,other,services,course,father,2,no,no,no,yes,no,no,3,2,2
MS,M,R,T,1,3,at_home,other,course,mother,2,yes,yes,no,yes,no,no,3,3,4
MS,M,U,T,4,4,teacher,services,other,mother,2,no,no,no,yes,yes,yes,4,2,2
MS,F,R,T,1,1,other,services,reputation,mother,3,yes,no,no,yes,yes,yes,5,2,1
MS,F,U,T,2,3,at_home,services,course,father,2,yes,no,no,yes,yes,yes,5,2,3
MS,F,R,T,4,4,other,teacher,other,father,3,yes,no,no,yes,yes,yes,3,2,2
MS,M,R,T,1,2,at_home,services,other,father,3,yes,no,yes,no,yes,yes,4,3,3
MS,F,U,T,2,2,other,at_home,home,mother,1,no,no,yes,yes,no,yes,3,4,3
MS,F,R,T,1,2,other,other,course,mother,1,no,no,yes,yes,yes,no,3,5,5
MS,F,R,T,4,4,other,other,reputation,mother,2,no,no,no,yes,yes,no,5,4,4
MS,F,R,T,1,1,other,other,home,mother,4,no,no,no,yes,yes,no,4,3,2
MS,F,R,T,1,1,at_home,other,course,other,2,yes,no,no,yes,yes,yes,4,3,3
MS,F,R,T,4,4,teacher,services,course,mother,1,no,no,yes,yes,yes,no,5,4,3
MS,F,U,T,3,3,other,other,home,mother,1,no,no,no,yes,yes,yes,4,1,3
MS,F,R,T,3,1,at_home,other,reputation,mother,1,yes,no,yes,yes,yes,no,4,5,4
MS,M,U,T,4,4,teacher,teacher,home,father,1,no,no,yes,yes,yes,no,3,2,4
MS,M,R,T,2,1,other,other,other,mother,2,no,no,yes,yes,yes,yes,4,4,3
MS,M,U,T,2,3,other,services,home,father,2,no,no,yes,yes,yes,no,4,4,3
MS,M,R,T,1,1,other,services,other,mother,2,no,no,no,yes,no,no,4,3,2
MS,M,R,T,4,2,other,other,home,father,2,no,yes,no,yes,no,no,5,4,3
MS,F,R,T,2,2,at_home,other,other,mother,2,no,no,no,yes,no,no,5,3,3
MS,F,U,T,4,3,teacher,other,other,mother,2,no,no,no,yes,yes,no,5,5,4
MS,F,R,T,4,4,teacher,at_home,reputation,mother,3,yes,no,yes,yes,yes,yes,4,4,3
MS,F,R,T,2,3,services,other,course,mother,1,no,no,yes,yes,yes,no,5,4,2
MS,F,U,T,3,1,teacher,services,course,mother,1,yes,no,no,yes,yes,no,4,3,4
MS,F,U,T,1,1,other,other,course,mother,2,no,no,yes,yes,no,no,1,1,1
MS,M,U,T,3,1,services,services,course,mother,2,no,no,no,yes,yes,no,2,4,5
MS,M,R,T,3,2,services,other,course,mother,3,no,no,no,yes,yes,no,4,4,1
GP,F,U,A,4,4,at_home,teacher,course,mother,2,no,no,no,yes,no,no,4,3,4
GP,F,U,T,1,1,at_home,other,course,father,1,yes,no,no,yes,yes,no,5,3,3
GP,F,U,T,1,1,at_home,other,other,mother,1,no,yes,no,yes,yes,no,4,3,2
GP,F,U,T,4,2,health,services,home,mother,1,yes,yes,yes,yes,yes,yes,3,2,2
GP,F,U,T,3,3,other,other,home,father,1,yes,yes,no,yes,no,no,4,3,2
GP,M,U,T,4,3,services,other,reputation,mother,1,yes,yes,yes,yes,yes,no,5,4,2
GP,M,U,T,2,2,other,other,home,mother,1,no,no,no,yes,yes,no,4,4,4
GP,F,U,A,4,4,other,teacher,home,mother,2,yes,no,no,yes,no,no,4,1,4
GP,M,U,A,3,2,services,other,home,mother,1,yes,yes,no,yes,yes,no,4,2,2
GP,M,U,T,3,4,other,other,home,mother,1,yes,yes,yes,yes,yes,no,5,5,1
GP,F,U,T,4,4,teacher,health,reputation,mother,1,yes,yes,no,yes,yes,no,3,3,3
GP,F,U,T,2,1,services,other,reputation,father,3,yes,no,yes,yes,yes,no,5,2,2
GP,M,U,T,4,4,health,services,course,father,1,yes,yes,yes,yes,yes,no,4,3,3
GP,M,U,T,4,3,teacher,other,course,mother,2,yes,yes,no,yes,yes,no,5,4,3
GP,M,U,A,2,2,other,other,home,other,1,yes,no,no,yes,yes,yes,4,5,2
GP,F,U,T,4,4,health,other,home,mother,1,yes,no,no,yes,yes,no,4,4,4
GP,F,U,T,4,4,services,services,reputation,mother,1,yes,yes,yes,yes,yes,no,3,2,3
GP,F,U,T,3,3,other,other,reputation,mother,3,yes,no,yes,yes,no,no,5,3,2
GP,M,U,T,3,2,services,services,course,mother,1,yes,no,yes,yes,yes,no,5,5,5
GP,M,U,T,4,3,health,other,home,father,1,no,yes,yes,yes,yes,no,3,1,3
GP,M,U,T,4,3,teacher,other,reputation,mother,1,no,no,no,yes,yes,no,4,4,1
GP,M,U,T,4,4,health,health,other,father,1,yes,yes,no,yes,yes,no,5,4,2
GP,M,U,T,4,2,teacher,other,course,mother,1,no,no,yes,yes,yes,no,4,5,1
GP,M,U,T,2,2,other,other,reputation,mother,2,yes,no,yes,yes,yes,no,5,4,4
GP,F,R,T,2,4,services,health,course,mother,1,yes,yes,yes,yes,yes,no,4,3,2
GP,F,U,T,2,2,services,services,home,mother,1,yes,yes,no,yes,yes,no,1,2,2
GP,M,U,T,2,2,other,other,home,mother,1,yes,yes,no,yes,yes,no,4,2,2
GP,M,U,T,4,2,health,services,other,mother,1,no,yes,no,yes,yes,no,2,2,4
GP,M,U,A,3,4,services,other,home,mother,1,yes,no,yes,yes,yes,no,5,3,3
GP,M,U,T,4,4,teacher,teacher,home,mother,1,yes,yes,yes,yes,yes,yes,4,4,5
GP,M,U,T,4,4,health,services,home,mother,1,yes,yes,no,yes,yes,no,5,4,2
GP,M,U,T,4,4,services,services,reputation,mother,2,yes,no,yes,yes,yes,no,4,3,1
GP,M,R,T,4,3,teacher,at_home,course,mother,1,yes,no,yes,yes,yes,yes,4,5,2
GP,M,U,T,3,3,other,other,course,mother,1,no,no,yes,yes,yes,no,5,3,2
GP,M,U,T,3,2,other,other,home,mother,1,yes,yes,no,yes,yes,no,5,4,3
GP,F,U,T,2,3,other,other,other,father,2,yes,no,yes,yes,no,no,3,5,1
GP,M,U,T,4,3,teacher,services,home,mother,1,yes,no,yes,yes,yes,no,5,4,3
GP,M,R,A,4,4,other,teacher,reputation,mother,2,yes,no,yes,yes,yes,yes,2,4,3
GP,F,R,T,3,4,services,health,course,mother,1,yes,yes,yes,yes,yes,no,4,3,2
GP,F,R,T,2,2,at_home,other,reputation,mother,1,yes,yes,yes,yes,no,no,4,3,1
GP,F,U,T,2,2,other,other,home,mother,2,yes,no,yes,yes,yes,yes,3,3,3
GP,M,U,T,4,4,teacher,other,home,other,1,yes,no,no,yes,yes,yes,5,4,3
GP,M,U,T,4,4,services,teacher,course,father,1,yes,no,yes,yes,yes,no,4,3,3
GP,M,U,T,2,2,services,services,course,father,1,yes,no,no,yes,yes,no,5,4,1
GP,F,U,T,2,2,other,at_home,course,father,2,no,no,yes,yes,yes,no,4,3,3
GP,F,U,A,4,3,other,other,course,mother,1,yes,yes,yes,yes,yes,yes,5,2,2
GP,F,U,A,3,3,other,services,home,mother,1,yes,no,no,yes,yes,no,2,3,5
GP,M,U,T,4,3,health,services,reputation,mother,1,no,no,yes,yes,yes,no,4,2,2
GP,M,U,T,4,2,teacher,other,home,mother,1,yes,yes,no,yes,no,no,4,3,3
GP,F,U,T,4,4,services,teacher,other,father,1,yes,no,yes,yes,yes,no,4,4,4
GP,F,U,T,2,2,services,services,course,mother,3,yes,yes,no,yes,yes,no,4,3,3
GP,F,U,T,4,2,health,other,other,mother,1,yes,yes,no,yes,yes,no,4,3,3
GP,M,U,A,4,2,health,health,other,father,2,no,no,no,yes,no,no,5,5,5
GP,F,U,T,4,4,services,services,course,mother,1,yes,yes,no,yes,yes,no,3,3,4
GP,F,U,A,3,3,other,other,other,mother,1,no,yes,no,yes,yes,no,5,3,4
GP,F,U,A,2,1,other,other,other,mother,1,no,yes,yes,yes,yes,yes,5,3,4
GP,F,U,A,4,3,services,services,reputation,mother,1,yes,yes,yes,yes,yes,no,4,3,2
GP,M,U,T,4,4,teacher,health,reputation,mother,1,yes,no,yes,yes,no,no,3,2,2
GP,M,U,T,1,2,other,at_home,home,father,1,yes,no,yes,yes,yes,no,4,3,2
GP,F,U,T,4,2,services,other,course,mother,1,yes,no,no,yes,yes,no,4,2,3
GP,F,R,T,4,4,health,teacher,other,mother,1,yes,no,yes,yes,no,no,2,4,4
GP,F,U,T,1,1,services,services,course,father,4,yes,no,yes,yes,yes,yes,5,5,5
GP,F,U,T,1,2,other,services,reputation,father,1,no,no,yes,yes,yes,no,4,4,3
GP,F,U,T,4,3,teacher,health,home,mother,1,yes,yes,yes,yes,yes,no,3,4,4
GP,F,U,T,4,3,services,services,reputation,father,1,no,no,yes,yes,yes,yes,4,4,4
GP,F,U,T,4,3,teacher,services,course,mother,3,yes,no,yes,yes,yes,no,5,4,3
GP,M,U,A,4,4,other,services,reputation,mother,1,yes,no,yes,yes,yes,yes,1,3,3
GP,F,U,T,3,1,services,other,course,mother,1,yes,yes,no,yes,yes,no,4,3,3
GP,F,R,T,2,2,health,services,reputation,mother,2,yes,yes,no,yes,yes,no,4,1,3
GP,F,R,T,3,1,other,other,reputation,father,2,yes,no,no,yes,yes,no,4,4,2
GP,M,U,T,3,1,other,other,reputation,father,2,yes,yes,no,yes,yes,no,4,3,2
GP,M,U,T,4,2,other,other,course,mother,1,no,no,no,yes,yes,no,3,3,3
GP,F,R,T,1,1,other,other,reputation,mother,1,yes,no,no,yes,yes,yes,3,3,4
GP,M,U,T,3,1,other,other,reputation,mother,1,no,no,yes,yes,no,no,5,3,2
GP,F,U,T,3,3,other,services,home,mother,1,yes,yes,yes,yes,yes,no,4,3,3
GP,M,U,T,4,3,teacher,other,home,mother,1,yes,yes,yes,yes,yes,no,4,3,3
GP,M,U,T,4,0,teacher,other,course,mother,2,no,no,yes,yes,yes,no,3,4,3
GP,F,U,T,2,2,other,other,reputation,mother,1,no,yes,no,yes,yes,yes,5,2,3
GP,M,U,T,2,1,other,other,home,mother,2,yes,no,yes,no,yes,no,4,5,1
GP,F,U,T,3,4,at_home,other,course,mother,1,yes,no,no,yes,yes,no,2,4,3
GP,M,U,T,2,3,other,services,course,father,1,yes,yes,yes,yes,yes,yes,3,2,2
GP,M,U,T,2,3,other,other,home,mother,1,no,yes,no,yes,yes,no,5,3,2
GP,F,U,T,3,2,services,other,reputation,mother,1,yes,yes,no,yes,yes,no,4,4,4
GP,M,U,T,2,2,services,services,home,mother,2,no,yes,yes,yes,yes,no,5,3,3
GP,F,U,T,1,1,other,other,home,father,1,yes,no,yes,yes,yes,no,4,3,2
GP,F,U,T,4,4,services,services,reputation,father,2,no,yes,no,yes,yes,yes,4,4,4
GP,F,U,T,2,2,at_home,other,course,mother,1,yes,no,no,yes,no,no,4,3,4
GP,F,U,T,4,2,other,other,reputation,mother,1,yes,no,yes,yes,yes,no,5,3,3
GP,M,U,T,2,2,services,other,reputation,father,2,no,yes,yes,yes,yes,no,4,4,2
GP,M,U,A,4,4,teacher,health,reputation,mother,1,yes,no,no,yes,no,no,4,1,3
GP,F,U,T,3,3,other,other,home,mother,1,yes,yes,no,yes,yes,yes,4,3,3
GP,F,U,T,4,3,services,other,reputation,mother,1,no,yes,yes,yes,yes,no,4,5,5
GP,F,U,T,3,1,other,other,home,father,1,yes,no,no,yes,no,no,3,3,3
GP,F,U,T,4,2,teacher,services,home,mother,2,yes,yes,yes,yes,yes,no,5,3,3
GP,M,U,T,2,2,services,health,reputation,mother,1,yes,no,yes,yes,yes,no,4,3,4
GP,F,R,T,1,1,at_home,other,home,mother,2,yes,yes,yes,yes,yes,no,3,1,2
GP,M,R,T,4,3,services,other,reputation,mother,2,yes,no,yes,yes,yes,no,3,3,3
GP,F,U,T,2,1,other,other,course,mother,1,yes,yes,no,yes,no,yes,4,3,5
GP,F,U,T,4,4,other,other,reputation,mother,1,no,no,yes,yes,yes,no,5,3,4
GP,F,U,T,4,3,other,at_home,course,mother,1,yes,yes,no,yes,yes,no,5,3,5
GP,M,U,T,4,4,services,services,other,mother,1,yes,yes,yes,yes,yes,no,4,5,5
GP,M,U,T,4,4,services,teacher,other,father,1,yes,no,yes,yes,yes,yes,4,4,3
GP,M,U,T,4,4,services,other,course,mother,1,yes,no,yes,yes,yes,no,5,3,3
GP,F,U,T,3,2,services,other,home,mother,2,yes,yes,no,yes,yes,no,4,3,5
GP,M,U,A,3,4,services,other,course,mother,1,yes,yes,yes,yes,yes,no,5,4,4
GP,F,U,A,3,3,other,health,reputation,father,1,no,no,no,yes,no,no,4,3,3
GP,F,U,T,2,2,other,other,course,mother,1,yes,yes,no,yes,yes,no,5,1,2
GP,M,U,T,3,3,services,other,home,father,1,yes,no,yes,yes,yes,no,5,3,3
GP,M,R,T,4,4,other,other,home,father,4,yes,yes,yes,yes,yes,yes,1,3,5
GP,F,U,T,4,4,health,health,other,mother,1,yes,yes,yes,yes,yes,yes,5,4,5
GP,M,U,A,4,4,teacher,teacher,course,mother,1,no,no,yes,yes,yes,no,5,5,3
GP,F,R,T,3,3,services,other,reputation,father,1,yes,no,yes,yes,yes,no,4,1,2
GP,F,U,T,2,2,at_home,other,home,mother,1,no,no,yes,yes,yes,no,3,1,2
GP,M,U,T,4,2,teacher,other,course,mother,1,no,no,no,yes,yes,no,3,5,2
GP,M,R,T,2,1,health,services,reputation,mother,1,no,no,yes,yes,yes,yes,5,4,2
GP,M,U,T,4,4,teacher,teacher,course,father,1,yes,no,yes,yes,yes,no,5,4,4
GP,M,U,T,4,4,other,teacher,reputation,father,2,yes,no,yes,yes,no,no,4,4,3
GP,M,U,T,3,3,other,services,home,father,2,no,no,yes,yes,yes,no,5,4,2
GP,M,R,T,1,3,other,other,course,father,3,yes,no,yes,yes,yes,no,5,2,4
GP,M,U,T,3,4,other,other,reputation,father,1,no,no,no,yes,yes,no,3,4,3
GP,F,U,T,1,2,at_home,services,course,mother,1,no,no,no,yes,yes,no,3,2,3
GP,M,U,T,2,2,services,services,home,father,1,yes,yes,yes,yes,yes,no,5,5,4
GP,F,U,T,2,4,other,health,course,father,2,yes,yes,yes,yes,yes,yes,4,2,2
GP,M,U,T,4,4,health,other,course,mother,1,yes,no,yes,yes,yes,no,3,4,4
GP,F,U,T,2,2,other,other,home,mother,1,no,yes,no,yes,yes,yes,5,4,4
GP,M,U,T,3,4,services,services,home,father,1,no,no,no,yes,yes,no,5,5,5
GP,F,U,A,3,4,other,other,home,mother,1,no,no,yes,yes,yes,yes,5,3,2
GP,F,U,T,0,1,at_home,other,course,other,1,yes,no,no,no,no,no,3,4,2
GP,M,R,T,2,2,services,other,reputation,mother,1,yes,no,yes,yes,yes,no,3,3,3
GP,M,R,T,4,4,teacher,teacher,course,mother,1,no,yes,yes,yes,yes,no,3,5,5
GP,F,R,T,3,4,services,teacher,course,father,2,yes,no,no,yes,yes,yes,4,2,2
GP,F,U,T,1,1,at_home,other,course,mother,3,yes,no,yes,yes,yes,yes,4,3,3
GP,F,U,T,2,2,other,other,course,father,1,yes,no,no,yes,yes,yes,3,4,4
GP,F,U,A,3,4,services,other,course,father,1,no,no,no,yes,yes,no,3,2,1
GP,M,R,T,3,4,at_home,teacher,course,mother,4,yes,no,no,yes,no,yes,5,3,3
GP,F,U,T,4,4,services,at_home,course,mother,1,yes,no,yes,yes,yes,yes,4,3,3
GP,M,R,T,3,4,at_home,other,course,mother,3,no,no,no,yes,no,no,5,4,5
GP,F,U,A,3,3,other,other,course,other,2,yes,no,yes,yes,yes,yes,4,3,2
GP,M,U,T,1,1,services,other,course,mother,1,no,no,no,yes,no,yes,4,4,4
GP,F,U,T,4,4,teacher,teacher,course,mother,2,no,no,yes,yes,yes,no,4,3,2
GP,M,U,T,4,3,teacher,services,course,father,2,yes,no,no,yes,yes,no,2,2,2
GP,M,U,T,2,2,services,services,reputation,father,2,yes,no,yes,yes,yes,no,2,3,3
GP,F,U,T,4,4,teacher,services,course,mother,1,yes,yes,yes,yes,yes,no,4,2,2
GP,F,U,T,1,1,at_home,at_home,course,mother,1,no,no,no,yes,yes,no,3,4,4
GP,M,U,T,2,1,other,other,home,mother,1,yes,no,no,yes,yes,no,5,4,5
GP,F,U,T,1,1,other,services,course,father,1,yes,yes,no,yes,yes,no,4,4,2
GP,F,U,T,3,2,health,services,home,father,1,yes,no,no,yes,yes,no,3,3,2
GP,F,U,T,1,2,at_home,other,course,mother,1,yes,yes,no,yes,yes,no,4,3,2
GP,M,U,T,4,4,teacher,teacher,course,mother,1,yes,no,no,no,yes,yes,3,3,2
GP,M,U,A,2,1,services,other,course,mother,4,no,no,no,yes,yes,no,4,5,5
GP,M,U,T,1,1,other,other,course,mother,1,no,no,no,no,yes,yes,2,3,5
GP,M,U,T,2,1,at_home,other,course,mother,1,no,no,yes,yes,no,yes,4,4,4
GP,F,R,T,3,3,services,services,reputation,other,2,yes,yes,yes,yes,yes,yes,4,2,1
GP,M,U,T,3,2,services,at_home,home,mother,1,yes,no,no,no,yes,yes,4,5,4
GP,F,U,T,4,4,other,teacher,course,mother,1,yes,no,no,yes,no,yes,4,2,1
GP,M,R,T,2,3,at_home,services,course,mother,1,no,yes,yes,yes,no,no,4,4,4
GP,M,R,T,1,2,other,other,reputation,mother,1,no,no,no,yes,no,no,2,2,2
GP,F,R,T,1,1,at_home,other,course,mother,3,yes,no,yes,yes,no,no,5,2,5
GP,M,R,T,2,2,at_home,other,course,mother,3,no,no,no,yes,no,no,4,2,2
GP,M,U,T,3,3,other,services,course,father,1,yes,yes,no,yes,yes,yes,4,5,5
GP,M,R,T,2,1,at_home,other,course,mother,2,no,no,yes,no,yes,yes,3,3,2
GP,M,R,T,3,2,other,other,course,mother,2,yes,no,no,yes,yes,yes,4,4,4
GP,M,U,T,1,2,other,other,course,mother,2,no,no,yes,yes,no,no,4,4,4
GP,M,U,T,1,3,at_home,services,course,father,1,no,no,no,no,yes,no,5,3,3
GP,M,R,T,1,1,other,services,course,mother,4,no,no,yes,no,no,yes,5,3,5
GP,M,U,T,3,2,services,services,course,mother,2,yes,no,yes,no,no,no,4,5,2
GP,M,U,T,2,2,other,other,course,father,1,no,no,no,no,yes,no,4,3,5
GP,F,U,T,4,2,health,services,home,father,1,no,yes,no,yes,yes,yes,4,2,3
GP,F,U,T,2,2,other,other,home,mother,1,yes,yes,no,yes,yes,no,5,1,5
GP,F,U,T,4,4,health,health,reputation,mother,1,yes,yes,no,yes,yes,yes,4,4,2
GP,M,U,T,3,4,other,other,course,father,3,yes,no,yes,yes,yes,no,3,4,5
GP,M,U,T,1,0,other,other,reputation,mother,2,yes,yes,yes,yes,yes,yes,4,3,2
GP,M,U,T,4,4,teacher,other,reputation,mother,1,yes,yes,yes,yes,yes,no,4,4,4
GP,F,U,T,1,3,at_home,services,home,mother,1,no,no,yes,yes,yes,yes,4,3,5
GP,F,U,T,3,3,other,other,reputation,mother,2,yes,yes,yes,yes,yes,no,4,4,5
GP,M,U,T,4,3,teacher,other,course,mother,2,no,yes,yes,yes,yes,no,4,4,4
GP,F,U,T,2,2,services,other,reputation,mother,2,no,yes,yes,yes,yes,no,3,4,4
GP,M,U,T,3,3,other,other,reputation,father,1,no,no,yes,yes,yes,no,4,3,4
GP,M,R,T,4,2,teacher,services,other,mother,1,yes,no,yes,yes,yes,yes,4,3,3
GP,M,U,T,4,3,other,other,course,mother,1,yes,no,yes,yes,yes,yes,5,2,3
GP,M,U,T,4,3,teacher,other,home,mother,1,yes,yes,yes,yes,yes,no,3,4,3
GP,M,U,T,3,3,services,other,home,mother,1,no,yes,yes,yes,yes,yes,4,2,3
GP,F,U,T,2,4,services,services,reputation,father,1,yes,no,yes,yes,no,no,5,4,2
GP,F,U,T,3,3,other,other,reputation,mother,1,yes,no,yes,yes,yes,yes,5,3,3
GP,F,U,T,3,2,other,other,reputation,mother,1,yes,yes,no,yes,yes,no,1,2,2
GP,M,U,T,3,3,services,services,other,mother,1,yes,no,yes,yes,yes,yes,4,3,4
GP,M,U,T,1,2,services,services,other,mother,1,yes,yes,yes,yes,yes,yes,3,3,3
GP,M,U,T,2,1,other,other,course,mother,1,no,yes,yes,yes,yes,yes,4,2,3
GP,F,U,A,3,3,health,other,reputation,mother,1,yes,no,no,yes,yes,yes,3,3,3
GP,M,R,T,1,2,at_home,other,home,mother,1,no,no,no,yes,no,no,3,1,3
GP,F,U,T,2,3,services,services,course,mother,1,no,no,no,yes,yes,no,4,3,3
GP,F,U,T,1,1,at_home,services,course,mother,1,no,no,yes,yes,yes,no,5,3,3
GP,M,U,T,1,2,at_home,services,other,other,2,no,yes,yes,yes,yes,no,4,4,4
GP,M,R,T,3,3,services,services,reputation,mother,1,yes,no,yes,yes,yes,no,4,3,2
GP,M,U,T,2,3,other,other,home,father,2,no,no,no,yes,yes,no,5,3,3
GP,F,U,T,2,4,services,services,course,father,1,no,no,yes,yes,yes,yes,4,3,2
GP,M,U,T,4,4,services,teacher,home,mother,1,no,no,no,yes,yes,no,5,2,3
GP,M,R,T,3,3,teacher,other,home,father,3,yes,yes,yes,yes,yes,no,3,3,4
GP,F,U,T,4,4,services,teacher,home,mother,2,yes,no,no,yes,yes,no,4,2,4
GP,F,U,T,4,4,teacher,teacher,reputation,mother,1,yes,yes,no,yes,yes,no,4,5,2
GP,F,U,T,4,3,health,other,home,mother,1,yes,no,yes,yes,yes,no,4,3,5
GP,F,U,T,2,3,other,other,reputation,mother,1,yes,yes,yes,yes,no,no,4,4,3
GP,F,U,T,1,1,other,other,course,mother,1,yes,yes,no,yes,no,no,4,4,4
GP,F,R,T,2,2,other,other,reputation,mother,1,yes,no,no,yes,yes,no,5,3,2
GP,F,R,T,2,2,services,services,reputation,mother,2,yes,yes,yes,yes,yes,no,5,3,5
GP,F,U,T,3,4,at_home,services,home,mother,1,yes,yes,no,yes,yes,yes,4,4,3
GP,F,U,A,3,1,services,other,course,mother,1,yes,yes,no,yes,yes,no,2,3,3
GP,F,U,T,4,3,teacher,other,other,mother,1,no,yes,yes,yes,yes,yes,1,3,2
GP,F,U,T,1,1,at_home,other,home,mother,2,yes,yes,no,yes,no,no,4,3,2
GP,F,R,T,4,3,teacher,other,reputation,mother,2,yes,yes,yes,yes,yes,yes,4,4,2
GP,F,U,T,3,3,other,other,reputation,other,1,yes,yes,yes,yes,yes,no,4,3,3
GP,M,U,T,4,4,services,other,home,mother,1,yes,yes,no,yes,yes,yes,5,3,5
GP,F,U,A,2,2,other,other,reputation,mother,1,yes,yes,no,yes,yes,no,3,3,4
GP,M,U,T,2,2,services,other,home,mother,1,yes,yes,yes,yes,yes,no,4,4,4
GP,F,R,T,4,4,services,other,other,mother,1,yes,yes,no,yes,no,no,5,2,1
GP,F,U,T,3,2,other,other,reputation,mother,2,no,yes,no,yes,yes,no,4,4,4
GP,F,U,T,4,3,other,other,reputation,mother,1,no,yes,no,yes,yes,yes,3,4,5
GP,M,U,T,3,3,services,health,home,father,1,yes,yes,no,yes,yes,no,3,2,4
GP,F,U,T,2,3,at_home,other,home,father,2,yes,yes,no,yes,no,no,3,3,3
GP,F,U,T,2,2,at_home,at_home,course,mother,1,yes,yes,yes,yes,yes,no,4,3,3
GP,F,R,T,2,1,at_home,services,reputation,mother,2,yes,no,yes,yes,yes,no,4,2,5
GP,F,U,T,1,1,at_home,other,reputation,mother,1,yes,no,yes,yes,no,yes,4,3,4
GP,F,U,T,2,3,services,teacher,other,mother,1,no,no,no,yes,yes,no,2,3,1
GP,M,U,T,2,2,other,other,home,mother,2,yes,yes,no,yes,yes,no,3,3,3
GP,F,U,T,4,4,teacher,services,home,mother,1,yes,no,yes,yes,yes,no,5,3,2
GP,F,R,T,3,1,other,other,reputation,mother,1,no,no,yes,yes,yes,yes,5,3,3
GP,F,U,T,3,2,other,other,course,mother,1,no,no,yes,yes,yes,no,5,3,4
GP,M,U,T,2,3,services,services,reputation,father,1,yes,yes,no,yes,yes,no,5,3,3
GP,M,U,T,2,1,at_home,other,course,mother,4,yes,yes,yes,yes,yes,yes,4,3,2
GP,F,U,A,2,1,other,other,course,mother,2,no,no,yes,yes,yes,yes,3,2,3
GP,F,U,T,4,3,health,other,reputation,father,1,no,no,yes,yes,yes,yes,3,2,3
GP,M,R,T,2,2,other,other,course,father,2,yes,yes,yes,yes,yes,no,4,5,2
GP,M,U,T,4,4,teacher,teacher,reputation,mother,1,yes,no,yes,yes,yes,yes,4,5,5
GP,M,U,T,4,4,health,other,reputation,father,1,yes,yes,yes,yes,yes,no,4,2,4
GP,M,U,T,1,1,other,other,home,mother,2,yes,yes,no,yes,yes,no,3,4,2
GP,M,U,T,3,2,at_home,other,reputation,mother,2,no,no,yes,yes,yes,yes,5,3,3
GP,M,U,T,2,2,other,other,home,father,1,no,yes,yes,yes,yes,yes,4,4,2
GP,F,U,T,2,1,other,other,home,mother,1,no,no,no,yes,yes,yes,4,5,2
GP,F,R,T,2,1,at_home,services,course,mother,3,no,no,yes,yes,no,no,2,1,1
GP,M,U,T,2,2,other,services,reputation,father,1,no,no,no,no,yes,no,5,5,4
GP,M,U,T,4,3,health,other,course,mother,2,no,no,yes,yes,yes,yes,2,5,5
GP,M,R,A,4,4,teacher,other,course,mother,2,yes,yes,no,yes,yes,no,3,3,3
GP,M,U,T,4,3,teacher,other,course,mother,1,no,no,yes,yes,yes,no,5,4,5
GP,M,U,T,4,4,services,services,course,mother,1,no,no,yes,yes,yes,no,5,3,2
GP,F,U,T,2,1,other,other,course,other,2,yes,yes,no,yes,yes,yes,4,4,4
GP,M,U,T,2,1,other,other,course,mother,3,no,no,no,yes,yes,no,4,3,3
GP,M,U,T,2,3,other,other,course,father,2,no,no,no,yes,yes,no,5,2,2
GP,M,U,T,3,1,services,services,other,mother,1,no,no,no,no,yes,yes,5,4,5
GP,M,R,T,3,3,other,services,course,mother,1,yes,no,no,yes,yes,yes,4,3,3
GP,M,U,T,0,2,other,other,other,mother,1,no,yes,no,yes,yes,no,4,3,2
GP,M,U,T,3,2,services,other,course,mother,2,no,no,no,no,yes,no,4,4,5
GP,M,U,T,3,3,at_home,other,reputation,other,3,yes,no,no,yes,yes,no,5,3,3
