A,C,D,I,M,N,P,T,U,V,X,Y,Z
GP,17,R,at_home,1,2,no,no,yes,no,3,5,2
GP,17,U,at_home,2,2,no,yes,yes,yes,4,3,3
GP,17,U,services,2,2,yes,yes,yes,yes,4,4,4
GP,18,R,other,2,2,no,no,no,yes,4,1,1
GP,18,U,teacher,2,1,no,yes,yes,yes,3,2,4
GP,18,U,health,1,2,yes,yes,yes,yes,2,4,4
GP,18,U,teacher,2,1,no,yes,yes,yes,4,2,3
GP,17,U,services,2,1,no,yes,yes,yes,4,5,4
GP,17,U,teacher,1,1,no,yes,yes,yes,4,4,4
GP,18,R,at_home,2,4,no,yes,yes,no,5,2,2
GP,18,U,other,2,2,yes,yes,yes,yes,5,4,4
GP,17,U,other,1,2,no,no,yes,yes,5,4,5
GP,17,U,other,1,2,no,no,yes,yes,4,3,3
GP,18,U,at_home,1,3,no,yes,yes,yes,4,3,3
GP,17,U,services,1,3,no,yes,yes,yes,4,3,3
GP,18,U,services,1,3,no,yes,yes,yes,4,2,4
GP,18,U,teacher,1,2,no,yes,yes,yes,5,4,3
GP,18,U,teacher,1,2,no,yes,yes,yes,4,3,2
GP,17,U,health,1,3,no,yes,yes,yes,4,2,2
GP,18,U,services,1,2,no,yes,yes,yes,5,4,3
GP,17,R,services,2,4,no,yes,yes,no,3,1,2
GP,18,R,services,2,3,no,yes,yes,yes,5,4,2
GP,17,U,health,1,1,no,yes,yes,yes,4,4,3
GP,19,U,health,2,2,no,yes,yes,yes,2,3,4
GP,18,U,other,2,2,no,yes,yes,yes,4,4,5
GP,18,U,other,1,4,no,yes,yes,yes,4,3,3
GP,18,U,teacher,1,1,no,yes,yes,yes,1,4,2
GP,18,U,health,1,2,no,yes,yes,yes,4,2,4
GP,17,U,other,2,1,no,yes,yes,yes,4,1,1
GP,17,U,other,2,3,no,yes,yes,yes,4,3,3
GP,17,U,health,1,4,no,no,yes,yes,5,2,2
GP,19,U,other,1,2,no,yes,yes,yes,4,4,4
GP,18,U,services,1,2,no,yes,yes,yes,4,4,3
GP,20,U,services,1,1,no,yes,yes,no,5,5,3
GP,19,U,teacher,2,1,no,yes,yes,yes,4,3,4
GP,19,R,other,1,2,no,yes,yes,no,4,5,3
GP,19,U,at_home,1,2,yes,no,yes,yes,4,4,3
GP,19,U,services,1,2,no,no,yes,no,4,2,4
GP,19,U,at_home,3,2,no,yes,no,yes,3,4,1
GP,19,U,other,1,2,no,no,yes,yes,4,5,2
GP,19,U,services,2,2,no,no,yes,yes,4,2,2
GP,19,U,at_home,1,3,no,no,yes,yes,4,1,2
GP,19,R,other,1,3,no,yes,yes,yes,4,1,2
GP,18,U,services,2,2,no,yes,yes,yes,5,3,3
GP,18,U,other,1,3,no,yes,yes,yes,4,3,4
GP,17,R,at_home,1,3,no,no,yes,yes,4,3,4
GP,18,U,teacher,1,2,no,yes,yes,yes,4,4,4
GP,17,U,services,1,2,no,yes,yes,yes,5,2,2
GP,17,U,other,1,2,no,yes,yes,no,4,2,2
GP,17,R,services,1,3,no,yes,yes,yes,3,3,2
GP,17,U,services,1,3,no,no,yes,yes,3,4,3
GP,17,U,at_home,2,3,no,yes,yes,yes,3,3,3
GP,18,U,other,1,3,no,yes,yes,yes,4,3,3
GP,17,U,other,1,1,no,no,yes,yes,4,3,5
GP,17,R,services,4,1,no,yes,yes,yes,4,4,5
GP,17,U,teacher,1,3,no,yes,yes,yes,5,4,4
GP,17,U,teacher,2,3,no,no,yes,yes,4,3,3
GP,18,U,other,1,4,no,yes,yes,yes,4,5,5
GP,17,R,at_home,1,3,no,yes,yes,yes,4,4,3
GP,18,U,services,1,2,no,yes,yes,yes,5,3,4
GP,18,U,other,1,2,no,no,yes,yes,4,3,3
GP,18,R,at_home,2,4,no,yes,yes,no,4,4,4
GP,17,U,services,1,3,no,yes,yes,yes,4,4,5
GP,19,R,services,1,3,no,yes,yes,no,5,4,3
GP,17,U,other,1,2,no,yes,yes,yes,4,3,2
GP,18,U,services,1,4,no,yes,yes,yes,5,3,3
GP,17,R,other,1,2,no,yes,yes,yes,4,3,3
GP,19,U,services,1,3,no,yes,yes,yes,4,3,4
GP,18,U,teacher,1,2,no,yes,yes,yes,4,3,3
GP,18,U,services,1,2,no,yes,yes,yes,4,3,3
GP,17,U,at_home,1,2,no,yes,yes,yes,3,3,1
GP,18,U,at_home,1,3,no,yes,yes,yes,4,3,3
GP,18,U,other,1,3,no,yes,yes,yes,5,4,3
GP,18,R,teacher,1,3,no,yes,yes,yes,5,3,2
GP,18,U,teacher,1,3,no,yes,yes,yes,5,4,5
GP,17,U,health,1,3,no,yes,yes,yes,4,4,3
MS,18,R,other,2,1,no,no,yes,yes,2,5,5
MS,19,R,other,3,2,no,yes,yes,yes,5,4,4
MS,17,U,health,2,2,no,yes,yes,yes,4,5,4
MS,18,U,at_home,1,1,no,yes,no,yes,4,3,3
MS,19,R,other,3,1,no,yes,yes,yes,4,4,4
MS,17,R,services,2,2,no,no,yes,yes,4,5,5
MS,18,U,services,1,2,no,yes,yes,no,5,3,4
MS,17,R,teacher,2,2,no,yes,yes,yes,4,3,3
MS,17,U,services,2,2,no,yes,yes,no,1,2,3
MS,18,U,other,2,1,no,no,yes,yes,3,3,2
MS,18,U,at_home,2,3,no,yes,yes,yes,5,3,2
MS,18,R,at_home,3,2,no,yes,yes,no,4,3,4
MS,18,R,at_home,2,2,no,no,no,no,4,4,3
MS,18,U,services,2,2,no,yes,yes,yes,4,3,2
MS,17,U,at_home,1,2,no,yes,yes,yes,2,3,4
MS,17,R,other,2,2,no,no,yes,no,3,2,2
MS,18,R,at_home,2,2,no,yes,yes,no,3,3,4
MS,18,U,teacher,2,3,no,yes,yes,yes,4,2,2
MS,17,R,other,3,1,no,yes,yes,yes,5,2,1
MS,18,U,at_home,2,1,no,yes,yes,yes,5,2,3
MS,18,R,other,3,2,no,no,yes,yes,3,2,2
MS,19,U,services,2,2,no,yes,yes,no,3,2,2
MS,18,R,at_home,3,1,no,yes,no,yes,4,3,3
MS,17,U,other,1,3,no,yes,yes,no,3,4,3
MS,17,R,other,1,1,no,yes,yes,yes,3,5,5
MS,18,R,other,2,3,no,yes,yes,yes,5,4,4
MS,18,R,other,4,3,no,yes,yes,yes,4,3,2
MS,20,U,health,2,3,no,no,yes,yes,5,4,3
MS,18,R,teacher,1,2,no,yes,yes,yes,5,4,3
MS,18,U,other,1,2,no,yes,yes,yes,4,1,3
MS,17,R,at_home,1,2,no,no,yes,yes,4,5,4
MS,18,U,teacher,1,2,no,no,yes,yes,3,2,4
MS,18,R,other,2,1,no,no,yes,yes,4,4,3
MS,17,U,other,2,2,no,yes,yes,yes,4,4,3
MS,19,R,other,2,1,no,yes,yes,no,4,3,2
MS,18,R,other,2,1,no,yes,yes,no,5,4,3
MS,18,R,at_home,2,3,no,yes,yes,no,5,3,3
MS,18,R,teacher,3,1,no,yes,yes,yes,4,4,3
MS,19,R,services,1,3,no,no,yes,yes,5,4,2
MS,18,U,teacher,1,2,no,yes,yes,yes,4,3,4
MS,18,U,other,2,2,no,yes,yes,no,1,1,1
MS,20,U,services,1,2,no,yes,yes,no,5,5,4
MS,17,U,services,2,1,no,no,yes,yes,2,4,5
MS,21,R,other,1,1,no,no,yes,no,5,5,3
MS,18,R,services,3,1,no,no,yes,yes,4,4,1
MS,19,U,other,1,1,no,yes,yes,yes,3,2,3
