A,E,F,G,H,I,L,O,R,T,Z
MS,GT3,T,2,2,other,mother,0,no,yes,3
MS,GT3,T,1,2,other,mother,0,no,yes,5
MS,LE3,T,4,4,other,mother,0,no,yes,4
MS,GT3,T,1,1,other,mother,0,no,yes,2
MS,GT3,T,4,2,health,other,2,yes,no,3
MS,LE3,T,4,4,teacher,mother,0,yes,yes,3
MS,GT3,T,3,3,other,mother,0,yes,yes,3
MS,GT3,T,3,1,at_home,mother,0,yes,no,4
MS,GT3,T,4,4,teacher,father,0,yes,no,4
MS,GT3,T,2,1,other,mother,0,no,no,3
MS,GT3,T,2,3,other,father,0,no,yes,3
MS,GT3,T,1,1,other,mother,1,no,yes,2
MS,GT3,T,4,2,other,father,1,yes,yes,3
MS,GT3,T,2,2,at_home,mother,0,yes,yes,3
MS,GT3,T,4,4,teacher,mother,0,yes,yes,3
MS,GT3,T,2,3,services,mother,1,no,no,2
MS,LE3,T,3,1,teacher,mother,0,yes,yes,4
MS,GT3,T,1,1,other,mother,1,no,yes,1
MS,LE3,A,2,2,services,other,2,yes,yes,4
MS,LE3,T,3,1,services,mother,0,no,no,5
MS,GT3,T,1,1,other,other,3,no,no,3
MS,LE3,T,3,2,services,mother,0,no,no,1
MS,LE3,T,1,1,other,father,0,no,yes,3
