F,H,I,J,K,N
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Wife,White,Female,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,noValueSetHere123156456
Divorced,Not-in-family,Asian-Pac-Islander,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Widowed,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Germany
Never-married,Not-in-family,White,Female,0,Canada
Never-married,Not-in-family,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Female,0,United-States
Never-married,Own-child,Black,Female,0,Dominican-Republic
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Female,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Taiwan
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Other,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,1055,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Separated,Unmarried,White,Female,914,United-States
Widowed,Other-relative,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3411,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Divorced,Own-child,Amer-Indian-Eskimo,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,Jamaica
Separated,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Separated,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,noValueSetHere123156456
Widowed,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,Peru
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,Black,Female,0,Haiti
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3464,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Divorced,Not-in-family,White,Female,3325,United-States
Married-civ-spouse,Husband,White,Male,9386,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,Asian-Pac-Islander,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,Guatemala
Divorced,Unmarried,Amer-Indian-Eskimo,Male,0,United-States
Divorced,Unmarried,White,Female,14084,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,10605,United-States
Never-married,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Separated,Own-child,Other,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,noValueSetHere123156456
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,594,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Iran
Married-civ-spouse,Husband,White,Male,15024,United-States
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Male,4934,United-States
Married-civ-spouse,Wife,White,Female,7688,noValueSetHere123156456
Separated,Not-in-family,Black,Male,0,United-States
Divorced,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3103,United-States
Separated,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Other-relative,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Own-child,Black,Female,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Italy
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,Puerto-Rico
Widowed,Not-in-family,White,Male,18481,United-States
Divorced,Not-in-family,White,Female,8614,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3103,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,1055,United-States
Married-civ-spouse,Husband,White,Male,3464,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,Mexico
Never-married,Not-in-family,White,Male,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,4650,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Unmarried,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-spouse-absent,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,Columbia
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,Cuba
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,England
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,El-Salvador
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Amer-Indian-Eskimo,Male,0,Puerto-Rico
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Never-married,Own-child,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,Other,Female,0,Mexico
Married-civ-spouse,Wife,White,Female,2936,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,Philippines
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Male,0,Taiwan
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Vietnam
Widowed,Unmarried,Black,Female,0,United-States
Divorced,Own-child,White,Male,0,Puerto-Rico
Never-married,Not-in-family,White,Male,0,United-States
Widowed,Unmarried,Amer-Indian-Eskimo,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,Vietnam
Separated,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Other,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Philippines
Never-married,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Vietnam
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,13550,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,13550,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Philippines
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,Amer-Indian-Eskimo,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,6497,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Other-relative,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,Italy
Married-civ-spouse,Wife,White,Female,4386,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,7688,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,Guatemala
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Other-relative,White,Female,0,Holand-Netherlands
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,Philippines
Never-married,Own-child,Asian-Pac-Islander,Male,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-spouse-absent,Not-in-family,Black,Female,0,Puerto-Rico
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,Nicaragua
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Other-relative,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,Black,Male,0,England
Divorced,Own-child,Asian-Pac-Islander,Female,0,South
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,2407,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Unmarried,White,Female,0,Germany
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,noValueSetHere123156456
Divorced,Unmarried,White,Female,0,United-States
Never-married,Unmarried,Black,Male,0,Haiti
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Unmarried,White,Female,0,Cuba
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,3103,United-States
