B,F,G,H,J,K,L,O
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,3325,0,<=50K
Local-gov,Never-married,Protective-serv,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Craft-repair,Husband,Male,4064,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Married-spouse-absent,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Separated,Sales,Not-in-family,Female,0,0,<=50K
Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Married-spouse-absent,Craft-repair,Unmarried,Female,1506,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,1902,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Never-married,Protective-serv,Own-child,Male,0,0,<=50K
Private,Divorced,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Local-gov,Separated,Prof-specialty,Unmarried,Male,0,0,<=50K
Private,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Self-emp-inc,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Never-married,Sales,Other-relative,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Adm-clerical,Not-in-family,Male,0,1762,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Own-child,Female,0,0,>50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Widowed,Craft-repair,Own-child,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Divorced,Exec-managerial,Not-in-family,Female,0,0,>50K
Private,Married-civ-spouse,Handlers-cleaners,Wife,Female,3908,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Divorced,Sales,Own-child,Female,594,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Widowed,Prof-specialty,Unmarried,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,>50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,>50K
Private,Widowed,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
State-gov,Separated,Tech-support,Not-in-family,Male,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Machine-op-inspct,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Female,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-spouse-absent,Priv-house-serv,Unmarried,Female,0,1594,<=50K
Private,Married-civ-spouse,Prof-specialty,Own-child,Male,0,0,>50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Separated,Farming-fishing,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Federal-gov,Divorced,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,3137,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Other-relative,Male,3411,0,<=50K
Federal-gov,Never-married,Craft-repair,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Federal-gov,Divorced,Machine-op-inspct,Unmarried,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Craft-repair,Other-relative,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,>50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,1977,>50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Federal-gov,Widowed,Adm-clerical,Not-in-family,Male,0,0,>50K
Private,Divorced,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,>50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
State-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,>50K
Private,Never-married,Farming-fishing,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Local-gov,Widowed,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Separated,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,1719,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,>50K
Private,Divorced,Tech-support,Unmarried,Male,7430,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,4386,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,15024,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,1797,0,<=50K
Self-emp-not-inc,Widowed,Adm-clerical,Unmarried,Female,99999,0,>50K
Private,Divorced,Other-service,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Widowed,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Other-relative,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,>50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Never-married,Priv-house-serv,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Local-gov,Divorced,Protective-serv,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,6849,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Local-gov,Divorced,Craft-repair,Own-child,Female,0,0,<=50K
noValueSetHere123156456,Widowed,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,>50K
Private,Divorced,Exec-managerial,Other-relative,Female,1848,0,<=50K
Self-emp-inc,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,>50K
Private,Separated,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,20051,0,>50K
Self-emp-not-inc,Widowed,Craft-repair,Not-in-family,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Separated,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Local-gov,Never-married,Protective-serv,Not-in-family,Male,4650,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,>50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,>50K
Private,Separated,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Sales,Unmarried,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Divorced,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,7298,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Tech-support,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Farming-fishing,Not-in-family,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,1173,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Other-relative,Female,3137,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Craft-repair,Own-child,Female,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,3781,0,<=50K
Private,Widowed,Craft-repair,Unmarried,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
State-gov,Widowed,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,>50K
Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
Private,Never-married,Tech-support,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Self-emp-inc,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Local-gov,Separated,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,1876,<=50K
State-gov,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Divorced,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Wife,Female,0,0,<=50K
noValueSetHere123156456,Widowed,noValueSetHere123156456,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Wife,Female,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Widowed,Other-service,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-AF-spouse,Other-service,Other-relative,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Divorced,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Other-relative,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,6514,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Craft-repair,Not-in-family,Male,0,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Separated,Prof-specialty,Unmarried,Male,0,0,<=50K
State-gov,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,>50K
Private,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,3137,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Other-relative,Male,0,0,<=50K
State-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Wife,Female,7298,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,1651,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Farming-fishing,Wife,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Prof-specialty,Not-in-family,Male,0,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Other-relative,Male,0,0,<=50K
Local-gov,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Never-married,Priv-house-serv,Not-in-family,Female,0,0,<=50K
State-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Priv-house-serv,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,>50K
State-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Widowed,Priv-house-serv,Unmarried,Female,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Local-gov,Never-married,Prof-specialty,Unmarried,Female,0,0,<=50K
Local-gov,Never-married,Exec-managerial,Other-relative,Female,15831,0,>50K
Local-gov,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Local-gov,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,>50K
Private,Married-civ-spouse,Sales,Other-relative,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Other-relative,Female,2907,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,5556,0,>50K
Self-emp-not-inc,Married-civ-spouse,Other-service,Wife,Female,2635,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,5178,0,>50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
Federal-gov,Widowed,Exec-managerial,Not-in-family,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Wife,Female,0,1902,>50K
Private,Widowed,Adm-clerical,Unmarried,Female,0,0,<=50K
State-gov,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
State-gov,Never-married,Machine-op-inspct,Own-child,Female,0,0,<=50K
Local-gov,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Local-gov,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Other-relative,Female,0,0,<=50K
