HRBP,VENTMACH,VENTTUBE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,ZERO,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,HIGH,LOW,HIGH,LOW,NORMAL,False,HIGH,NORMAL
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,HIGH,False,ZERO,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,LOW,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,ZERO,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
LOW,LOW,ZERO,NORMAL,LOW,HIGH,LOW,NORMAL,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,NORMAL,LOW,LOW,LOW,False,LOW,NORMAL
HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,ESOPHAGEAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,LOW,HIGH
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,LOW,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,ESOPHAGEAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,ZERO,ZERO,ONESIDED,LOW,NORMAL,LOW,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,LOW,LOW,HIGH,HIGH,False,LOW,NORMAL
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,False,LOW,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,True,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,ZERO,ZERO,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,LOW,False,ZERO,HIGH
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,ZERO,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,ZERO,LOW,NORMAL,LOW,LOW,LOW,False,LOW,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,ONESIDED,LOW,LOW,NORMAL,NORMAL,LOW,LOW,False,NORMAL,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,ZERO,ZERO,ESOPHAGEAL,ZERO,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,ZERO,NORMAL,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,LOW,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,LOW,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
