meldug_1,meldug_2,lai_1
2___6__,2___6__,4_5___5_5
0_5___1__,0_00___0_01__,5_5___6_5
6___10__,1___2__,3_5___4_5
1___2__,0_00___0_01__,___6_5
0_00___0_01__,0_00___0_01__,___6_5
10___25__,1___2__,3_5___4_5
0_00___0_01__,0_00___0_01__,3_5___4_5
6___10__,0_01___0_5__,4_5___5_5
6___10__,0_5___1__,5_5___6_5
10___25__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_00___0_01__,2_5___3_5
10___25__,1___2__,4_5___5_5
6___10__,1___2__,5_5___6_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,5_5___6_5
50___100__,6___10__,1_5___2_5
6___10__,0_5___1__,5_5___6_5
50___100__,50___100__,0_5___1_5
1___2__,0_5___1__,___6_5
0_01___0_5__,0_5___1__,2_5___3_5
0_5___1__,0_00___0_01__,3_5___4_5
6___10__,0_5___1__,3_5___4_5
0_5___1__,0_00___0_01__,2_5___3_5
1___2__,0_00___0_01__,3_5___4_5
6___10__,0_00___0_01__,3_5___4_5
10___25__,25___50__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_00___0_01__,4_5___5_5
0_5___1__,1___2__,2_5___3_5
50___100__,6___10__,1_5___2_5
2___6__,0_00___0_01__,5_5___6_5
2___6__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,5_5___6_5
25___50__,50___100__,3_5___4_5
0_01___0_5__,0_00___0_01__,___6_5
10___25__,2___6__,2_5___3_5
25___50__,2___6__,4_5___5_5
2___6__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,4_5___5_5
50___100__,1___2__,0_5___1_5
0_00___0_01__,0_00___0_01__,5_5___6_5
2___6__,6___10__,5_5___6_5
50___100__,10___25__,0_0___0_5
25___50__,10___25__,3_5___4_5
10___25__,1___2__,1_5___2_5
50___100__,2___6__,0_5___1_5
50___100__,25___50__,1_5___2_5
0_01___0_5__,0_00___0_01__,2_5___3_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_5___1__,6___10__,5_5___6_5
10___25__,0_5___1__,3_5___4_5
25___50__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,___6_5
2___6__,2___6__,4_5___5_5
6___10__,0_01___0_5__,5_5___6_5
0_00___0_01__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,4_5___5_5
10___25__,0_5___1__,4_5___5_5
6___10__,0_00___0_01__,___6_5
25___50__,1___2__,2_5___3_5
50___100__,0_01___0_5__,2_5___3_5
50___100__,50___100__,0_5___1_5
0_01___0_5__,0_00___0_01__,2_5___3_5
0_00___0_01__,0_00___0_01__,5_5___6_5
50___100__,1___2__,0_5___1_5
1___2__,0_00___0_01__,4_5___5_5
0_5___1__,2___6__,3_5___4_5
50___100__,25___50__,0_0___0_5
1___2__,0_00___0_01__,3_5___4_5
0_5___1__,0_00___0_01__,5_5___6_5
6___10__,0_01___0_5__,4_5___5_5
25___50__,0_00___0_01__,3_5___4_5
25___50__,0_5___1__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,5_5___6_5
1___2__,2___6__,5_5___6_5
25___50__,0_5___1__,1_5___2_5
10___25__,0_5___1__,2_5___3_5
50___100__,1___2__,0_0___0_5
25___50__,50___100__,3_5___4_5
1___2__,0_00___0_01__,3_5___4_5
1___2__,10___25__,5_5___6_5
0_5___1__,0_00___0_01__,3_5___4_5
25___50__,1___2__,3_5___4_5
0_00___0_01__,0_00___0_01__,2_5___3_5
6___10__,2___6__,5_5___6_5
50___100__,1___2__,0_5___1_5
10___25__,2___6__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
50___100__,0_5___1__,0_5___1_5
0_01___0_5__,0_00___0_01__,3_5___4_5
50___100__,2___6__,1_5___2_5
25___50__,0_00___0_01__,3_5___4_5
50___100__,25___50__,1_5___2_5
0_5___1__,6___10__,5_5___6_5
0_00___0_01__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,5_5___6_5
0_5___1__,0_00___0_01__,5_5___6_5
50___100__,6___10__,1_5___2_5
6___10__,1___2__,2_5___3_5
2___6__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_01___0_5__,2_5___3_5
50___100__,10___25__,0_5___1_5
10___25__,0_01___0_5__,2_5___3_5
25___50__,6___10__,1_5___2_5
0_01___0_5__,0_00___0_01__,3_5___4_5
0_5___1__,0_00___0_01__,4_5___5_5
2___6__,2___6__,4_5___5_5
0_01___0_5__,0_00___0_01__,3_5___4_5
0_01___0_5__,0_00___0_01__,4_5___5_5
6___10__,0_5___1__,4_5___5_5
0_01___0_5__,0_5___1__,5_5___6_5
0_01___0_5__,0_00___0_01__,___6_5
0_01___0_5__,0_00___0_01__,5_5___6_5
25___50__,0_01___0_5__,4_5___5_5
10___25__,0_00___0_01__,2_5___3_5
1___2__,6___10__,5_5___6_5
0_5___1__,0_00___0_01__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
6___10__,0_01___0_5__,2_5___3_5
25___50__,50___100__,1_5___2_5
50___100__,25___50__,0_5___1_5
25___50__,1___2__,2_5___3_5
0_01___0_5__,0_00___0_01__,3_5___4_5
10___25__,1___2__,3_5___4_5
0_00___0_01__,0_00___0_01__,5_5___6_5
6___10__,0_00___0_01__,3_5___4_5
2___6__,2___6__,5_5___6_5
50___100__,1___2__,2_5___3_5
6___10__,0_01___0_5__,4_5___5_5
0_00___0_01__,0_00___0_01__,2_5___3_5
2___6__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,___6_5
0_01___0_5__,0_00___0_01__,3_5___4_5
0_5___1__,0_01___0_5__,5_5___6_5
0_5___1__,2___6__,3_5___4_5
10___25__,0_01___0_5__,1_5___2_5
25___50__,2___6__,2_5___3_5
1___2__,0_00___0_01__,3_5___4_5
25___50__,6___10__,2_5___3_5
1___2__,0_01___0_5__,5_5___6_5
25___50__,0_5___1__,2_5___3_5
2___6__,0_00___0_01__,5_5___6_5
2___6__,6___10__,3_5___4_5
0_00___0_01__,0_00___0_01__,4_5___5_5
50___100__,50___100__,0_0___0_5
0_5___1__,0_00___0_01__,___6_5
0_5___1__,2___6__,5_5___6_5
25___50__,0_00___0_01__,2_5___3_5
0_01___0_5__,2___6__,3_5___4_5
0_5___1__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,4_5___5_5
1___2__,0_01___0_5__,5_5___6_5
2___6__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,5_5___6_5
50___100__,50___100__,1_5___2_5
25___50__,0_01___0_5__,3_5___4_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,2_5___3_5
6___10__,2___6__,3_5___4_5
50___100__,6___10__,1_5___2_5
10___25__,0_5___1__,5_5___6_5
0_5___1__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,5_5___6_5
2___6__,0_00___0_01__,4_5___5_5
25___50__,1___2__,3_5___4_5
10___25__,0_01___0_5__,4_5___5_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,5_5___6_5
2___6__,0_5___1__,4_5___5_5
0_00___0_01__,0_00___0_01__,___6_5
10___25__,1___2__,2_5___3_5
10___25__,50___100__,3_5___4_5
0_5___1__,0_5___1__,3_5___4_5
0_01___0_5__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,5_5___6_5
1___2__,0_5___1__,3_5___4_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,5_5___6_5
10___25__,0_5___1__,4_5___5_5
0_5___1__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,3_5___4_5
2___6__,2___6__,4_5___5_5
25___50__,25___50__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
25___50__,0_00___0_01__,1_5___2_5
2___6__,2___6__,4_5___5_5
6___10__,2___6__,4_5___5_5
0_00___0_01__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,4_5___5_5
1___2__,6___10__,3_5___4_5
10___25__,10___25__,5_5___6_5
25___50__,1___2__,2_5___3_5
25___50__,50___100__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
10___25__,0_01___0_5__,5_5___6_5
50___100__,10___25__,0_5___1_5
0_5___1__,2___6__,4_5___5_5
0_01___0_5__,0_00___0_01__,5_5___6_5
10___25__,1___2__,2_5___3_5
6___10__,6___10__,4_5___5_5
1___2__,0_00___0_01__,5_5___6_5
0_00___0_01__,0_00___0_01__,___6_5
0_00___0_01__,0_00___0_01__,3_5___4_5
10___25__,25___50__,3_5___4_5
6___10__,1___2__,4_5___5_5
25___50__,50___100__,2_5___3_5
0_00___0_01__,0_00___0_01__,3_5___4_5
6___10__,1___2__,4_5___5_5
25___50__,0_01___0_5__,3_5___4_5
0_00___0_01__,0_00___0_01__,4_5___5_5
6___10__,2___6__,3_5___4_5
2___6__,2___6__,5_5___6_5
6___10__,0_01___0_5__,4_5___5_5
25___50__,10___25__,2_5___3_5
0_00___0_01__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,3_5___4_5
10___25__,0_00___0_01__,3_5___4_5
0_00___0_01__,0_00___0_01__,3_5___4_5
25___50__,2___6__,1_5___2_5
0_01___0_5__,0_00___0_01__,5_5___6_5
25___50__,0_5___1__,3_5___4_5
0_01___0_5__,2___6__,4_5___5_5
1___2__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
10___25__,6___10__,3_5___4_5
50___100__,10___25__,0_0___0_5
2___6__,6___10__,5_5___6_5
2___6__,0_01___0_5__,2_5___3_5
1___2__,10___25__,4_5___5_5
1___2__,25___50__,5_5___6_5
0_00___0_01__,0_00___0_01__,___6_5
1___2__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,3_5___4_5
50___100__,50___100__,0_5___1_5
0_00___0_01__,0_00___0_01__,___6_5
50___100__,10___25__,0_0___0_5
0_01___0_5__,2___6__,2_5___3_5
50___100__,50___100__,0_0___0_5
2___6__,0_01___0_5__,4_5___5_5
10___25__,10___25__,5_5___6_5
6___10__,0_01___0_5__,2_5___3_5
0_00___0_01__,0_00___0_01__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,___6_5
2___6__,6___10__,3_5___4_5
25___50__,1___2__,1_5___2_5
0_00___0_01__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_00___0_01__,___6_5
1___2__,0_00___0_01__,5_5___6_5
6___10__,25___50__,3_5___4_5
0_00___0_01__,0_00___0_01__,5_5___6_5
25___50__,1___2__,4_5___5_5
25___50__,0_01___0_5__,2_5___3_5
0_01___0_5__,0_00___0_01__,___6_5
10___25__,0_00___0_01__,3_5___4_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,3_5___4_5
6___10__,0_00___0_01__,2_5___3_5
0_01___0_5__,0_00___0_01__,2_5___3_5
0_00___0_01__,0_00___0_01__,3_5___4_5
6___10__,0_00___0_01__,3_5___4_5
10___25__,50___100__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
1___2__,0_5___1__,5_5___6_5
0_5___1__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,2_5___3_5
50___100__,25___50__,0_5___1_5
0_5___1__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,4_5___5_5
50___100__,0_5___1__,1_5___2_5
50___100__,0_01___0_5__,0_5___1_5
0_5___1__,0_01___0_5__,4_5___5_5
25___50__,50___100__,2_5___3_5
6___10__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,4_5___5_5
6___10__,0_00___0_01__,5_5___6_5
10___25__,25___50__,4_5___5_5
10___25__,0_5___1__,3_5___4_5
0_00___0_01__,0_00___0_01__,3_5___4_5
10___25__,10___25__,4_5___5_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,3_5___4_5
50___100__,2___6__,1_5___2_5
10___25__,0_5___1__,2_5___3_5
10___25__,6___10__,4_5___5_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_00___0_01__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,3_5___4_5
2___6__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,3_5___4_5
6___10__,0_00___0_01__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
50___100__,2___6__,0_0___0_5
0_5___1__,0_00___0_01__,5_5___6_5
2___6__,2___6__,4_5___5_5
25___50__,0_01___0_5__,3_5___4_5
1___2__,0_00___0_01__,5_5___6_5
1___2__,10___25__,5_5___6_5
25___50__,0_5___1__,3_5___4_5
6___10__,0_01___0_5__,5_5___6_5
0_5___1__,0_00___0_01__,3_5___4_5
2___6__,6___10__,3_5___4_5
1___2__,0_00___0_01__,___6_5
50___100__,50___100__,0_0___0_5
25___50__,1___2__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
0_5___1__,0_5___1__,5_5___6_5
0_01___0_5__,0_00___0_01__,___6_5
25___50__,50___100__,3_5___4_5
1___2__,0_01___0_5__,4_5___5_5
10___25__,10___25__,3_5___4_5
0_5___1__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,2_5___3_5
10___25__,1___2__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
0_01___0_5__,0_5___1__,5_5___6_5
25___50__,50___100__,4_5___5_5
0_5___1__,0_00___0_01__,5_5___6_5
25___50__,0_5___1__,2_5___3_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_00___0_01__,0_00___0_01__,4_5___5_5
6___10__,50___100__,3_5___4_5
2___6__,0_00___0_01__,2_5___3_5
50___100__,0_5___1__,1_5___2_5
1___2__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,2_5___3_5
0_01___0_5__,0_00___0_01__,5_5___6_5
10___25__,0_00___0_01__,5_5___6_5
25___50__,6___10__,1_5___2_5
25___50__,2___6__,0_5___1_5
1___2__,10___25__,2_5___3_5
0_5___1__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_01___0_5__,2_5___3_5
6___10__,6___10__,1_5___2_5
0_5___1__,0_00___0_01__,3_5___4_5
50___100__,50___100__,1_5___2_5
6___10__,2___6__,2_5___3_5
0_5___1__,0_01___0_5__,4_5___5_5
0_01___0_5__,0_00___0_01__,___6_5
6___10__,1___2__,3_5___4_5
50___100__,1___2__,2_5___3_5
0_00___0_01__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,2_5___3_5
25___50__,6___10__,2_5___3_5
6___10__,0_01___0_5__,1_5___2_5
0_00___0_01__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,2_5___3_5
0_5___1__,6___10__,5_5___6_5
0_01___0_5__,0_00___0_01__,5_5___6_5
6___10__,0_01___0_5__,1_5___2_5
2___6__,2___6__,2_5___3_5
6___10__,25___50__,5_5___6_5
1___2__,1___2__,2_5___3_5
0_00___0_01__,0_00___0_01__,___6_5
25___50__,1___2__,2_5___3_5
2___6__,1___2__,4_5___5_5
0_5___1__,0_00___0_01__,2_5___3_5
6___10__,0_00___0_01__,4_5___5_5
6___10__,0_01___0_5__,3_5___4_5
6___10__,25___50__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_01___0_5__,3_5___4_5
50___100__,25___50__,0_0___0_5
10___25__,1___2__,4_5___5_5
6___10__,0_00___0_01__,4_5___5_5
10___25__,0_01___0_5__,2_5___3_5
0_01___0_5__,0_00___0_01__,___6_5
10___25__,0_5___1__,1_5___2_5
6___10__,10___25__,5_5___6_5
0_5___1__,0_00___0_01__,4_5___5_5
25___50__,2___6__,1_5___2_5
6___10__,0_01___0_5__,4_5___5_5
2___6__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_00___0_01__,___6_5
2___6__,0_00___0_01__,4_5___5_5
0_01___0_5__,2___6__,4_5___5_5
25___50__,2___6__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
10___25__,0_00___0_01__,3_5___4_5
0_5___1__,0_00___0_01__,5_5___6_5
10___25__,0_01___0_5__,1_5___2_5
0_00___0_01__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,3_5___4_5
50___100__,50___100__,0_5___1_5
6___10__,0_00___0_01__,2_5___3_5
50___100__,0_5___1__,1_5___2_5
50___100__,10___25__,1_5___2_5
50___100__,2___6__,0_0___0_5
1___2__,1___2__,5_5___6_5
1___2__,2___6__,5_5___6_5
6___10__,0_5___1__,3_5___4_5
50___100__,50___100__,0_5___1_5
2___6__,0_01___0_5__,5_5___6_5
6___10__,25___50__,___6_5
50___100__,6___10__,0_0___0_5
1___2__,0_00___0_01__,3_5___4_5
10___25__,0_5___1__,4_5___5_5
10___25__,1___2__,5_5___6_5
50___100__,10___25__,2_5___3_5
0_00___0_01__,0_00___0_01__,3_5___4_5
10___25__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,5_5___6_5
50___100__,25___50__,1_5___2_5
50___100__,10___25__,0_5___1_5
25___50__,0_00___0_01__,2_5___3_5
0_00___0_01__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,5_5___6_5
6___10__,0_5___1__,3_5___4_5
0_5___1__,0_00___0_01__,___6_5
2___6__,0_00___0_01__,2_5___3_5
2___6__,2___6__,4_5___5_5
1___2__,0_01___0_5__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
0_00___0_01__,0_00___0_01__,2_5___3_5
0_01___0_5__,0_00___0_01__,5_5___6_5
2___6__,1___2__,___6_5
0_00___0_01__,0_00___0_01__,2_5___3_5
2___6__,0_00___0_01__,3_5___4_5
50___100__,1___2__,0_5___1_5
1___2__,6___10__,2_5___3_5
0_00___0_01__,0_00___0_01__,4_5___5_5
2___6__,1___2__,___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,5_5___6_5
6___10__,0_5___1__,___6_5
6___10__,10___25__,5_5___6_5
0_01___0_5__,0_00___0_01__,3_5___4_5
25___50__,1___2__,3_5___4_5
0_5___1__,0_00___0_01__,___6_5
1___2__,0_00___0_01__,___6_5
1___2__,0_01___0_5__,5_5___6_5
0_5___1__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,4_5___5_5
10___25__,1___2__,5_5___6_5
50___100__,1___2__,1_5___2_5
0_5___1__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_01___0_5__,3_5___4_5
10___25__,1___2__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
10___25__,0_01___0_5__,3_5___4_5
0_5___1__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,5_5___6_5
1___2__,25___50__,3_5___4_5
50___100__,50___100__,0_5___1_5
10___25__,0_01___0_5__,5_5___6_5
25___50__,0_5___1__,3_5___4_5
25___50__,0_01___0_5__,1_5___2_5
0_01___0_5__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,___6_5
0_00___0_01__,0_00___0_01__,___6_5
1___2__,0_00___0_01__,___6_5
2___6__,1___2__,3_5___4_5
25___50__,10___25__,0_5___1_5
25___50__,0_5___1__,3_5___4_5
1___2__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,4_5___5_5
50___100__,10___25__,0_5___1_5
0_5___1__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,4_5___5_5
50___100__,50___100__,0_0___0_5
0_01___0_5__,0_00___0_01__,3_5___4_5
50___100__,0_5___1__,0_0___0_5
0_5___1__,0_5___1__,3_5___4_5
1___2__,1___2__,4_5___5_5
50___100__,2___6__,2_5___3_5
0_5___1__,0_00___0_01__,3_5___4_5
25___50__,0_00___0_01__,1_5___2_5
50___100__,2___6__,2_5___3_5
0_00___0_01__,0_00___0_01__,5_5___6_5
1___2__,0_00___0_01__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
6___10__,50___100__,3_5___4_5
0_5___1__,0_00___0_01__,5_5___6_5
2___6__,10___25__,5_5___6_5
50___100__,2___6__,0_0___0_5
10___25__,0_5___1__,4_5___5_5
25___50__,2___6__,1_5___2_5
50___100__,1___2__,0_5___1_5
50___100__,0_01___0_5__,1_5___2_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_5___1__,0_5___1__,___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,___6_5
10___25__,0_5___1__,3_5___4_5
0_00___0_01__,0_00___0_01__,5_5___6_5
6___10__,1___2__,4_5___5_5
25___50__,0_01___0_5__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
2___6__,1___2__,___6_5
10___25__,0_01___0_5__,5_5___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
2___6__,2___6__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
6___10__,1___2__,4_5___5_5
50___100__,6___10__,0_5___1_5
50___100__,0_01___0_5__,2_5___3_5
2___6__,0_00___0_01__,2_5___3_5
1___2__,1___2__,4_5___5_5
50___100__,6___10__,0_5___1_5
1___2__,25___50__,2_5___3_5
1___2__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,4_5___5_5
25___50__,1___2__,2_5___3_5
2___6__,0_5___1__,4_5___5_5
1___2__,0_00___0_01__,4_5___5_5
2___6__,0_00___0_01__,2_5___3_5
0_01___0_5__,0_00___0_01__,3_5___4_5
0_01___0_5__,0_01___0_5__,2_5___3_5
0_5___1__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_5___1__,5_5___6_5
0_00___0_01__,0_00___0_01__,4_5___5_5
6___10__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,1_5___2_5
0_5___1__,0_00___0_01__,___6_5
25___50__,0_5___1__,4_5___5_5
50___100__,50___100__,0_0___0_5
0_01___0_5__,0_00___0_01__,3_5___4_5
25___50__,6___10__,2_5___3_5
0_00___0_01__,0_00___0_01__,3_5___4_5
50___100__,2___6__,1_5___2_5
2___6__,0_00___0_01__,3_5___4_5
2___6__,0_00___0_01__,2_5___3_5
0_00___0_01__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,2_5___3_5
0_01___0_5__,0_00___0_01__,4_5___5_5
0_00___0_01__,0_00___0_01__,___6_5
0_01___0_5__,0_00___0_01__,2_5___3_5
25___50__,0_01___0_5__,1_5___2_5
25___50__,0_5___1__,2_5___3_5
0_00___0_01__,0_00___0_01__,1_5___2_5
50___100__,2___6__,0_5___1_5
0_00___0_01__,0_00___0_01__,___6_5
2___6__,0_00___0_01__,4_5___5_5
50___100__,50___100__,0_0___0_5
2___6__,0_00___0_01__,5_5___6_5
1___2__,0_01___0_5__,3_5___4_5
0_01___0_5__,1___2__,3_5___4_5
0_5___1__,0_01___0_5__,4_5___5_5
10___25__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,3_5___4_5
1___2__,0_00___0_01__,4_5___5_5
6___10__,0_00___0_01__,4_5___5_5
1___2__,6___10__,2_5___3_5
6___10__,0_01___0_5__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
2___6__,0_00___0_01__,4_5___5_5
25___50__,6___10__,1_5___2_5
0_01___0_5__,0_00___0_01__,5_5___6_5
6___10__,25___50__,4_5___5_5
0_01___0_5__,0_00___0_01__,___6_5
0_5___1__,0_00___0_01__,___6_5
10___25__,6___10__,2_5___3_5
6___10__,0_00___0_01__,4_5___5_5
2___6__,25___50__,2_5___3_5
0_5___1__,0_00___0_01__,4_5___5_5
1___2__,0_5___1__,5_5___6_5
10___25__,0_00___0_01__,2_5___3_5
0_5___1__,0_00___0_01__,4_5___5_5
0_5___1__,0_00___0_01__,4_5___5_5
0_01___0_5__,0_00___0_01__,3_5___4_5
10___25__,6___10__,2_5___3_5
50___100__,1___2__,2_5___3_5
50___100__,1___2__,0_5___1_5
50___100__,6___10__,0_5___1_5
2___6__,0_00___0_01__,5_5___6_5
6___10__,0_00___0_01__,1_5___2_5
1___2__,0_01___0_5__,4_5___5_5
0_5___1__,0_00___0_01__,4_5___5_5
10___25__,6___10__,5_5___6_5
1___2__,0_00___0_01__,___6_5
50___100__,0_5___1__,1_5___2_5
1___2__,25___50__,___6_5
1___2__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,4_5___5_5
10___25__,0_00___0_01__,3_5___4_5
0_5___1__,0_00___0_01__,5_5___6_5
25___50__,2___6__,2_5___3_5
0_00___0_01__,0_00___0_01__,5_5___6_5
2___6__,0_00___0_01__,3_5___4_5
25___50__,50___100__,2_5___3_5
50___100__,2___6__,1_5___2_5
50___100__,25___50__,1_5___2_5
2___6__,1___2__,4_5___5_5
10___25__,6___10__,4_5___5_5
0_01___0_5__,0_00___0_01__,3_5___4_5
10___25__,0_00___0_01__,4_5___5_5
50___100__,2___6__,0_0___0_5
25___50__,1___2__,3_5___4_5
25___50__,50___100__,4_5___5_5
6___10__,0_5___1__,2_5___3_5
6___10__,0_00___0_01__,3_5___4_5
50___100__,1___2__,1_5___2_5
0_5___1__,0_00___0_01__,5_5___6_5
0_00___0_01__,0_00___0_01__,3_5___4_5
2___6__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,2_5___3_5
25___50__,10___25__,4_5___5_5
50___100__,2___6__,0_5___1_5
0_5___1__,6___10__,4_5___5_5
2___6__,6___10__,5_5___6_5
0_01___0_5__,0_00___0_01__,___6_5
10___25__,0_01___0_5__,3_5___4_5
50___100__,2___6__,0_5___1_5
1___2__,1___2__,2_5___3_5
0_00___0_01__,0_00___0_01__,3_5___4_5
2___6__,6___10__,3_5___4_5
0_5___1__,2___6__,4_5___5_5
0_00___0_01__,0_00___0_01__,4_5___5_5
1___2__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,4_5___5_5
50___100__,2___6__,0_5___1_5
6___10__,0_5___1__,5_5___6_5
0_00___0_01__,0_00___0_01__,5_5___6_5
0_01___0_5__,0_00___0_01__,2_5___3_5
25___50__,0_5___1__,4_5___5_5
0_00___0_01__,0_00___0_01__,3_5___4_5
0_5___1__,0_00___0_01__,4_5___5_5
10___25__,0_01___0_5__,3_5___4_5
50___100__,2___6__,1_5___2_5
10___25__,0_00___0_01__,4_5___5_5
50___100__,2___6__,0_5___1_5
0_01___0_5__,0_00___0_01__,3_5___4_5
1___2__,6___10__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
6___10__,2___6__,2_5___3_5
1___2__,6___10__,___6_5
50___100__,6___10__,0_5___1_5
50___100__,50___100__,0_5___1_5
10___25__,2___6__,2_5___3_5
2___6__,25___50__,5_5___6_5
10___25__,25___50__,3_5___4_5
25___50__,0_01___0_5__,3_5___4_5
10___25__,0_00___0_01__,4_5___5_5
25___50__,0_5___1__,3_5___4_5
0_01___0_5__,0_00___0_01__,5_5___6_5
25___50__,50___100__,2_5___3_5
