HRBP,VENTMACH,VENTTUBE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,VENTLUNG,ARTCO2,HR,FIO2,SAO2,PRESS,HYPOVOLEMIA,CATECHOL,DISCONNECT
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False,NORMAL,False
LOW,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
NORMAL,LOW,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,LOW,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,False
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,ZERO,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,LOW,NORMAL,NORMAL,LOW,LOW,False,HIGH,False
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True
LOW,NORMAL,LOW,NORMAL,LOW,HIGH,LOW,HIGH,LOW,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,HIGH,HIGH,True,NORMAL,False
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,LOW,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,LOW,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,ZERO,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,LOW,HIGH,False,NORMAL,False
LOW,LOW,ZERO,NORMAL,LOW,HIGH,LOW,NORMAL,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,True,HIGH,False
LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,NORMAL,LOW,LOW,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,NORMAL,HIGH,LOW,False,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,LOW,False,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,ZERO,ESOPHAGEAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,ZERO,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,LOW,ZERO,ZERO,HIGH,LOW,NORMAL,LOW,NORMAL,True,HIGH,False
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,LOW,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,HIGH,True
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,LOW,ZERO,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,LOW,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,LOW,NORMAL,ZERO,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,False
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,False
HIGH,ZERO,ZERO,ONESIDED,LOW,NORMAL,LOW,NORMAL,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,LOW,LOW,HIGH,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True,HIGH,True
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,False
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,False
LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,True,HIGH,False
HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,LOW,False,HIGH,False
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,True,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,NORMAL,HIGH,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,True,HIGH,False
LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False,HIGH,False
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,False
