HRBP,VENTMACH,VENTTUBE,PULMEMBOLUS,INSUFFANESTH,LVFAILURE,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,TPR,VENTLUNG,ARTCO2,HR,SAO2,CATECHOL,DISCONNECT
NORMAL,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,HIGH,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,NORMAL,False,False,False,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,LOW,NORMAL,True
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,True,LOW,LOW,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,True,HIGH,LOW,ZERO,LOW,LOW,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,True,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,NORMAL,False,False,False,LOW,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,False,HIGH,LOW,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,LOW,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,LOW,NORMAL,NORMAL,LOW,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,ZERO,ZERO,False,False,False,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,False
NORMAL,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,NORMAL,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,HIGH,NORMAL,HIGH,ZERO,NORMAL,NORMAL,LOW,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,HIGH,HIGH,False,True,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,True
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,True,False,LOW,HIGH,HIGH,HIGH,HIGH,ZERO,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,NORMAL,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,HIGH,HIGH,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,False
LOW,NORMAL,LOW,False,True,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,True,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
NORMAL,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,HIGH,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,LOW,ZERO,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,ZERO,False,False,False,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,True
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,True,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,True,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,True
