HRBP,INTUBATION,EXPCO2,PVSAT,PAP,MINVOL,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2,SAO2,PRESS,HYPOVOLEMIA
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,ONESIDED,LOW,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,HIGH,LOW,LOW,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,HIGH,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,True
LOW,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,True
LOW,NORMAL,LOW,NORMAL,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,HIGH,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,ONESIDED,NORMAL,LOW,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,HIGH,NORMAL,ZERO,False,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,False
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,HIGH,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,ZERO,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,HIGH,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,ESOPHAGEAL,HIGH,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,True,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,ONESIDED,NORMAL,LOW,NORMAL,LOW,False,LOW,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,ZERO,False
HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,ONESIDED,LOW,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,LOW,False
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,True
LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,NORMAL,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,True,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,HIGH,LOW,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,HIGH,NORMAL,ZERO,False,HIGH,NORMAL,ZERO,LOW,HIGH,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
LOW,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,ZERO,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,True
NORMAL,ONESIDED,LOW,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,True
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,ONESIDED,LOW,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,ESOPHAGEAL,ZERO,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,NORMAL,LOW,NORMAL,HIGH,False,LOW,NORMAL,LOW,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,ONESIDED,NORMAL,LOW,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,ZERO,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,LOW,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False
