RUQO2,HypoxiaInO2
<5,Severe
12+,Severe
12+,Mild
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
12+,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
12+,Mild
12+,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Mild
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
12+,Mild
12+,Mild
5-12,Severe
5-12,Severe
5-12,Moderate
<5,Severe
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
12+,Moderate
<5,Severe
<5,Severe
5-12,Severe
5-12,Mild
5-12,Moderate
12+,Mild
<5,Mild
<5,Severe
5-12,Moderate
<5,Moderate
<5,Severe
12+,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
12+,Moderate
5-12,Severe
5-12,Moderate
5-12,Mild
<5,Severe
5-12,Moderate
5-12,Severe
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Moderate
5-12,Severe
12+,Severe
<5,Moderate
<5,Severe
5-12,Mild
<5,Severe
<5,Moderate
<5,Moderate
12+,Moderate
12+,Moderate
<5,Severe
<5,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Mild
5-12,Severe
5-12,Moderate
12+,Mild
12+,Severe
5-12,Severe
5-12,Moderate
12+,Moderate
<5,Moderate
5-12,Severe
<5,Severe
<5,Severe
12+,Mild
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
12+,Mild
<5,Severe
<5,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
<5,Severe
5-12,Mild
<5,Severe
5-12,Severe
<5,Moderate
5-12,Severe
12+,Mild
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
<5,Mild
<5,Severe
12+,Mild
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Mild
12+,Moderate
<5,Moderate
<5,Moderate
<5,Severe
5-12,Severe
12+,Severe
5-12,Moderate
12+,Moderate
5-12,Severe
5-12,Severe
<5,Severe
12+,Moderate
12+,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
<5,Severe
5-12,Moderate
12+,Mild
12+,Moderate
5-12,Severe
12+,Moderate
<5,Severe
12+,Mild
5-12,Moderate
5-12,Moderate
5-12,Mild
12+,Severe
<5,Moderate
12+,Mild
5-12,Moderate
5-12,Moderate
12+,Mild
<5,Severe
<5,Severe
12+,Moderate
5-12,Moderate
12+,Moderate
5-12,Moderate
5-12,Moderate
12+,Severe
5-12,Moderate
<5,Severe
12+,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
12+,Mild
12+,Severe
5-12,Moderate
<5,Moderate
5-12,Severe
12+,Moderate
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
12+,Mild
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
12+,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
<5,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Severe
5-12,Severe
12+,Mild
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
12+,Moderate
5-12,Moderate
<5,Severe
5-12,Mild
<5,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
12+,Mild
<5,Severe
5-12,Moderate
5-12,Moderate
12+,Mild
12+,Mild
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
<5,Moderate
12+,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Mild
5-12,Severe
<5,Severe
5-12,Mild
5-12,Mild
<5,Severe
5-12,Moderate
5-12,Severe
12+,Mild
5-12,Moderate
12+,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
12+,Mild
<5,Severe
5-12,Moderate
<5,Severe
12+,Mild
5-12,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
12+,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
12+,Moderate
<5,Moderate
12+,Mild
<5,Severe
5-12,Mild
5-12,Severe
12+,Moderate
<5,Moderate
12+,Severe
12+,Mild
<5,Moderate
<5,Severe
12+,Mild
5-12,Mild
12+,Mild
5-12,Mild
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
12+,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Severe
5-12,Severe
<5,Moderate
5-12,Severe
12+,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
12+,Mild
12+,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Severe
<5,Moderate
5-12,Moderate
12+,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Mild
5-12,Moderate
<5,Severe
<5,Moderate
<5,Moderate
5-12,Severe
12+,Mild
12+,Mild
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Mild
12+,Mild
<5,Severe
5-12,Moderate
<5,Severe
<5,Severe
5-12,Severe
<5,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
12+,Mild
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
<5,Severe
12+,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
12+,Mild
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
5-12,Severe
<5,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Mild
5-12,Severe
12+,Moderate
5-12,Mild
5-12,Severe
<5,Severe
5-12,Severe
5-12,Severe
<5,Moderate
12+,Severe
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Mild
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Severe
12+,Mild
12+,Mild
5-12,Moderate
5-12,Severe
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
12+,Moderate
5-12,Mild
5-12,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Mild
12+,Mild
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
<5,Severe
<5,Severe
<5,Severe
12+,Moderate
12+,Mild
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
12+,Moderate
12+,Severe
<5,Moderate
5-12,Mild
<5,Moderate
5-12,Severe
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
5-12,Moderate
12+,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
<5,Moderate
<5,Moderate
<5,Moderate
<5,Moderate
<5,Mild
5-12,Moderate
12+,Mild
12+,Mild
12+,Mild
5-12,Moderate
<5,Moderate
12+,Moderate
12+,Mild
5-12,Severe
5-12,Moderate
<5,Severe
<5,Severe
12+,Severe
12+,Severe
5-12,Moderate
5-12,Moderate
12+,Moderate
<5,Moderate
12+,Moderate
5-12,Severe
5-12,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Severe
12+,Moderate
<5,Severe
<5,Severe
<5,Moderate
12+,Mild
<5,Moderate
<5,Severe
12+,Moderate
5-12,Moderate
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Severe
<5,Mild
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Severe
5-12,Moderate
12+,Moderate
5-12,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
5-12,Moderate
12+,Moderate
5-12,Mild
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Severe
12+,Mild
<5,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Mild
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Mild
12+,Mild
<5,Moderate
12+,Severe
5-12,Severe
12+,Mild
<5,Severe
12+,Mild
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
12+,Mild
<5,Moderate
12+,Severe
12+,Moderate
12+,Mild
<5,Moderate
5-12,Moderate
5-12,Moderate
12+,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
12+,Mild
12+,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
12+,Mild
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
12+,Mild
<5,Moderate
12+,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
<5,Moderate
12+,Severe
<5,Severe
12+,Severe
<5,Severe
<5,Moderate
12+,Severe
5-12,Severe
5-12,Severe
12+,Mild
<5,Moderate
<5,Severe
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Severe
12+,Mild
12+,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Severe
<5,Severe
<5,Moderate
5-12,Moderate
<5,Severe
<5,Severe
<5,Moderate
12+,Mild
<5,Moderate
12+,Moderate
<5,Moderate
5-12,Severe
12+,Moderate
<5,Severe
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
12+,Mild
5-12,Moderate
12+,Severe
5-12,Mild
5-12,Severe
<5,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
12+,Moderate
<5,Severe
5-12,Moderate
<5,Severe
<5,Moderate
<5,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Severe
5-12,Severe
<5,Moderate
<5,Severe
5-12,Severe
12+,Mild
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Severe
<5,Severe
12+,Severe
<5,Moderate
<5,Severe
12+,Mild
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
12+,Severe
<5,Severe
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
<5,Severe
<5,Severe
<5,Moderate
5-12,Mild
<5,Moderate
<5,Mild
5-12,Severe
5-12,Moderate
<5,Moderate
12+,Moderate
5-12,Moderate
12+,Mild
<5,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
12+,Moderate
12+,Mild
12+,Mild
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Severe
<5,Moderate
5-12,Severe
12+,Mild
<5,Severe
5-12,Severe
<5,Mild
<5,Mild
<5,Severe
<5,Moderate
12+,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
12+,Mild
5-12,Severe
<5,Moderate
<5,Severe
12+,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Severe
5-12,Moderate
12+,Moderate
<5,Severe
12+,Moderate
12+,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Severe
12+,Severe
5-12,Moderate
12+,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Severe
<5,Mild
12+,Moderate
<5,Moderate
<5,Severe
<5,Severe
5-12,Severe
5-12,Severe
<5,Severe
5-12,Moderate
12+,Mild
<5,Moderate
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
12+,Severe
12+,Mild
<5,Moderate
5-12,Moderate
12+,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
12+,Moderate
<5,Severe
5-12,Moderate
12+,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
<5,Moderate
<5,Severe
<5,Moderate
12+,Mild
<5,Severe
5-12,Mild
<5,Moderate
12+,Severe
5-12,Moderate
<5,Severe
12+,Mild
<5,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
<5,Severe
5-12,Moderate
12+,Mild
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
<5,Severe
12+,Moderate
<5,Severe
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Mild
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
12+,Severe
<5,Moderate
12+,Mild
<5,Severe
<5,Moderate
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Severe
5-12,Severe
<5,Moderate
<5,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Mild
<5,Severe
12+,Mild
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
12+,Mild
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Mild
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Mild
5-12,Moderate
<5,Moderate
5-12,Severe
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Mild
5-12,Moderate
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Mild
12+,Severe
<5,Severe
<5,Severe
5-12,Moderate
<5,Severe
5-12,Mild
<5,Moderate
<5,Severe
<5,Severe
<5,Severe
<5,Severe
5-12,Moderate
12+,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
12+,Moderate
<5,Moderate
<5,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
12+,Mild
12+,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
12+,Moderate
<5,Severe
5-12,Mild
<5,Severe
12+,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
5-12,Mild
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
12+,Moderate
<5,Moderate
12+,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
12+,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
12+,Mild
<5,Moderate
5-12,Moderate
<5,Severe
<5,Severe
12+,Moderate
<5,Severe
5-12,Severe
<5,Severe
5-12,Moderate
<5,Moderate
<5,Moderate
<5,Severe
12+,Severe
5-12,Moderate
5-12,Moderate
12+,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
<5,Mild
12+,Mild
5-12,Moderate
<5,Severe
12+,Moderate
<5,Moderate
5-12,Severe
<5,Moderate
<5,Moderate
<5,Moderate
<5,Severe
5-12,Mild
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
12+,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
12+,Mild
<5,Severe
<5,Severe
5-12,Moderate
<5,Severe
<5,Moderate
<5,Severe
12+,Severe
5-12,Moderate
5-12,Moderate
<5,Mild
12+,Severe
5-12,Severe
5-12,Moderate
12+,Moderate
<5,Severe
<5,Moderate
12+,Mild
5-12,Severe
5-12,Severe
12+,Mild
<5,Severe
12+,Moderate
<5,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
<5,Moderate
5-12,Moderate
12+,Severe
5-12,Severe
<5,Moderate
12+,Moderate
5-12,Severe
5-12,Severe
5-12,Moderate
<5,Severe
12+,Mild
<5,Severe
5-12,Mild
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
12+,Severe
5-12,Moderate
12+,Mild
<5,Severe
5-12,Severe
5-12,Moderate
<5,Severe
5-12,Mild
5-12,Moderate
5-12,Mild
12+,Moderate
5-12,Moderate
12+,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Moderate
12+,Moderate
5-12,Moderate
<5,Moderate
12+,Moderate
<5,Moderate
12+,Severe
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
12+,Mild
5-12,Moderate
12+,Mild
<5,Severe
5-12,Mild
<5,Moderate
12+,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
12+,Severe
<5,Moderate
<5,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
5-12,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Severe
<5,Severe
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Severe
<5,Moderate
12+,Moderate
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Mild
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
12+,Mild
5-12,Moderate
12+,Moderate
5-12,Moderate
5-12,Mild
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
<5,Severe
12+,Mild
<5,Severe
<5,Moderate
5-12,Mild
<5,Severe
5-12,Moderate
<5,Severe
5-12,Severe
<5,Severe
<5,Moderate
<5,Severe
<5,Severe
<5,Moderate
12+,Mild
<5,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Moderate
12+,Severe
<5,Severe
5-12,Moderate
<5,Severe
<5,Moderate
12+,Moderate
5-12,Moderate
5-12,Mild
12+,Severe
5-12,Severe
5-12,Severe
<5,Moderate
5-12,Severe
5-12,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
12+,Mild
<5,Moderate
5-12,Moderate
12+,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
12+,Mild
12+,Mild
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Severe
12+,Mild
5-12,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
12+,Moderate
<5,Severe
<5,Severe
<5,Moderate
<5,Severe
5-12,Severe
<5,Severe
<5,Severe
<5,Mild
12+,Mild
<5,Severe
<5,Severe
<5,Severe
5-12,Mild
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Severe
5-12,Severe
<5,Severe
<5,Severe
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
<5,Severe
12+,Mild
5-12,Moderate
5-12,Severe
<5,Severe
<5,Severe
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Severe
5-12,Mild
5-12,Moderate
<5,Moderate
<5,Severe
12+,Moderate
5-12,Severe
5-12,Moderate
12+,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Moderate
12+,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Moderate
<5,Severe
<5,Severe
5-12,Moderate
12+,Mild
12+,Mild
<5,Severe
<5,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
5-12,Severe
<5,Mild
<5,Severe
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Severe
12+,Moderate
12+,Mild
5-12,Moderate
<5,Severe
<5,Severe
<5,Severe
5-12,Moderate
5-12,Severe
12+,Mild
5-12,Moderate
<5,Moderate
<5,Moderate
<5,Moderate
12+,Moderate
<5,Severe
5-12,Moderate
12+,Severe
12+,Severe
5-12,Severe
12+,Moderate
12+,Severe
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Severe
<5,Severe
<5,Moderate
5-12,Moderate
<5,Moderate
<5,Moderate
<5,Severe
<5,Moderate
5-12,Severe
<5,Severe
12+,Mild
<5,Severe
5-12,Severe
<5,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
12+,Severe
<5,Severe
5-12,Severe
<5,Severe
12+,Moderate
5-12,Severe
5-12,Severe
<5,Moderate
5-12,Severe
<5,Moderate
12+,Severe
12+,Mild
<5,Severe
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Mild
5-12,Severe
5-12,Moderate
5-12,Moderate
5-12,Severe
12+,Moderate
5-12,Moderate
5-12,Moderate
5-12,Moderate
<5,Moderate
<5,Severe
12+,Moderate
5-12,Severe
<5,Moderate
<5,Moderate
5-12,Severe
12+,Mild
5-12,Severe
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Mild
5-12,Severe
12+,Moderate
5-12,Moderate
12+,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
<5,Severe
<5,Severe
<5,Moderate
<5,Moderate
5-12,Moderate
12+,Moderate
12+,Mild
<5,Moderate
<5,Moderate
<5,Moderate
<5,Moderate
<5,Moderate
5-12,Moderate
5-12,Moderate
5-12,Mild
5-12,Severe
5-12,Moderate
<5,Moderate
<5,Severe
5-12,Severe
<5,Moderate
5-12,Moderate
5-12,Severe
<5,Moderate
<5,Moderate
12+,Moderate
<5,Severe
5-12,Severe
<5,Moderate
12+,Moderate
<5,Severe
5-12,Moderate
<5,Moderate
5-12,Severe
<5,Severe
<5,Severe
<5,Moderate
5-12,Severe
12+,Severe
5-12,Moderate
<5,Severe
<5,Moderate
<5,Moderate
<5,Severe
12+,Mild
5-12,Moderate
5-12,Moderate
<5,Severe
12+,Moderate
<5,Severe
<5,Moderate
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
<5,Moderate
5-12,Moderate
<5,Severe
12+,Moderate
<5,Moderate
5-12,Severe
5-12,Mild
5-12,Moderate
5-12,Moderate
<5,Severe
5-12,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Moderate
<5,Severe
5-12,Severe
5-12,Moderate
5-12,Severe
<5,Severe
5-12,Moderate
<5,Severe
<5,Moderate
<5,Severe
5-12,Moderate
12+,Mild
5-12,Moderate
<5,Moderate
5-12,Severe
5-12,Moderate
<5,Severe
12+,Mild
<5,Moderate
5-12,Severe
<5,Severe
<5,Severe
<5,Severe
5-12,Severe
