G,N,S
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
CA,Heart Failure,CA_HF-3
CA,Heart Failure,CA_HF-3
CA,Heart Failure,CA_HF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-6
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Heart Failure,CA_HF-3
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AL,Heart Attack,AL_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AR,Heart Attack,AR_AMI-2
CA,Pneumonia,CA_PN-6
AZ,Heart Failure,AZ_HF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-2
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
CA,Heart Failure,CA_HF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
CA,Heart Failure,CA_HF-3
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Heart Failure,CA_HF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-3
AZ,Heart Failure,AZ_HF-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-1
AZ,Heart Failure,AZ_HF-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-3
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-3
AR,Heart Attack,AR_AMI-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-6
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
AZ,Heart Failure,AZ_HF-1
AL,Pneumonia,AL_PN-7
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Heart Failure,CA_HF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AR,Heart Attack,AR_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
CA,Heart Failure,CA_HF-3
AZ,Heart Failure,AZ_HF-2
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-3
AL,Pneumonia,AL_PN-7
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
CA,Pneumonia,CA_PN-6
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Heart Failure,CA_HF-3
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Pneumonia,AL_PN-7
AR,Heart Attack,AR_AMI-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-5
AR,Heart Attack,AR_AMI-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
CA,Heart Failure,CA_HF-3
AL,Heart Attack,AL_AMI-5
CA,Heart Failure,CA_HF-3
AL,Pneumonia,AL_PN-7
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-2
CA,Heart Failure,CA_HF-3
CA,Pneumonia,CA_PN-6
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Pneumonia,CA_PN-6
AL,Pneumonia,AL_PN-7
CA,Heart Failure,CA_HF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-2
AL,Pneumonia,AL_PN-7
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-2
AL,Pneumonia,AL_PN-7
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
CA,Heart Failure,CA_HF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-2
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
AL,Pneumonia,AL_PN-7
AL,Pneumonia,AL_PN-7
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AL,Pneumonia,AL_PN-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Pneumonia,AL_PN-2
AL,Pneumonia,AL_PN-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Pneumonia,AL_PN-2
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
CA,Pneumonia,CA_PN-3B
AL,Pneumonia,AL_PN-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
AL,Pneumonia,AL_PN-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Pneumonia,CA_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Failure,AZ_HF-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-2
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-4
CA,Heart Failure,CA_HF-1
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-4
CA,Pneumonia,CA_PN-5C
AL,Heart Attack,AL_AMI-5
CA,Heart Failure,CA_HF-1
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-2
AL,Heart Attack,AL_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-5
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
CA,Pneumonia,CA_PN-5C
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-1
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-2
AZ,Heart Failure,AZ_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-1
AZ,Heart Attack,AZ_AMI-5
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-2
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-4
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-2
AL,Heart Attack,AL_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-5
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-1
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-1
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-1
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Heart Failure,CA_HF-1
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
CA,Pneumonia,CA_PN-5C
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-4
CA,Pneumonia,CA_PN-5C
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Attack,AZ_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-5
AL,Heart Attack,AL_AMI-4
CA,Heart Failure,CA_HF-2
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Heart Attack,AL_AMI-5
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-5
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-2
CA,Heart Failure,CA_HF-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-5
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-5
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-5
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Surgical Infection Prevention,AR_SCIP-INF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AR,Surgical Infection Prevention,AR_SCIP-VTE-1
AL,Heart Attack,AL_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-4
CA,Heart Failure,CA_HF-2
CA,Pneumonia,CA_PN-5C
CA,Heart Failure,CA_HF-1
AL,Heart Attack,AL_AMI-4
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-2
CA,Pneumonia,CA_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-5
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-7
AL,Pneumonia,AL_PN-7
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Pneumonia,AL_PN-7
AR,Pneumonia,AR_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AL,Pneumonia,AL_PN-7
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-7
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AZ,Heart Failure,AZ_HF-1
AR,Pneumonia,AR_PN-3B
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Failure,CA_HF-1
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AR,Pneumonia,AR_PN-3B
AR,Pneumonia,AR_PN-3B
AZ,Heart Failure,AZ_HF-1
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
AL,Pneumonia,AL_PN-7
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Heart Attack,CA_AMI-1
AL,Pneumonia,AL_PN-7
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AL,Pneumonia,AL_PN-7
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-1
AR,Pneumonia,AR_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AL,Pneumonia,AL_PN-7
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Heart Failure,CA_HF-1
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AR,Pneumonia,AR_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-2
CA,Pneumonia,CA_PN-3B
AZ,Heart Attack,AZ_AMI-2
AL,Heart Failure,AL_HF-2
CA,Heart Failure,CA_HF-2
AL,Heart Failure,AL_HF-2
CA,Heart Attack,CA_AMI-2
CA,Heart Attack,CA_AMI-2
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-2
AL,Heart Failure,AL_HF-2
CA,Heart Attack,CA_AMI-2
CA,Heart Attack,CA_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-6
CA,Heart Failure,CA_HF-2
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-2
AL,Heart Failure,AL_HF-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Heart Attack,CA_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-INF-6
