LungFlow,LVH,LVHreport
Low,no,no
Low,no,no
High,no,no
Normal,no,no
Normal,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
High,yes,yes
Low,no,no
High,no,no
Normal,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
Normal,no,no
Low,yes,yes
Normal,yes,yes
High,no,no
Low,no,no
Normal,yes,yes
High,no,no
Low,yes,yes
Low,no,yes
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
High,yes,no
High,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Normal,no,no
High,no,yes
Low,yes,yes
Normal,yes,yes
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
High,yes,yes
Low,yes,yes
High,yes,yes
High,no,no
Low,yes,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
High,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
Normal,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
High,yes,yes
Low,no,no
Low,yes,no
Normal,yes,yes
High,no,no
High,yes,no
Normal,no,no
Low,no,no
Normal,yes,no
High,no,no
Normal,no,no
Low,no,no
High,yes,yes
Normal,no,no
Low,no,no
Normal,no,no
High,no,no
High,no,no
High,no,no
Low,yes,yes
High,yes,yes
Low,yes,yes
Normal,no,no
Low,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
High,yes,yes
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Normal,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,no,no
Normal,yes,yes
Low,no,no
High,no,no
High,no,no
Normal,no,no
Low,no,yes
Normal,yes,yes
High,no,no
Low,no,no
Low,yes,yes
High,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Normal,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
High,no,no
Low,no,no
Normal,no,no
High,no,no
High,no,no
High,yes,yes
Low,no,no
High,no,no
Low,yes,yes
High,no,yes
High,no,no
Normal,no,no
Low,yes,yes
High,yes,yes
Low,yes,yes
Low,no,yes
Low,no,no
Low,no,no
Low,no,no
High,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,yes,no
High,no,no
Low,yes,no
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
Normal,no,no
Normal,no,no
Low,no,no
Normal,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Low,no,yes
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Low,yes,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Normal,no,yes
Low,yes,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
High,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,yes,no
Normal,no,no
High,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Low,no,no
Normal,yes,no
High,no,no
Low,no,no
Low,no,no
High,no,no
Low,no,no
High,yes,yes
Low,no,yes
High,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
High,no,no
Low,no,yes
Low,no,no
High,no,no
Normal,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,no
Low,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Low,no,no
Normal,no,no
Normal,no,no
Normal,no,no
Normal,no,no
Normal,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
High,no,no
Normal,no,no
Low,yes,yes
High,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
High,yes,yes
Low,yes,yes
Normal,yes,yes
Low,yes,yes
Normal,no,no
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,yes,yes
Normal,no,no
Low,yes,yes
High,no,no
Low,no,no
High,no,no
Normal,yes,yes
Low,no,no
Low,no,no
High,no,yes
High,no,yes
Normal,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
High,no,no
Normal,yes,yes
Low,no,no
Low,no,yes
Low,no,no
Normal,no,no
Normal,no,no
High,no,no
High,yes,yes
High,yes,yes
High,yes,yes
High,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,no,no
Low,no,no
High,no,no
Normal,no,no
Low,no,yes
Low,no,no
High,no,no
Normal,no,no
High,yes,yes
High,yes,yes
Low,no,no
High,no,no
High,no,no
Normal,no,no
Normal,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,no,no
High,no,no
Low,yes,yes
High,yes,yes
Low,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Normal,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
High,no,no
Low,yes,yes
High,no,no
High,no,yes
Low,no,no
Low,yes,yes
Normal,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
High,no,no
Normal,yes,yes
Low,no,no
Normal,no,no
Low,no,no
High,yes,yes
High,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Normal,no,no
Low,no,no
Low,no,no
Low,yes,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Normal,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Normal,no,yes
High,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
Low,yes,yes
Normal,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
High,no,no
High,no,no
Low,no,no
Normal,no,no
Low,no,no
Normal,no,no
Low,yes,yes
Low,no,no
Low,no,no
High,no,yes
Low,yes,yes
High,no,no
High,no,no
High,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
High,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
High,no,no
Low,yes,yes
High,yes,yes
Low,no,no
Low,yes,yes
Low,no,yes
Low,no,no
Normal,no,no
Normal,yes,yes
Normal,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
Normal,yes,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,yes
Low,no,no
Low,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
High,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,yes,yes
High,no,no
High,no,yes
Normal,no,no
High,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,yes,yes
Normal,no,no
Normal,no,no
High,no,no
Normal,yes,yes
Low,yes,yes
High,no,no
Normal,no,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
High,no,no
High,no,no
Low,no,no
Normal,no,no
High,no,no
High,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Normal,no,yes
High,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Normal,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
High,no,no
Normal,yes,yes
High,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
Normal,no,no
Low,no,no
High,yes,yes
Normal,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
High,yes,yes
High,no,no
High,no,no
High,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
Low,no,yes
Low,no,no
Normal,no,yes
High,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
Normal,no,no
High,yes,no
Low,yes,yes
High,no,no
High,no,no
Low,no,no
High,no,no
Normal,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Normal,no,no
High,no,no
Normal,no,no
High,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
High,yes,yes
Normal,yes,yes
Low,no,yes
Low,no,no
Low,no,no
High,yes,no
Normal,yes,yes
High,no,no
High,no,no
Low,no,no
High,no,yes
Low,yes,yes
High,no,no
Normal,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
Low,no,no
Normal,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
High,yes,yes
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
Normal,no,yes
Normal,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Low,no,no
Low,no,no
High,no,no
Normal,yes,yes
High,no,no
Low,no,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
High,no,no
Low,yes,yes
Normal,no,no
High,no,no
Low,no,no
Normal,no,no
Low,no,yes
Low,no,no
Normal,no,no
High,no,no
Low,no,no
Normal,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
High,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Normal,no,no
High,no,no
Normal,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
Normal,no,no
High,no,no
Normal,no,no
High,no,no
Low,yes,yes
Normal,no,no
High,no,no
Normal,no,no
High,yes,yes
Normal,no,no
Normal,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Normal,no,no
Low,no,no
Low,no,yes
High,no,no
Normal,yes,yes
Low,yes,yes
High,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Low,no,no
High,no,no
High,no,no
High,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Low,yes,no
Normal,no,no
High,yes,yes
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,yes,no
Normal,no,no
High,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Normal,yes,no
Low,yes,yes
Low,yes,no
Low,no,no
Normal,no,no
Low,no,yes
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
High,yes,yes
High,no,no
Low,no,no
Normal,no,no
Low,yes,yes
High,no,no
High,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Normal,no,no
High,no,no
High,no,no
Normal,no,no
Normal,no,no
High,no,no
High,no,no
Normal,no,no
High,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Low,no,yes
High,no,no
Low,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,no,no
High,no,yes
Normal,no,no
Low,no,yes
Normal,no,no
Low,yes,yes
Low,no,no
High,no,no
Normal,no,no
Low,yes,no
High,no,no
Low,yes,no
Normal,yes,no
Low,yes,yes
High,no,no
Normal,yes,yes
High,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
High,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Low,no,no
High,yes,yes
Normal,yes,yes
Low,no,no
High,no,no
Low,no,no
Normal,yes,yes
Normal,no,no
High,yes,yes
Low,yes,yes
Normal,no,no
Low,yes,yes
High,yes,yes
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,yes
Normal,yes,yes
Low,no,no
Normal,yes,yes
Low,yes,yes
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,yes,yes
Normal,no,no
Normal,yes,yes
Low,no,no
High,no,no
High,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,yes
High,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Normal,yes,yes
Normal,no,no
Low,yes,no
Low,yes,yes
Low,no,no
High,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
Normal,yes,yes
Normal,yes,yes
Low,no,no
High,yes,yes
High,no,no
High,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,no,no
High,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
Low,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
High,yes,yes
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
High,no,no
Normal,no,no
Low,no,no
High,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Normal,no,no
High,no,no
Low,no,no
Normal,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
Normal,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Normal,no,no
High,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
High,no,no
Normal,yes,yes
Low,no,no
High,no,no
Normal,yes,yes
Low,no,no
High,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Normal,no,no
High,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
Normal,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
High,yes,yes
Low,no,no
Low,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Low,yes,yes
Normal,no,no
Normal,yes,yes
High,no,no
High,no,no
Normal,no,no
High,yes,yes
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,yes,yes
Normal,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
Low,no,no
Low,yes,yes
High,no,no
High,yes,yes
Low,no,no
Normal,no,no
Normal,yes,yes
Normal,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
High,no,yes
High,no,yes
High,no,no
Low,no,no
Low,yes,yes
High,no,no
Normal,no,no
Low,no,yes
Low,yes,yes
High,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Low,no,no
Low,yes,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Normal,no,no
High,no,no
Low,no,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Normal,no,yes
Low,yes,yes
High,no,no
High,yes,yes
High,no,no
High,no,no
Low,yes,yes
Normal,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
High,yes,yes
Low,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,yes,no
High,no,no
High,no,yes
Normal,no,no
Normal,yes,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Normal,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
High,no,no
Normal,yes,yes
High,no,no
High,no,no
Normal,yes,yes
Low,no,no
High,no,no
Low,yes,yes
Low,yes,yes
High,yes,yes
Low,yes,yes
Low,no,no
High,yes,yes
Low,no,no
High,no,no
Low,yes,yes
High,no,no
High,no,no
Low,yes,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,yes,no
Low,yes,yes
Normal,no,no
High,no,no
Normal,no,no
High,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Normal,no,no
High,no,yes
Low,no,no
Low,no,no
Normal,no,yes
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
High,no,no
Normal,no,no
High,yes,yes
High,no,no
High,no,yes
High,no,no
Low,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
High,no,no
Low,no,yes
Normal,no,no
Normal,yes,no
Normal,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Normal,yes,yes
Low,no,no
Low,yes,yes
Low,no,yes
Normal,no,no
Low,no,no
Low,yes,no
High,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,yes
High,yes,yes
Low,yes,yes
High,no,no
Normal,yes,yes
High,no,no
High,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,yes,no
High,no,no
High,no,no
Low,yes,yes
High,yes,yes
Low,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
Normal,no,no
High,no,no
High,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,yes,no
Low,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
Normal,no,yes
High,yes,yes
Low,yes,no
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
Normal,no,no
Normal,no,no
High,no,no
Normal,no,no
High,no,no
High,no,no
Normal,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
High,yes,yes
Low,yes,yes
Low,no,no
High,yes,yes
Low,no,no
Low,no,no
Normal,no,no
Normal,yes,yes
Low,yes,yes
Low,yes,yes
High,no,yes
Normal,no,no
High,no,no
Normal,yes,no
Normal,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,yes,no
Low,no,no
High,no,no
Low,no,no
High,no,no
High,yes,yes
High,yes,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
Low,yes,yes
Normal,yes,yes
Low,no,no
Normal,yes,yes
Normal,no,no
High,no,no
Low,no,no
High,no,no
Normal,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
High,no,no
Normal,yes,yes
High,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Normal,yes,yes
High,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Low,no,no
High,yes,no
Normal,no,no
Normal,no,no
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
Low,no,no
Normal,no,no
Normal,no,yes
Normal,no,no
Low,yes,yes
Normal,yes,yes
Normal,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Normal,no,yes
Normal,no,no
Normal,no,no
Normal,no,no
Low,yes,yes
Low,no,no
High,no,no
Normal,no,no
Normal,yes,yes
High,yes,yes
Low,no,yes
High,no,no
High,no,no
High,no,no
High,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Normal,no,no
High,no,no
High,yes,yes
Low,no,no
High,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,yes
High,no,no
Normal,no,no
Low,yes,yes
High,no,no
High,no,no
Normal,yes,yes
Low,yes,yes
Normal,yes,yes
High,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,yes,yes
High,no,no
High,no,no
High,no,no
High,no,no
High,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
Normal,no,no
Normal,no,no
Low,yes,yes
Low,yes,yes
High,no,no
Low,yes,no
Low,no,no
Low,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
Normal,yes,yes
Low,yes,yes
High,no,no
Low,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Low,yes,yes
High,no,no
Normal,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,yes,yes
High,no,no
Normal,no,no
Low,no,no
High,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Normal,yes,yes
High,no,no
Normal,no,no
High,yes,yes
Low,yes,yes
Low,yes,yes
Normal,yes,yes
High,yes,yes
Normal,no,no
Normal,no,no
High,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
Low,no,no
High,no,no
High,no,no
Low,no,yes
High,no,yes
Low,no,no
High,yes,no
Low,yes,yes
High,no,no
Low,yes,no
High,no,no
Low,yes,yes
Normal,no,yes
Normal,no,no
Low,no,no
Low,yes,yes
Normal,no,no
Low,yes,yes
Low,yes,no
Low,no,no
High,no,no
High,no,no
Low,no,no
Normal,no,no
Low,yes,no
Low,yes,yes
Low,yes,yes
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,yes
High,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
Low,yes,yes
Low,no,no
Normal,yes,yes
Low,yes,no
Low,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
High,no,no
Normal,no,no
High,no,no
Normal,no,no
Low,yes,yes
Normal,no,no
Low,yes,yes
Low,no,no
Normal,no,no
Low,no,no
High,no,no
High,no,no
High,no,yes
High,no,no
Low,yes,yes
High,no,no
High,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,yes
Normal,yes,no
High,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,yes,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
High,no,no
High,yes,yes
Normal,yes,yes
Normal,no,no
High,yes,yes
Low,yes,yes
Normal,yes,yes
Low,no,no
High,no,no
Low,yes,yes
Normal,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
High,no,no
Low,no,no
High,no,no
Low,yes,no
High,no,no
Low,yes,yes
Normal,no,no
Normal,yes,yes
Low,yes,yes
Low,no,no
Normal,yes,yes
Low,yes,yes
Low,no,no
Low,yes,yes
Normal,no,no
Low,no,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
Low,yes,yes
Normal,yes,yes
Low,yes,yes
High,no,no
High,no,no
Low,yes,yes
Low,yes,yes
Normal,no,no
Normal,yes,yes
Low,yes,yes
Normal,no,no
High,no,no
Normal,no,no
High,no,yes
Low,yes,yes
High,yes,yes
Low,no,no
Low,yes,yes
Normal,yes,yes
High,no,no
Normal,no,no
Low,no,yes
High,no,no
Normal,no,no
High,no,no
Low,yes,no
Normal,no,no
Low,no,no
Low,yes,yes
Low,no,no
High,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
Low,no,yes
Normal,no,no
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
Low,no,no
Normal,yes,yes
Low,no,no
High,yes,yes
Low,yes,yes
High,no,no
Low,yes,yes
Low,no,no
High,no,no
Normal,no,no
Normal,no,no
High,no,no
High,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
High,no,no
Normal,no,no
Normal,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
High,no,no
High,no,yes
Low,yes,yes
Normal,no,no
High,no,yes
Low,no,no
High,no,no
High,no,no
High,yes,yes
High,no,no
Low,no,no
Normal,no,no
Low,yes,yes
Low,yes,yes
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,yes,yes
High,no,no
Low,yes,yes
High,no,no
High,no,no
High,no,no
Normal,no,no
Low,yes,yes
Low,yes,no
High,no,no
Low,no,no
Low,yes,no
High,no,no
Normal,no,no
High,yes,yes
Low,yes,yes
High,no,yes
Low,no,yes
High,no,no
Low,yes,yes
Low,no,no
Normal,no,yes
Low,no,no
High,no,no
High,no,no
High,no,no
Low,yes,no
High,yes,no
Low,no,no
High,no,no
Low,no,no
Low,yes,yes
Low,no,no
Low,no,no
Low,yes,yes
Normal,no,no
High,no,no
Normal,yes,yes
Low,no,no
High,no,no
Low,no,no
High,yes,yes
Normal,no,no
Low,no,no
Low,no,no
Normal,no,no
Low,no,no
Low,no,no
Low,no,yes
High,no,no
High,yes,yes
Low,yes,yes
Low,no,no
Low,no,no
High,no,no
High,no,no
Low,no,no
Low,no,no
Normal,no,no
High,no,yes
Normal,no,yes
Low,no,no
Low,no,no
High,no,no
Low,no,no
High,no,no
High,no,no
Normal,no,no
Normal,no,yes
Low,yes,yes
Low,no,no
Normal,no,no
Normal,yes,yes
Low,no,no
High,no,yes
Low,yes,yes
Normal,yes,yes
Low,no,no
Low,no,no
High,no,no
High,yes,yes
High,no,no
High,yes,yes
High,no,no
Low,no,no
High,no,no
High,no,no
