B,D,E,F,G,H,I,J,N,O
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Federal-gov,HS-grad,9,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
noValueSetHere123156456,5th-6th,3,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Black,Male,noValueSetHere123156456,<=50K
State-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
Private,Doctorate,16,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
Local-gov,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,<=50K
Private,1st-4th,2,Married-civ-spouse,Other-service,Husband,White,Male,Mexico,<=50K
noValueSetHere123156456,10th,6,Widowed,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,Germany,>50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,Canada,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-spouse-absent,Sales,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Never-married,Machine-op-inspct,Own-child,Black,Female,Dominican-Republic,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,Taiwan,<=50K
Local-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,Other,Male,United-States,<=50K
Private,10th,6,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
State-gov,Some-college,10,Never-married,Other-service,Own-child,Black,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,United-States,<=50K
Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,Mexico,<=50K
Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
noValueSetHere123156456,9th,5,Divorced,noValueSetHere123156456,Own-child,Amer-Indian-Eskimo,Male,United-States,<=50K
State-gov,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Never-married,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,Jamaica,<=50K
Self-emp-inc,Some-college,10,Separated,Sales,Own-child,White,Female,United-States,<=50K
Private,10th,6,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,Some-college,10,Separated,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,12th,8,Married-civ-spouse,Protective-serv,Husband,Black,Male,noValueSetHere123156456,<=50K
Private,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,>50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Own-child,White,Male,Peru,<=50K
Local-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K
noValueSetHere123156456,Bachelors,13,Never-married,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Other-service,Unmarried,White,Male,noValueSetHere123156456,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
State-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,Haiti,<=50K
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Priv-house-serv,Other-relative,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,11th,7,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,United-States,<=50K
Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,Guatemala,<=50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Unmarried,White,Female,United-States,<=50K
State-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,<=50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Separated,Adm-clerical,Other-relative,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Protective-serv,Own-child,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
Private,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,9th,5,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
Local-gov,Some-college,10,Separated,Protective-serv,Own-child,Other,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
Private,11th,7,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
State-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,noValueSetHere123156456,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Never-married,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,10th,6,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,Iran,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Federal-gov,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Male,United-States,>50K
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,noValueSetHere123156456,>50K
Private,12th,8,Separated,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,Asian-Pac-Islander,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Divorced,Transport-moving,Other-relative,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-spouse-absent,Sales,Own-child,Black,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Married-civ-spouse,noValueSetHere123156456,Wife,Black,Female,United-States,>50K
Private,Bachelors,13,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,noValueSetHere123156456,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Italy,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,noValueSetHere123156456,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,Puerto-Rico,<=50K
Self-emp-not-inc,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,United-States,>50K
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,11th,7,Divorced,Craft-repair,Unmarried,White,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,United-States,<=50K
Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Other-service,Unmarried,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,10th,6,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Local-gov,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,9th,5,Never-married,Priv-house-serv,Not-in-family,Black,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,Mexico,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,Mexico,<=50K
Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,Canada,<=50K
Local-gov,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-inc,Some-college,10,Widowed,Sales,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,1st-4th,2,Separated,Other-service,Not-in-family,White,Female,Mexico,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Local-gov,Some-college,10,Divorced,Protective-serv,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,noValueSetHere123156456,>50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Self-emp-not-inc,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,United-States,<=50K
Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Local-gov,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
Private,9th,5,Never-married,Priv-house-serv,Unmarried,White,Female,Columbia,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,United-States,>50K
Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,Black,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Never-married,Protective-serv,Own-child,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Local-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,Cuba,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Local-gov,Assoc-voc,11,Never-married,Protective-serv,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Self-emp-inc,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Own-child,Black,Male,England,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Craft-repair,Unmarried,Black,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
